B01, Trade, 85484.442, 99, B01, S22, 1
B01, Trade, 85491.635, 106, B01, S10, 1
B01, Trade, 85495.500, 111, S11, B01, 1
B01, Trade, 85508.788, 102, B01, S16, 1
B01, Trade, 85515.788, 103, S00, B01, 1
B01, Trade, 85528.000, 98, B01, S01, 1
B01, Trade, 85537.519, 100, B01, S14, 1
B01, Trade, 85551.173, 99, S07, B01, 1
B01, Trade, 85568.923, 97, B01, S00, 1
B01, Trade, 85582.558, 102, B01, S02, 1
B01, Trade, 85595.327, 97, B01, S17, 1
B01, Trade, 85602.635, 103, B01, S09, 1
B01, Trade, 85609.000, 98, P01, B01, 1
B01, Trade, 85616.365, 110, B01, S14, 1
B01, Trade, 85630.038, 99, B01, S05, 1
B01, Trade, 85636.519, 104, B01, S01, 1
B01, Trade, 85650.673, 94, B01, S14, 1
B01, Trade, 85662.231, 103, B01, S23, 1
B01, Trade, 85668.115, 100, S07, B01, 1
B01, Trade, 85684.019, 102, B01, S12, 1
B01, Trade, 85689.788, 100, S03, B01, 1
B01, Trade, 85701.577, 108, S02, B01, 1
B01, Trade, 85718.212, 108, S15, B01, 1
B01, Trade, 85728.558, 98, B01, S02, 1
B01, Trade, 85734.423, 105, S06, B01, 1
B01, Trade, 85752.519, 105, B01, S07, 1
B01, Trade, 85766.462, 100, B01, S20, 1
B01, Trade, 85768.000, 103, S08, B01, 1
B01, Trade, 85786.827, 99, B01, S19, 1
B01, Trade, 85800.096, 98, S16, B01, 1
B01, Trade, 85809.423, 107, S06, B01, 1
B01, Trade, 85816.981, 108, B01, S23, 1
B01, Trade, 85840.500, 104, B01, S19, 1
B01, Trade, 85851.558, 108, P01, B01, 1
B01, Trade, 85854.385, 108, S19, B01, 1
B01, Trade, 85881.692, 102, S00, B01, 1
B01, Trade, 85886.615, 101, S20, B01, 1
B01, Trade, 85902.865, 105, B01, S18, 1
B01, Trade, 85919.327, 108, P01, B01, 1
B01, Trade, 85940.346, 110, B01, S11, 1
B01, Trade, 85944.962, 115, S17, B01, 1
B01, Trade, 85958.885, 108, S14, B01, 1
