B01, Trade, 85576.135, 103, B01, S24, 1
B01, Trade, 85581.250, 100, B01, S15, 1
B01, Trade, 85589.135, 98, B01, S00, 1
B01, Trade, 85595.865, 99, B01, S07, 1
B01, Trade, 85617.558, 103, B01, S04, 1
B01, Trade, 85627.385, 104, B01, S14, 1
B01, Trade, 85639.635, 99, B01, S13, 1
B01, Trade, 85650.327, 102, B01, S02, 1
B01, Trade, 85654.692, 106, B01, S05, 1
B01, Trade, 85677.308, 101, B01, S13, 1
B01, Trade, 85694.500, 106, B01, S12, 1
B01, Trade, 85702.846, 107, S05, B01, 1
B01, Trade, 85717.904, 100, B01, S17, 1
B01, Trade, 85732.500, 100, B01, S15, 1
B01, Trade, 85735.635, 98, B01, S02, 1
B01, Trade, 85746.712, 95, B01, S15, 1
B01, Trade, 85755.423, 102, S01, B01, 1
B01, Trade, 85765.192, 96, S04, B01, 1
B01, Trade, 85785.327, 97, B01, S09, 1
B01, Trade, 85792.769, 104, B01, S09, 1
B01, Trade, 85804.808, 103, B01, S05, 1
B01, Trade, 85811.712, 108, B01, S07, 1
B01, Trade, 85814.615, 107, B01, S02, 1
B01, Trade, 85832.058, 103, S03, B01, 1
B01, Trade, 85843.500, 104, B01, S17, 1
B01, Trade, 85850.981, 101, B01, S14, 1
B01, Trade, 85858.846, 108, B01, S13, 1
B01, Trade, 85872.538, 102, S07, B01, 1
B01, Trade, 85881.827, 112, S07, B01, 1
B01, Trade, 85891.000, 107, B01, S07, 1
B01, Trade, 85902.250, 103, B01, S17, 1
B01, Trade, 85907.019, 105, S05, B01, 1
B01, Trade, 85930.154, 101, B01, S17, 1
B01, Trade, 85931.038, 102, S00, B01, 1
B01, Trade, 85943.212, 107, B01, S00, 1
B01, Trade, 85948.731, 108, B01, S01, 1
B01, Trade, 85960.038, 107, B01, S22, 1
B01, Trade, 85971.308, 105, S05, B01, 1
B01, Trade, 85981.115, 100, B01, S04, 1
B01, Trade, 85990.346, 104, B01, S04, 1
B01, Trade, 86005.596, 111, B01, S05, 1
B01, Trade, 86012.096, 108, B01, S03, 1
B01, Trade, 86015.442, 108, B01, S08, 1
B01, Trade, 86025.481, 104, B01, S05, 1
B01, Trade, 86041.000, 100, B01, S19, 1
B01, Trade, 86049.212, 104, B01, S19, 1
B01, Trade, 86064.058, 103, B01, S19, 1
B01, Trade, 86083.885, 110, B01, S13, 1
B01, Trade, 86093.673, 101, B01, S17, 1
B01, Trade, 86110.462, 98, B01, S09, 1
B01, Trade, 86112.423, 101, B01, S16, 1
B01, Trade, 86126.865, 101, B01, S08, 1
B01, Trade, 86144.808, 104, B01, S02, 1
B01, Trade, 86152.115, 100, B01, S04, 1
B01, Trade, 86164.673, 102, P00, B01, 1
B01, Trade, 86176.481, 106, S11, B01, 1
B01, Trade, 86195.500, 102, B01, S14, 1
B01, Trade, 86205.038, 101, B01, S17, 1
B01, Trade, 86210.173, 102, B01, S06, 1
B01, Trade, 86218.154, 108, B01, S04, 1
B01, Trade, 86229.558, 102, B01, S06, 1
B01, Trade, 86243.904, 104, B01, S22, 1
B01, Trade, 86257.135, 97, B01, S06, 1
B01, Trade, 86271.308, 108, B01, S22, 1
B01, Trade, 86291.731, 111, B01, S21, 1
B01, Trade, 86295.615, 109, B01, S19, 1
B01, Trade, 86314.615, 102, B01, S22, 1
B01, Trade, 86321.962, 107, P00, B01, 1
B01, Trade, 86327.346, 110, B01, S17, 1
B01, Trade, 86339.019, 103, B01, S14, 1
B01, Trade, 86369.538, 108, B01, S01, 1
B01, Trade, 86378.481, 107, B01, S09, 1
B01, Trade, 86390.635, 105, S19, B01, 1
B02, 100
B02, Trade, 85083.019, 108, S21, B02, 1
B02, Trade, 85098.038, 107, S13, B02, 1
B02, Trade, 85111.404, 105, B02, S10, 1
B02, Trade, 85120.077, 107, P00, B02, 1
B02, Trade, 85125.385, 113, S12, B02, 1
B02, Trade, 85141.654, 101, B02, S20, 1
B02, Trade, 85151.712, 112, S02, B02, 1
B02, Trade, 85162.827, 107, B02, S09, 1
B02, Trade, 85164.962, 107, S06, B02, 1
B02, Trade, 85178.558, 102, B02, S10, 1
B02, Trade, 85196.231, 120, S24, B02, 1
B02, Trade, 85210.558, 104, B02, S12, 1
B02, Trade, 85232.692, 104, S14, B02, 1
B02, Trade, 85241.365, 105, P00, B02, 1
B02, Trade, 85253.923, 101, B02, S20, 1
B02, Trade, 85265.788, 103, B02, S14, 1
B02, Trade, 85276.654, 110, S22, B02, 1
B02, Trade, 85286.885, 104, B02, S06, 1
B02, Trade, 85292.115, 103, S10, B02, 1
B02, Trade, 85307.288, 99, B02, S20, 1
B02, Trade, 85321.673, 108, S07, B02, 1
B02, Trade, 85332.288, 99, B02, S23, 1
B02, Trade, 85337.346, 101, S09, B02, 1
B02, Trade, 85346.615, 101, B02, S09, 1
B02, Trade, 85355.019, 104, B02, S23, 1
B02, Trade, 85373.288, 100, B02, S02, 1
B02, Trade, 85378.058, 107, P00, B02, 1
B02, Trade, 85393.442, 107, B02, S08, 1
B02, Trade, 85406.250, 116, S21, B02, 1
B02, Trade, 85424.981, 107, S22, B02, 1
B02, Trade, 85429.673, 107, S14, B02, 1
B02, Trade, 85446.269, 107, S10, B02, 1
B02, Trade, 85465.462, 108, S07, B02, 1
B02, Trade, 85487.212, 105, B02, S16, 1
B02, Trade, 85493.346, 99, B02, S08, 1
B02, Trade, 85513.250, 97, B02, S16, 1
B02, Trade, 85516.635, 107, S05, B02, 1
B02, Trade, 85530.308, 95, B02, S14, 1
B02, Trade, 85541.558, 104, S10, B02, 1
B02, Trade, 85553.212, 102, S20, B02, 1
B02, Trade, 85567.500, 98, B02, S14, 1
B02, Trade, 85583.462, 95, S12, B02, 1
B02, Trade, 85590.404, 99, B02, S14, 1
B02, Trade, 85598.154, 100, S17, B02, 1
B02, Trade, 85622.115, 97, B02, S10, 1
B02, Trade, 85622.135, 105, P00, B02, 1
B02, Trade, 85632.308, 110, B02, S15, 1
B02, Trade, 85646.519, 98, B02, S10, 1
B02, Trade, 85656.288, 103, B02, S09, 1
B02, Trade, 85665.077, 101, S13, B02, 1
B02, Trade, 85689.038, 109, S24, B02, 1
B02, Trade, 85705.846, 107, S22, B02, 1
B02, Trade, 85738.115, 100, S03, B02, 1
B02, Trade, 85753.058, 99, B02, S21, 1
B02, Trade, 85756.865, 105, P00, B02, 1
B02, Trade, 85774.212, 97, B02, S21, 1
B02, Trade, 85784.212, 100, B02, S16, 1
B02, Trade, 85789.019, 98, B02, S10, 1
B02, Trade, 85801.365, 107, S02, B02, 1
B02, Trade, 85816.288, 108, S04, B02, 1
B02, Trade, 85833.519, 105, S18, B02, 1
B02, Trade, 85851.481, 100, B02, S06, 1
B02, Trade, 85861.615, 103, B02, S08, 1
B02, Trade, 85863.500, 109, B02, S06, 1
B02, Trade, 85879.327, 110, B02, S11, 1
B02, Trade, 85887.654, 107, B02, S13, 1
B02, Trade, 85897.308, 105, S00, B02, 1
B02, Trade, 85909.019, 102, B02, S16, 1
B02, Trade, 85927.058, 102, B02, S02, 1
B02, Trade, 85933.519, 109, S12, B02, 1
B02, Trade, 85943.462, 103, B02, S05, 1
B02, Trade, 85970.327, 102, B02, S20, 1
B02, Trade, 85974.577, 102, B02, S07, 1
B02, Trade, 85989.827, 108, P00, B02, 1
B02, Trade, 86006.385, 111, B02, S06, 1
B02, Trade, 86015.231, 108, B02, S13, 1
B02, Trade, 86029.615, 100, S09, B02, 1
B02, Trade, 86051.423, 104, S12, B02, 1
B02, Trade, 86062.846, 102, B02, S00, 1
B02, Trade, 86069.269, 104, S00, B02, 1
B02, Trade, 86085.058, 113, B02, S11, 1
B02, Trade, 86095.962, 101, B02, S21, 1
B02, Trade, 86119.135, 111, S08, B02, 1
B02, Trade, 86133.038, 87, S11, B02, 1
B02, Trade, 86151.346, 105, S22, B02, 1
B02, Trade, 86163.096, 99, B02, S13, 1
B02, Trade, 86166.808, 105, S07, B02, 1
B02, Trade, 86206.654, 100, B02, S08, 1
B02, Trade, 86221.923, 112, S13, B02, 1
B02, Trade, 86235.481, 103, S07, B02, 1
B02, Trade, 86255.635, 104, S17, B02, 1
B02, Trade, 86271.038, 108, B02, S04, 1
B02, Trade, 86283.288, 110, B02, S20, 1
B02, Trade, 86294.942, 112, S18, B02, 1
B02, Trade, 86314.135, 103, B02, S08, 1
B02, Trade, 86320.250, 106, B02, S17, 1
B02, Trade, 86353.615, 104, S01, B02, 1
B02, Trade, 86365.885, 106, B02, S11, 1
B02, Trade, 86377.308, 111, S12, B02, 1
B02, Trade, 86389.904, 103, B02, S21, 1
B03, 100
B03, Trade, 84995.019, 116, S00, B03, 1
B03, Trade, 85010.058, 102, B03, S13, 1
B03, Trade, 85026.923, 114, P00, B03, 1
B03, Trade, 85037.673, 111, B03, S11, 1
B03, Trade, 85057.365, 109, B03, S10, 1
B03, Trade, 85066.750, 106, S01, B03, 1
B03, Trade, 85082.327, 107, B03, S00, 1
B03, Trade, 85092.404, 105, B03, S10, 1
B03, Trade, 85101.058, 105, S01, B03, 1
B03, Trade, 85105.519, 111, P00, B03, 1
B03, Trade, 85121.962, 113, S18, B03, 1
B03, Trade, 85135.288, 97, B03, S22, 1
B03, Trade, 85152.981, 115, S04, B03, 1
B03, Trade, 85180.904, 107, S05, B03, 1
B03, Trade, 85192.096, 104, B03, S07, 1
B03, Trade, 85201.423, 106, B03, S16, 1
B03, Trade, 85210.673, 105, S21, B03, 1
B03, Trade, 85235.981, 102, B03, S19, 1
B03, Trade, 85242.135, 103, B03, S24, 1
B03, Trade, 85246.615, 107, B03, S20, 1
B03, Trade, 85259.981, 98, B03, S06, 1
B03, Trade, 85273.192, 103, B03, S10, 1
B03, Trade, 85274.346, 107, S21, B03, 1
B03, Trade, 85298.327, 108, S16, B03, 1
B03, Trade, 85322.346, 112, P00, B03, 1
B03, Trade, 85336.231, 105, B03, S24, 1
B03, Trade, 85348.154, 103, S14, B03, 1
B03, Trade, 85363.558, 100, B03, S16, 1
B03, Trade, 85378.538, 106, S12, B03, 1
B03, Trade, 85387.750, 100, B03, S09, 1
B03, Trade, 85400.019, 110, S18, B03, 1
B03, Trade, 85413.962, 96, B03, S05, 1
B03, Trade, 85416.673, 106, S01, B03, 1
B03, Trade, 85431.269, 105, B03, S19, 1
B03, Trade, 85451.808, 103, S03, B03, 1
B03, Trade, 85473.192, 106, S06, B03, 1
B03, Trade, 85492.096, 112, S14, B03, 1
B03, Trade, 85534.212, 103, P00, B03, 1
B03, Trade, 85551.442, 100, B03, S14, 1
B03, Trade, 85557.058, 100, B03, S07, 1
B03, Trade, 85566.423, 97, B03, S06, 1
B03, Trade, 85573.885, 104, S05, B03, 1
B03, Trade, 85593.577, 97, B03, S09, 1
B03, Trade, 85595.712, 101, P00, B03, 1
B03, Trade, 85615.231, 101, S19, B03, 1
B03, Trade, 85642.231, 100, S07, B03, 1
B03, Trade, 85659.154, 102, S08, B03, 1
B03, Trade, 85675.558, 102, B03, S09, 1
B03, Trade, 85691.788, 106, B03, S18, 1
B03, Trade, 85693.769, 107, S01, B03, 1
B03, Trade, 85712.096, 102, B03, S16, 1
B03, Trade, 85740.135, 105, S14, B03, 1
B03, Trade, 85756.712, 100, B03, S13, 1
B03, Trade, 85770.038, 97, B03, S04, 1
B03, Trade, 85815.288, 106, B03, S06, 1
B03, Trade, 85823.692, 110, S01, B03, 1
B03, Trade, 85836.923, 106, S00, B03, 1
B03, Trade, 85863.212, 114, S06, B03, 1
B03, Trade, 85873.327, 102, S03, B03, 1
B03, Trade, 85885.212, 116, B03, S14, 1
B03, Trade, 85887.404, 105, B03, S24, 1
B03, Trade, 85894.000, 101, B03, S02, 1
B03, Trade, 85907.269, 105, S06, B03, 1
B03, Trade, 85916.962, 103, B03, S06, 1
B03, Trade, 85933.981, 106, B03, S06, 1
B03, Trade, 85963.115, 109, S11, B03, 1
B03, Trade, 85967.981, 105, S04, B03, 1
B03, Trade, 85988.269, 105, B03, S22, 1
B03, Trade, 86006.654, 109, B03, S23, 1
B03, Trade, 86018.365, 100, B03, S09, 1
B03, Trade, 86022.962, 103, B03, S04, 1
B03, Trade, 86030.904, 106, S01, B03, 1
B03, Trade, 86038.596, 112, S09, B03, 1
B03, Trade, 86045.442, 109, B03, S20, 1
B03, Trade, 86057.019, 108, B03, S16, 1
B03, Trade, 86070.519, 104, B03, S04, 1
B03, Trade, 86086.846, 113, B03, S14, 1
B03, Trade, 86108.288, 102, B03, S10, 1
B03, Trade, 86127.942, 104, S10, B03, 1
B03, Trade, 86135.846, 114, S00, B03, 1
B03, Trade, 86150.212, 102, B03, S21, 1
B03, Trade, 86176.846, 105, B03, S08, 1
B03, Trade, 86183.673, 105, B03, S22, 1
B03, Trade, 86193.615, 105, S18, B03, 1
B03, Trade, 86204.192, 109, S04, B03, 1
B03, Trade, 86204.769, 104, B03, S09, 1
B03, Trade, 86232.192, 107, S18, B03, 1
B03, Trade, 86241.846, 108, S18, B03, 1
B03, Trade, 86259.500, 107, S08, B03, 1
B03, Trade, 86264.846, 101, B03, S13, 1
B03, Trade, 86285.327, 102, B03, S14, 1
B03, Trade, 86296.250, 106, B03, S17, 1
B03, Trade, 86304.923, 112, S05, B03, 1
B03, Trade, 86324.731, 105, B03, S02, 1
B03, Trade, 86333.885, 107, B03, S13, 1
B03, Trade, 86348.942, 106, S07, B03, 1
B03, Trade, 86358.231, 100, B03, S02, 1
B03, Trade, 86364.673, 102, P00, B03, 1
B03, Trade, 86375.404, 109, S00, B03, 1
B03, Trade, 86395.673, 107, S06, B03, 1
B04, 100
B04, Trade, 85185.635, 109, S22, B04, 1
B04, Trade, 85202.058, 107, S21, B04, 1
B04, Trade, 85207.519, 107, S13, B04, 1
B04, Trade, 85216.096, 109, S03, B04, 1
B04, Trade, 85222.096, 106, S04, B04, 1
B04, Trade, 85233.577, 101, B04, S04, 1
B04, Trade, 85248.865, 107, B04, S06, 1
B04, Trade, 85259.115, 102, S01, B04, 1
B04, Trade, 85273.712, 106, S09, B04, 1
B04, Trade, 85291.462, 103, S08, B04, 1
B04, Trade, 85299.365, 104, B04, S19, 1
B04, Trade, 85302.827, 109, S01, B04, 1
B04, Trade, 85322.000, 110, S08, B04, 1
B04, Trade, 85338.808, 107, S21, B04, 1
B04, Trade, 85348.038, 99, B04, S07, 1
B04, Trade, 85364.769, 103, P00, B04, 1
B04, Trade, 85372.231, 104, B04, S22, 1
B04, Trade, 85384.712, 103, B04, S21, 1
B04, Trade, 85410.769, 107, B04, S17, 1
