B01, Trade, 85340.981, 110, S01, B01, 1
B01, Trade, 85362.000, 111, S18, B01, 1
B01, Trade, 85380.712, 102, B01, S08, 1
B01, Trade, 85385.154, 111, S16, B01, 1
B01, Trade, 85403.173, 106, B01, S21, 1
B01, Trade, 85418.923, 101, S18, B01, 1
B01, Trade, 85431.096, 111, S00, B01, 1
B01, Trade, 85438.923, 108, B01, S23, 1
B01, Trade, 85454.481, 98, S03, B01, 1
B01, Trade, 85467.365, 109, S09, B01, 1
B01, Trade, 85492.481, 103, S03, B01, 1
B01, Trade, 85496.173, 97, B01, S20, 1
B01, Trade, 85512.846, 107, S16, B01, 1
B01, Trade, 85529.327, 98, B01, S16, 1
B01, Trade, 85544.115, 97, B01, S12, 1
B01, Trade, 85566.404, 96, B01, S24, 1
B01, Trade, 85570.019, 106, P01, B01, 1
B01, Trade, 85574.981, 108, S24, B01, 1
B01, Trade, 85594.846, 97, B01, S08, 1
B01, Trade, 85602.173, 103, S03, B01, 1
B01, Trade, 85609.077, 117, B01, S05, 1
B01, Trade, 85614.673, 107, S07, B01, 1
B01, Trade, 85634.481, 100, B01, S13, 1
B01, Trade, 85645.038, 96, B01, S19, 1
B01, Trade, 85648.827, 108, S10, B01, 1
B01, Trade, 85679.962, 105, S13, B01, 1
B01, Trade, 85710.250, 99, B01, S20, 1
B01, Trade, 85729.577, 103, S16, B01, 1
B01, Trade, 85733.173, 97, S09, B01, 1
B01, Trade, 85748.558, 109, P01, B01, 1
B01, Trade, 85763.904, 103, B01, S13, 1
B01, Trade, 85777.654, 103, B01, S17, 1
B01, Trade, 85783.346, 100, B01, S08, 1
B01, Trade, 85788.577, 97, S23, B01, 1
B01, Trade, 85809.577, 103, B01, S16, 1
B01, Trade, 85818.115, 103, B01, S06, 1
B01, Trade, 85833.135, 103, B01, S05, 1
B01, Trade, 85840.538, 109, S10, B01, 1
B01, Trade, 85860.500, 104, B01, S21, 1
B01, Trade, 85867.019, 107, B01, S18, 1
B01, Trade, 85900.077, 100, B01, S20, 1
B01, Trade, 85901.173, 103, S13, B01, 1
B01, Trade, 85917.096, 111, S03, B01, 1
B01, Trade, 85940.346, 105, S18, B01, 1
B01, Trade, 85953.212, 116, S09, B01, 1
B01, Trade, 85954.269, 111, S05, B01, 1
B01, Trade, 85978.269, 105, B01, S20, 1
B01, Trade, 85984.904, 108, S00, B01, 1
B01, Trade, 86016.019, 107, S21, B01, 1
B01, Trade, 86038.346, 110, S23, B01, 1
B01, Trade, 86045.212, 106, S22, B01, 1
B01, Trade, 86067.750, 107, S18, B01, 1
B01, Trade, 86087.212, 108, S02, B01, 1
B01, Trade, 86100.769, 102, B01, S21, 1
B01, Trade, 86117.365, 101, B01, S01, 1
B01, Trade, 86121.423, 104, S09, B01, 1
B01, Trade, 86136.692, 102, B01, S08, 1
B01, Trade, 86152.288, 105, B01, S08, 1
B01, Trade, 86166.577, 101, B01, S19, 1
B01, Trade, 86174.212, 110, S00, B01, 1
B01, Trade, 86179.596, 103, B01, S16, 1
B01, Trade, 86190.692, 106, S04, B01, 1
B01, Trade, 86198.154, 103, B01, S16, 1
B01, Trade, 86231.462, 109, S10, B01, 1
B01, Trade, 86260.115, 100, B01, S14, 1
B01, Trade, 86268.462, 109, B01, S16, 1
B01, Trade, 86283.577, 109, B01, S12, 1
B01, Trade, 86297.538, 103, B01, S11, 1
B01, Trade, 86316.308, 96, B01, S20, 1
B01, Trade, 86320.135, 109, S04, B01, 1
B01, Trade, 86323.692, 106, S05, B01, 1
B01, Trade, 86394.558, 105, S09, B01, 1
B01, Trade, 86396.827, 109, S23, B01, 1
B02, 100
B02, Trade, 84975.885, 110, S01, B02, 1
B02, Trade, 85004.173, 112, S18, B02, 1
B02, Trade, 85026.365, 109, S13, B02, 1
B02, Trade, 85038.846, 103, B02, S08, 1
B02, Trade, 85044.788, 100, B02, S14, 1
B02, Trade, 85057.000, 105, S08, B02, 1
B02, Trade, 85078.404, 106, B02, S24, 1
B02, Trade, 85083.596, 107, S13, B02, 1
B02, Trade, 85105.731, 103, B02, S11, 1
B02, Trade, 85114.962, 98, B02, S22, 1
B02, Trade, 85117.615, 102, S18, B02, 1
B02, Trade, 85133.750, 105, S06, B02, 1
B02, Trade, 85152.865, 110, B02, S17, 1
B02, Trade, 85170.635, 108, P01, B02, 1
B02, Trade, 85184.442, 105, B02, S19, 1
B02, Trade, 85190.250, 105, B02, S08, 1
B02, Trade, 85199.731, 106, B02, S02, 1
B02, Trade, 85213.154, 96, B02, S08, 1
B02, Trade, 85216.827, 102, S13, B02, 1
B02, Trade, 85226.327, 107, S16, B02, 1
B02, Trade, 85256.250, 102, S16, B02, 1
B02, Trade, 85266.231, 106, S08, B02, 1
B02, Trade, 85278.135, 104, B02, S11, 1
B02, Trade, 85306.038, 98, B02, S19, 1
B02, Trade, 85313.096, 100, S23, B02, 1
B02, Trade, 85322.519, 108, S19, B02, 1
B02, Trade, 85346.500, 107, S22, B02, 1
B02, Trade, 85373.346, 99, B02, S21, 1
B02, Trade, 85375.769, 106, S19, B02, 1
B02, Trade, 85393.558, 106, B02, S23, 1
B02, Trade, 85405.154, 104, B02, S16, 1
B02, Trade, 85428.038, 112, S23, B02, 1
B02, Trade, 85438.519, 110, B02, S21, 1
B02, Trade, 85450.519, 103, B02, S14, 1
B02, Trade, 85461.500, 106, S00, B02, 1
B02, Trade, 85472.923, 105, S07, B02, 1
B02, Trade, 85495.865, 108, S23, B02, 1
B02, Trade, 85530.731, 98, S22, B02, 1
B02, Trade, 85539.173, 98, B02, S22, 1
B02, Trade, 85556.327, 98, B02, S11, 1
B02, Trade, 85557.865, 104, S21, B02, 1
B02, Trade, 85574.808, 105, B02, S20, 1
B02, Trade, 85583.654, 103, B02, S15, 1
B02, Trade, 85586.096, 102, B02, S14, 1
B02, Trade, 85596.250, 97, B02, S23, 1
B02, Trade, 85608.385, 109, S00, B02, 1
B02, Trade, 85620.115, 104, S14, B02, 1
B02, Trade, 85626.904, 104, B02, S01, 1
B02, Trade, 85640.615, 104, S03, B02, 1
B02, Trade, 85653.904, 97, B02, S14, 1
B02, Trade, 85658.192, 101, S09, B02, 1
B02, Trade, 85673.788, 107, B02, S10, 1
B02, Trade, 85685.788, 106, S11, B02, 1
B02, Trade, 85717.827, 105, S18, B02, 1
B02, Trade, 85738.558, 103, B02, S21, 1
B02, Trade, 85751.462, 107, S03, B02, 1
B02, Trade, 85762.673, 104, B02, S17, 1
B02, Trade, 85772.942, 107, S00, B02, 1
B02, Trade, 85792.462, 107, B02, S01, 1
B02, Trade, 85801.000, 108, P01, B02, 1
B02, Trade, 85804.750, 105, B02, S22, 1
B02, Trade, 85823.115, 99, B02, S24, 1
B02, Trade, 85838.654, 106, S17, B02, 1
B02, Trade, 85852.808, 102, B02, S17, 1
B02, Trade, 85880.365, 111, S06, B02, 1
B02, Trade, 85909.712, 107, S04, B02, 1
B02, Trade, 85918.404, 114, S17, B02, 1
B02, Trade, 85931.577, 102, B02, S19, 1
B02, Trade, 85943.673, 109, P01, B02, 1
B02, Trade, 85958.712, 113, B02, S22, 1
B02, Trade, 85975.635, 105, B02, S21, 1
B02, Trade, 85984.596, 101, B02, S20, 1
B02, Trade, 85991.615, 106, S06, B02, 1
B02, Trade, 86003.308, 111, S23, B02, 1
B02, Trade, 86025.942, 112, S17, B02, 1
B02, Trade, 86048.942, 103, B02, S13, 1
B02, Trade, 86057.654, 111, S03, B02, 1
