B00, 100
B00, Trade, 84968.192, 113, S13, B00, 1
B00, Trade, 85003.212, 106, S22, B00, 1
B00, Trade, 85025.000, 111, S15, B00, 1
B00, Trade, 85033.827, 106, S07, B00, 1
B00, Trade, 85069.192, 112, S14, B00, 1
B00, Trade, 85077.192, 103, B00, S23, 1
B00, Trade, 85097.846, 105, B00, S15, 1
B00, Trade, 85110.615, 112, S16, B00, 1
B00, Trade, 85116.481, 114, S13, B00, 1
B00, Trade, 85128.327, 105, B00, S09, 1
B00, Trade, 85133.577, 106, S17, B00, 1
B00, Trade, 85157.231, 105, B00, S01, 1
B00, Trade, 85163.462, 109, S07, B00, 1
B00, Trade, 85183.423, 112, B00, S23, 1
B00, Trade, 85199.615, 108, B00, S18, 1
B00, Trade, 85214.962, 103, B00, S01, 1
B00, Trade, 85223.288, 106, S15, B00, 1
B00, Trade, 85229.365, 99, B00, S24, 1
B00, Trade, 85242.923, 96, B00, S12, 1
B00, Trade, 85250.423, 110, S13, B00, 1
B00, Trade, 85274.212, 107, B00, S02, 1
B00, Trade, 85280.654, 111, S03, B00, 1
B00, Trade, 85295.500, 105, B00, S14, 1
B00, Trade, 85302.327, 104, B00, S03, 1
B00, Trade, 85315.654, 107, S00, B00, 1
B00, Trade, 85326.731, 108, B00, S20, 1
B00, Trade, 85338.519, 105, B00, S16, 1
B00, Trade, 85348.173, 103, S05, B00, 1
B00, Trade, 85366.173, 104, P01, B00, 1
B00, Trade, 85387.635, 99, B00, S24, 1
B00, Trade, 85403.250, 106, S24, B00, 1
B00, Trade, 85410.769, 106, B00, S11, 1
B00, Trade, 85414.058, 114, S13, B00, 1
B00, Trade, 85429.692, 103, B00, S06, 1
B00, Trade, 85443.269, 99, B00, S03, 1
B00, Trade, 85458.269, 109, P01, B00, 1
B00, Trade, 85471.808, 103, B00, S17, 1
B00, Trade, 85498.481, 104, P01, B00, 1
B00, Trade, 85517.846, 100, B00, S15, 1
B00, Trade, 85530.635, 98, B00, S13, 1
B00, Trade, 85551.346, 106, S08, B00, 1
B00, Trade, 85557.750, 104, S14, B00, 1
B00, Trade, 85578.365, 109, S13, B00, 1
B00, Trade, 85595.423, 102, B00, S00, 1
B00, Trade, 85599.288, 102, P01, B00, 1
B00, Trade, 85617.635, 103, P01, B00, 1
B00, Trade, 85635.192, 106, S21, B00, 1
B00, Trade, 85640.038, 109, S22, B00, 1
B00, Trade, 85657.538, 105, S06, B00, 1
B00, Trade, 85667.788, 107, B00, S12, 1
B00, Trade, 85701.481, 100, S10, B00, 1
B00, Trade, 85717.865, 102, S22, B00, 1
B00, Trade, 85728.212, 102, B00, S00, 1
B00, Trade, 85738.712, 103, S05, B00, 1
B00, Trade, 85749.308, 106, S23, B00, 1
B00, Trade, 85762.385, 99, B00, S04, 1
B00, Trade, 85772.462, 105, S17, B00, 1
B00, Trade, 85784.192, 107, B00, S20, 1
B00, Trade, 85796.538, 101, S13, B00, 1
B00, Trade, 85809.442, 103, B00, S03, 1
B00, Trade, 85820.538, 98, S00, B00, 1
B00, Trade, 85835.481, 104, S00, B00, 1
B00, Trade, 85856.846, 103, S04, B00, 1
B00, Trade, 85878.577, 109, S15, B00, 1
B00, Trade, 85898.365, 110, S10, B00, 1
B00, Trade, 85915.462, 103, B00, S19, 1
B00, Trade, 85937.231, 106, B00, S00, 1
B00, Trade, 85941.327, 106, S20, B00, 1
B00, Trade, 85955.192, 111, S19, B00, 1
B00, Trade, 85974.692, 106, B00, S06, 1
B00, Trade, 85984.481, 104, B00, S19, 1
B00, Trade, 85992.981, 109, B00, S17, 1
B00, Trade, 86007.577, 107, S04, B00, 1
B00, Trade, 86036.481, 109, S06, B00, 1
B00, Trade, 86057.635, 107, S04, B00, 1
B00, Trade, 86070.596, 106, B00, S15, 1
B00, Trade, 86080.808, 101, B00, S20, 1
B00, Trade, 86102.654, 107, S04, B00, 1
B00, Trade, 86120.346, 106, S23, B00, 1
B00, Trade, 86137.750, 99, B00, S03, 1
B00, Trade, 86144.058, 106, S09, B00, 1
B00, Trade, 86154.404, 106, B00, S15, 1
B00, Trade, 86156.788, 108, S18, B00, 1
B00, Trade, 86169.000, 108, B00, S16, 1
B00, Trade, 86180.192, 105, S07, B00, 1
B00, Trade, 86189.712, 106, B00, S12, 1
B00, Trade, 86208.481, 104, S15, B00, 1
B00, Trade, 86229.712, 103, B00, S22, 1
B00, Trade, 86243.135, 107, B00, S08, 1
B00, Trade, 86251.615, 109, S03, B00, 1
B00, Trade, 86265.577, 107, B00, S19, 1
B00, Trade, 86275.173, 101, B00, S20, 1
B00, Trade, 86284.981, 104, B00, S22, 1
B00, Trade, 86295.212, 108, P00, B00, 1
B00, Trade, 86311.019, 99, S14, B00, 1
B00, Trade, 86323.673, 108, B00, S05, 1
B00, Trade, 86331.269, 102, B00, S02, 1
B00, Trade, 86339.154, 103, B00, S00, 1
B00, Trade, 86358.058, 107, B00, S11, 1
B00, Trade, 86382.269, 107, S09, B00, 1
B01, 100
B01, Trade, 85034.750, 105, S23, B01, 1
B01, Trade, 85054.462, 103, S04, B01, 1
B01, Trade, 85067.365, 102, B01, S21, 1
B01, Trade, 85084.385, 103, B01, S12, 1
B01, Trade, 85091.308, 108, S04, B01, 1
B01, Trade, 85092.346, 109, S10, B01, 1
B01, Trade, 85111.769, 109, B01, S17, 1
B01, Trade, 85116.058, 113, B01, S09, 1
B01, Trade, 85136.981, 102, B01, S20, 1
B01, Trade, 85147.577, 110, S05, B01, 1
B01, Trade, 85155.942, 111, P01, B01, 1
B01, Trade, 85177.250, 112, S19, B01, 1
B01, Trade, 85193.942, 104, B01, S15, 1
B01, Trade, 85202.423, 110, B01, S09, 1
B01, Trade, 85213.462, 105, S09, B01, 1
B01, Trade, 85236.173, 96, B01, S12, 1
B01, Trade, 85243.231, 99, B01, S15, 1
B01, Trade, 85274.385, 100, B01, S12, 1
B01, Trade, 85277.308, 108, S07, B01, 1
B01, Trade, 85292.212, 108, B01, S08, 1
B01, Trade, 85317.250, 113, S00, B01, 1
B01, Trade, 85340.865, 107, P01, B01, 1
B01, Trade, 85351.788, 103, S00, B01, 1
B01, Trade, 85379.827, 98, S21, B01, 1
B01, Trade, 85412.308, 106, B01, S17, 1
B01, Trade, 85425.250, 105, B01, S17, 1
B01, Trade, 85437.615, 102, S20, B01, 1
B01, Trade, 85470.750, 107, S05, B01, 1
B01, Trade, 85478.692, 100, B01, S02, 1
B01, Trade, 85491.904, 106, B01, S13, 1
B01, Trade, 85504.212, 111, B01, S19, 1
B01, Trade, 85517.404, 100, B01, S03, 1
B01, Trade, 85528.288, 113, S17, B01, 1
B01, Trade, 85547.731, 95, B01, S15, 1
B01, Trade, 85571.115, 103, S07, B01, 1
B01, Trade, 85598.904, 97, B01, S17, 1
B01, Trade, 85606.308, 101, S10, B01, 1
B01, Trade, 85622.173, 105, S11, B01, 1
B01, Trade, 85629.250, 108, S23, B01, 1
B01, Trade, 85643.538, 100, B01, S03, 1
B01, Trade, 85648.231, 108, S10, B01, 1
B01, Trade, 85665.115, 102, B01, S19, 1
B01, Trade, 85672.462, 110, P01, B01, 1
B01, Trade, 85675.327, 107, B01, S00, 1
B01, Trade, 85693.577, 94, B01, S05, 1
B01, Trade, 85701.558, 99, S18, B01, 1
B01, Trade, 85719.692, 104, S16, B01, 1
B01, Trade, 85731.788, 101, B01, S01, 1
B01, Trade, 85733.885, 102, B01, S01, 1
B01, Trade, 85754.654, 98, B01, S05, 1
B01, Trade, 85768.288, 101, S10, B01, 1
B01, Trade, 85783.500, 110, S01, B01, 1
B01, Trade, 85796.212, 100, B01, S21, 1
B01, Trade, 85811.750, 104, S23, B01, 1
B01, Trade, 85832.269, 103, S04, B01, 1
B01, Trade, 85834.635, 104, P01, B01, 1
B01, Trade, 85849.942, 100, B01, S05, 1
B01, Trade, 85862.538, 107, S07, B01, 1
B01, Trade, 85871.865, 98, B01, S19, 1
B01, Trade, 85881.250, 103, S03, B01, 1
B01, Trade, 85895.923, 104, B01, S20, 1
B01, Trade, 85901.904, 103, B01, S14, 1
B01, Trade, 85909.519, 107, S03, B01, 1
B01, Trade, 85914.635, 105, S21, B01, 1
B01, Trade, 85930.231, 102, B01, S16, 1
B01, Trade, 85933.865, 112, S24, B01, 1
B01, Trade, 85954.538, 108, S21, B01, 1
B01, Trade, 85965.788, 104, S16, B01, 1
B01, Trade, 85982.673, 107, B01, S01, 1
B01, Trade, 85995.885, 105, B01, S00, 1
B01, Trade, 86004.654, 102, B01, S21, 1
B01, Trade, 86013.288, 108, P01, B01, 1
B01, Trade, 86020.654, 113, B01, S21, 1
B01, Trade, 86041.231, 101, B01, S14, 1
B01, Trade, 86058.904, 107, S19, B01, 1
B01, Trade, 86073.577, 100, B01, S18, 1
B01, Trade, 86080.750, 104, S23, B01, 1
B01, Trade, 86096.346, 103, S10, B01, 1
B01, Trade, 86116.481, 104, B01, S19, 1
B01, Trade, 86127.519, 104, S09, B01, 1
B01, Trade, 86148.750, 107, B01, S23, 1
B01, Trade, 86151.673, 106, S10, B01, 1
B01, Trade, 86161.712, 105, B01, S20, 1
B01, Trade, 86170.615, 108, S13, B01, 1
B01, Trade, 86189.635, 107, B01, S20, 1
B01, Trade, 86196.115, 112, S01, B01, 1
B01, Trade, 86212.538, 100, B01, S15, 1
B01, Trade, 86228.192, 102, B01, S17, 1
B01, Trade, 86248.885, 106, S06, B01, 1
B01, Trade, 86261.885, 108, S05, B01, 1
B01, Trade, 86275.577, 100, B01, S16, 1
B01, Trade, 86284.558, 107, B01, S01, 1
B01, Trade, 86292.327, 113, B01, S18, 1
B01, Trade, 86304.077, 106, S14, B01, 1
B01, Trade, 86350.788, 104, B01, S05, 1
B01, Trade, 86359.077, 110, S09, B01, 1
B01, Trade, 86376.115, 103, B01, S01, 1
B01, Trade, 86379.019, 102, S04, B01, 1
B01, Trade, 86384.385, 109, S23, B01, 1
B01, Trade, 86394.769, 103, S15, B01, 1
B02, 100
B02, Trade, 85020.365, 109, B02, S14, 1
B02, Trade, 85024.615, 109, B02, S11, 1
B02, Trade, 85041.058, 107, S07, B02, 1
B02, Trade, 85055.885, 100, B02, S19, 1
B02, Trade, 85066.981, 108, S05, B02, 1
B02, Trade, 85076.481, 104, B02, S04, 1
B02, Trade, 85101.635, 113, S14, B02, 1
B02, Trade, 85103.885, 107, S07, B02, 1
B02, Trade, 85119.385, 108, S22, B02, 1
B02, Trade, 85131.519, 109, S03, B02, 1
B02, Trade, 85141.212, 106, B02, S00, 1
B02, Trade, 85147.885, 110, P01, B02, 1
B02, Trade, 85161.538, 107, S10, B02, 1
B02, Trade, 85176.019, 106, B02, S21, 1
B02, Trade, 85181.904, 113, S04, B02, 1
B02, Trade, 85189.731, 108, B02, S17, 1
B02, Trade, 85206.827, 110, B02, S18, 1
B02, Trade, 85218.846, 109, S20, B02, 1
B02, Trade, 85231.865, 99, S17, B02, 1
B02, Trade, 85257.596, 108, S03, B02, 1
B02, Trade, 85294.442, 111, P01, B02, 1
B02, Trade, 85315.077, 105, S13, B02, 1
B02, Trade, 85330.154, 106, B02, S01, 1
B02, Trade, 85344.577, 108, S03, B02, 1
B02, Trade, 85376.077, 106, B02, S06, 1
B02, Trade, 85395.635, 97, B02, S19, 1
B02, Trade, 85397.154, 103, S16, B02, 1
B02, Trade, 85430.808, 105, S04, B02, 1
B02, Trade, 85449.558, 109, P01, B02, 1
B02, Trade, 85464.000, 105, B02, S06, 1
B02, Trade, 85472.154, 104, B02, S14, 1
B02, Trade, 85475.865, 103, B02, S09, 1
B02, Trade, 85492.442, 104, S04, B02, 1
B02, Trade, 85494.442, 99, S23, B02, 1
B02, Trade, 85514.981, 102, B02, S19, 1
B02, Trade, 85520.577, 104, P01, B02, 1
B02, Trade, 85526.077, 104, B02, S12, 1
B02, Trade, 85542.962, 102, S06, B02, 1
B02, Trade, 85551.173, 105, S13, B02, 1
B02, Trade, 85569.096, 105, P01, B02, 1
B02, Trade, 85577.519, 107, S10, B02, 1
B02, Trade, 85586.923, 99, B02, S24, 1
B02, Trade, 85604.269, 106, S23, B02, 1
B02, Trade, 85617.846, 98, B02, S24, 1
B02, Trade, 85631.596, 106, B02, S01, 1
B02, Trade, 85643.846, 99, B02, S15, 1
B02, Trade, 85654.481, 98, S07, B02, 1
B02, Trade, 85666.308, 101, S00, B02, 1
B02, Trade, 85674.981, 107, B02, S14, 1
B02, Trade, 85685.692, 102, B02, S10, 1
B02, Trade, 85718.462, 103, S10, B02, 1
B02, Trade, 85733.308, 104, B02, S08, 1
B02, Trade, 85742.500, 105, B02, S03, 1
B02, Trade, 85758.769, 103, P01, B02, 1
B02, Trade, 85772.942, 105, S07, B02, 1
B02, Trade, 85812.423, 100, B02, S21, 1
B02, Trade, 85815.385, 113, S14, B02, 1
B02, Trade, 85843.346, 105, B02, S03, 1
B02, Trade, 85850.404, 108, S04, B02, 1
B02, Trade, 85861.288, 101, B02, S01, 1
B02, Trade, 85883.135, 107, B02, S08, 1
B02, Trade, 85895.846, 115, S14, B02, 1
B02, Trade, 85921.346, 104, B02, S13, 1
B02, Trade, 85922.077, 105, B02, S15, 1
B02, Trade, 85948.308, 98, B02, S14, 1
B02, Trade, 85960.462, 112, B02, S00, 1
B02, Trade, 85977.712, 105, B02, S13, 1
B02, Trade, 85984.692, 111, S00, B02, 1
B02, Trade, 85994.538, 107, B02, S20, 1
B02, Trade, 86020.692, 114, S03, B02, 1
B02, Trade, 86025.058, 102, B02, S18, 1
B02, Trade, 86047.000, 103, B02, S07, 1
B02, Trade, 86060.654, 107, S03, B02, 1
B02, Trade, 86065.115, 117, S18, B02, 1
B02, Trade, 86089.846, 102, B02, S14, 1
B02, Trade, 86101.558, 102, B02, S17, 1
B02, Trade, 86103.269, 115, S01, B02, 1
B02, Trade, 86115.154, 107, S13, B02, 1
B02, Trade, 86133.942, 100, B02, S12, 1
B02, Trade, 86149.750, 108, S00, B02, 1
B02, Trade, 86165.115, 104, B02, S12, 1
B02, Trade, 86169.327, 106, B02, S03, 1
B02, Trade, 86183.577, 107, B02, S06, 1
B02, Trade, 86189.673, 110, S14, B02, 1
B02, Trade, 86203.462, 106, B02, S12, 1
B02, Trade, 86214.577, 103, S07, B02, 1
B02, Trade, 86236.827, 107, B02, S21, 1
B02, Trade, 86240.096, 110, S20, B02, 1
B02, Trade, 86262.904, 108, S24, B02, 1
B02, Trade, 86264.808, 108, S14, B02, 1
B02, Trade, 86287.423, 100, B02, S24, 1
B02, Trade, 86291.096, 107, S17, B02, 1
B02, Trade, 86300.885, 102, B02, S06, 1
B02, Trade, 86305.981, 107, S03, B02, 1
B02, Trade, 86323.808, 107, B02, S09, 1
B02, Trade, 86326.327, 104, S16, B02, 1
B02, Trade, 86341.558, 102, B02, S19, 1
B02, Trade, 86346.519, 106, S10, B02, 1
B02, Trade, 86371.308, 101, B02, S22, 1
B02, Trade, 86390.327, 104, S19, B02, 1
B03, 100
B03, Trade, 85182.692, 113, B03, P00, 1
B03, Trade, 85201.615, 111, S03, B03, 1
B03, Trade, 85210.788, 104, S07, B03, 1
B03, Trade, 85227.192, 103, S06, B03, 1
B03, Trade, 85251.500, 105, S01, B03, 1
B03, Trade, 85262.750, 102, B03, S15, 1
B03, Trade, 85285.269, 110, S08, B03, 1
B03, Trade, 85300.462, 109, S18, B03, 1
B03, Trade, 85312.865, 102, B03, S12, 1
B03, Trade, 85316.673, 108, S07, B03, 1
B03, Trade, 85332.519, 107, B03, S12, 1
B03, Trade, 85337.558, 108, S03, B03, 1
B03, Trade, 85360.365, 103, S13, B03, 1
B03, Trade, 85363.577, 104, B03, S09, 1
B03, Trade, 85382.404, 97, B03, S15, 1
B03, Trade, 85391.538, 97, B03, S09, 1
B03, Trade, 85400.481, 104, S18, B03, 1
B03, Trade, 85405.462, 109, S09, B03, 1
B03, Trade, 85413.462, 113, S04, B03, 1
B03, Trade, 85428.635, 110, P01, B03, 1
B03, Trade, 85450.038, 98, B03, S24, 1
B03, Trade, 85450.404, 107, S14, B03, 1
B03, Trade, 85471.500, 107, S18, B03, 1
B03, Trade, 85482.750, 99, S07, B03, 1
B03, Trade, 85486.654, 114, S09, B03, 1
B03, Trade, 85497.404, 101, S06, B03, 1
B03, Trade, 85515.750, 101, B03, S00, 1
B03, Trade, 85526.250, 104, B03, S14, 1
B03, Trade, 85546.308, 102, S07, B03, 1
B03, Trade, 85554.538, 101, S16, B03, 1
B03, Trade, 85578.731, 112, S15, B03, 1
B03, Trade, 85588.577, 103, S04, B03, 1
B03, Trade, 85600.885, 101, S05, B03, 1
B03, Trade, 85607.788, 102, P01, B03, 1
B03, Trade, 85620.250, 103, B03, S12, 1
B03, Trade, 85625.135, 108, S03, B03, 1
B03, Trade, 85638.404, 105, S17, B03, 1
B03, Trade, 85646.096, 101, S04, B03, 1
B03, Trade, 85662.923, 105, S20, B03, 1
B03, Trade, 85674.077, 109, P01, B03, 1
B03, Trade, 85687.269, 104, S23, B03, 1
B03, Trade, 85697.462, 101, S01, B03, 1
B03, Trade, 85707.481, 106, B03, S01, 1
B03, Trade, 85714.808, 104, P01, B03, 1
B03, Trade, 85728.288, 110, S13, B03, 1
B03, Trade, 85748.154, 102, B03, S06, 1
B03, Trade, 85755.769, 103, S21, B03, 1
B03, Trade, 85767.596, 100, S05, B03, 1
B03, Trade, 85774.865, 106, S13, B03, 1
B03, Trade, 85792.250, 103, S03, B03, 1
B03, Trade, 85802.962, 108, S00, B03, 1
B03, Trade, 85814.019, 108, S08, B03, 1
B03, Trade, 85828.154, 101, S24, B03, 1
B03, Trade, 85836.635, 102, B03, S22, 1
B03, Trade, 85847.423, 114, S23, B03, 1
B03, Trade, 85866.635, 99, B03, S12, 1
B03, Trade, 85872.365, 107, S23, B03, 1
B03, Trade, 85875.231, 108, S18, B03, 1
B03, Trade, 85885.269, 105, S15, B03, 1
B03, Trade, 85899.981, 114, S08, B03, 1
B03, Trade, 85912.192, 108, S20, B03, 1
B03, Trade, 85929.212, 102, B03, S18, 1
B03, Trade, 85932.538, 111, S10, B03, 1
B03, Trade, 85940.577, 104, S18, B03, 1
B03, Trade, 85950.346, 107, S03, B03, 1
B03, Trade, 85960.038, 113, S20, B03, 1
