B00, 100
B00, Trade, 85076.096, 134, S13, B00, 1
B00, Trade, 85090.615, 130, B00, S13, 1
B00, Trade, 85115.077, 132, S06, B00, 1
B00, Trade, 85129.596, 133, S01, B00, 1
B00, Trade, 85144.865, 132, S04, B00, 1
B00, Trade, 85157.038, 126, B00, S17, 1
B00, Trade, 85171.808, 130, P00, B00, 1
B00, Trade, 85182.250, 132, B00, S21, 1
B00, Trade, 85186.115, 128, B00, S07, 1
B00, Trade, 85205.000, 132, B00, S13, 1
B00, Trade, 85228.673, 128, B00, S02, 1
B00, Trade, 85232.788, 127, S10, B00, 1
B00, Trade, 85244.692, 133, S00, B00, 1
B00, Trade, 85266.942, 131, S22, B00, 1
B00, Trade, 85301.250, 131, S20, B00, 1
B00, Trade, 85311.058, 129, S13, B00, 1
B00, Trade, 85322.019, 114, S21, B00, 1
B00, Trade, 85338.404, 135, S13, B00, 1
B00, Trade, 85362.423, 135, S20, B00, 1
B00, Trade, 85379.096, 125, P00, B00, 1
B00, Trade, 85386.808, 130, B00, S04, 1
B00, Trade, 85411.423, 130, S18, B00, 1
B00, Trade, 85416.385, 128, S22, B00, 1
B00, Trade, 85434.750, 129, B00, S13, 1
B00, Trade, 85440.269, 133, S17, B00, 1
B00, Trade, 85462.923, 128, S12, B00, 1
B00, Trade, 85473.096, 129, S05, B00, 1
B00, Trade, 85491.365, 126, B00, S07, 1
B00, Trade, 85509.596, 127, B00, S10, 1
B00, Trade, 85517.269, 131, S04, B00, 1
B00, Trade, 85524.250, 133, P00, B00, 1
B00, Trade, 85541.269, 131, B00, S20, 1
B00, Trade, 85544.673, 129, S04, B00, 1
B00, Trade, 85561.942, 123, B00, S00, 1
B00, Trade, 85568.615, 127, B00, S21, 1
B00, Trade, 85587.577, 127, B00, S20, 1
B00, Trade, 85604.442, 132, S05, B00, 1
B00, Trade, 85625.519, 130, B00, S02, 1
B00, Trade, 85642.000, 134, B00, S09, 1
B00, Trade, 85650.942, 128, S09, B00, 1
B00, Trade, 85664.500, 129, B00, S24, 1
B00, Trade, 85669.192, 131, S08, B00, 1
B00, Trade, 85682.519, 133, B00, S15, 1
B00, Trade, 85686.231, 128, S08, B00, 1
B00, Trade, 85705.365, 131, B00, S11, 1
B00, Trade, 85712.788, 134, S04, B00, 1
B00, Trade, 85728.558, 135, S04, B00, 1
B00, Trade, 85738.865, 133, B00, S22, 1
B00, Trade, 85745.654, 138, S05, B00, 1
B00, Trade, 85760.000, 129, B00, S03, 1
B00, Trade, 85774.692, 134, S24, B00, 1
B00, Trade, 85790.942, 129, B00, S13, 1
B00, Trade, 85802.250, 131, B00, S15, 1
B00, Trade, 85816.481, 124, S24, B00, 1
B00, Trade, 85835.365, 128, B00, S05, 1
B00, Trade, 85848.000, 136, S24, B00, 1
B00, Trade, 85859.192, 127, S15, B00, 1
B00, Trade, 85878.538, 127, B00, S03, 1
B00, Trade, 85883.288, 129, B00, S02, 1
B00, Trade, 85886.846, 130, S04, B00, 1
B00, Trade, 85899.365, 131, B00, S14, 1
B00, Trade, 85915.827, 129, S15, B00, 1
B00, Trade, 85927.596, 127, B00, S12, 1
B00, Trade, 85945.942, 135, B00, S18, 1
B00, Trade, 85957.096, 129, B00, S03, 1
B00, Trade, 85979.462, 127, B00, S17, 1
B00, Trade, 85985.250, 129, B00, S20, 1
B00, Trade, 85996.962, 134, P00, B00, 1
B00, Trade, 86007.904, 129, B00, S07, 1
B00, Trade, 86023.635, 132, S16, B00, 1
B00, Trade, 86044.192, 124, B00, S05, 1
