B00, 100
B00, Trade, 85287.212, 160, S05, B00, 1
B00, Trade, 85297.327, 154, S17, B00, 1
B00, Trade, 85315.346, 154, B00, S03, 1
B00, Trade, 85320.635, 155, S09, B00, 1
B00, Trade, 85330.077, 151, B00, S07, 1
B00, Trade, 85339.000, 147, S09, B00, 1
B00, Trade, 85344.731, 155, S18, B00, 1
B00, Trade, 85357.192, 157, S24, B00, 1
B00, Trade, 85366.827, 152, B00, S08, 1
B00, Trade, 85379.192, 159, S14, B00, 1
B00, Trade, 85384.827, 158, S11, B00, 1
B00, Trade, 85396.615, 157, S14, B00, 1
B00, Trade, 85404.904, 156, S03, B00, 1
B00, Trade, 85424.288, 159, S15, B00, 1
B00, Trade, 85442.442, 155, S21, B00, 1
B00, Trade, 85445.923, 159, S15, B00, 1
B00, Trade, 85459.269, 161, S12, B00, 1
B00, Trade, 85463.250, 157, S08, B00, 1
B00, Trade, 85475.385, 155, S01, B00, 1
B00, Trade, 85490.481, 162, S04, B00, 1
B00, Trade, 85500.519, 155, S18, B00, 1
B00, Trade, 85507.808, 162, S11, B00, 1
B00, Trade, 85517.750, 156, B00, S04, 1
B00, Trade, 85524.288, 159, P00, B00, 1
B00, Trade, 85537.750, 158, S02, B00, 1
B00, Trade, 85547.019, 158, S18, B00, 1
B00, Trade, 85573.962, 153, B00, S10, 1
B00, Trade, 85575.442, 155, S09, B00, 1
B00, Trade, 85589.712, 156, S17, B00, 1
B00, Trade, 85608.538, 153, S21, B00, 1
B00, Trade, 85614.558, 156, P00, B00, 1
B00, Trade, 85628.462, 160, S01, B00, 1
B00, Trade, 85633.192, 161, S07, B00, 1
B00, Trade, 85643.115, 157, P00, B00, 1
B00, Trade, 85653.404, 154, S15, B00, 1
B00, Trade, 85668.769, 149, S11, B00, 1
B00, Trade, 85681.269, 157, S12, B00, 1
B00, Trade, 85691.923, 154, B00, S16, 1
B00, Trade, 85701.327, 157, S12, B00, 1
B00, Trade, 85705.058, 157, S01, B00, 1
B00, Trade, 85715.481, 153, S03, B00, 1
B00, Trade, 85729.231, 160, S15, B00, 1
B00, Trade, 85733.327, 157, S08, B00, 1
B00, Trade, 85746.788, 160, S09, B00, 1
B00, Trade, 85752.731, 155, S14, B00, 1
B00, Trade, 85776.769, 155, S11, B00, 1
B00, Trade, 85791.827, 160, S14, B00, 1
B00, Trade, 85808.865, 153, B00, S02, 1
B00, Trade, 85816.135, 155, S14, B00, 1
B00, Trade, 85839.923, 155, S17, B00, 1
B00, Trade, 85870.538, 158, S18, B00, 1
B00, Trade, 85874.712, 153, S05, B00, 1
B00, Trade, 85884.404, 151, B00, S10, 1
B00, Trade, 85908.346, 157, S24, B00, 1
B00, Trade, 85918.173, 151, B00, S20, 1
B00, Trade, 85928.096, 146, B00, S06, 1
B00, Trade, 85939.077, 158, P00, B00, 1
B00, Trade, 85949.577, 156, S24, B00, 1
B00, Trade, 85960.577, 154, S24, B00, 1
B00, Trade, 85965.404, 158, S04, B00, 1
B00, Trade, 85977.346, 149, S05, B00, 1
B00, Trade, 85984.115, 156, S09, B00, 1
B00, Trade, 86008.442, 161, S20, B00, 1
B00, Trade, 86014.538, 152, S19, B00, 1
B00, Trade, 86028.692, 151, S20, B00, 1
B00, Trade, 86040.000, 161, S15, B00, 1
B00, Trade, 86055.538, 155, B00, S01, 1
B00, Trade, 86072.135, 162, S04, B00, 1
B00, Trade, 86076.923, 169, S18, B00, 1
B00, Trade, 86089.865, 150, S11, B00, 1
B00, Trade, 86094.942, 153, S03, B00, 1
B00, Trade, 86108.173, 154, S11, B00, 1
B00, Trade, 86114.308, 155, S24, B00, 1
B00, Trade, 86126.462, 149, S10, B00, 1
B00, Trade, 86134.904, 155, S18, B00, 1
B00, Trade, 86147.962, 154, S24, B00, 1
B00, Trade, 86163.058, 156, S14, B00, 1
B00, Trade, 86167.865, 159, S07, B00, 1
B00, Trade, 86178.385, 148, B00, S00, 1
B00, Trade, 86188.135, 164, S02, B00, 1
B00, Trade, 86194.692, 157, S10, B00, 1
B00, Trade, 86213.981, 156, B00, S24, 1
B00, Trade, 86215.577, 158, S09, B00, 1
B00, Trade, 86236.865, 150, B00, S10, 1
B00, Trade, 86239.808, 156, P00, B00, 1
B00, Trade, 86248.269, 158, S13, B00, 1
B00, Trade, 86260.154, 156, S10, B00, 1
B00, Trade, 86284.096, 154, S11, B00, 1
B00, Trade, 86298.038, 148, B00, S08, 1
B00, Trade, 86304.192, 155, S11, B00, 1
B00, Trade, 86306.019, 154, S18, B00, 1
B00, Trade, 86322.635, 155, S17, B00, 1
B00, Trade, 86333.481, 160, B00, S19, 1
B00, Trade, 86341.846, 157, S11, B00, 1
B00, Trade, 86344.269, 157, P00, B00, 1
B00, Trade, 86358.346, 158, S01, B00, 1
B00, Trade, 86367.673, 151, P00, B00, 1
B00, Trade, 86379.692, 155, S23, B00, 1
B00, Trade, 86389.365, 154, P00, B00, 1
B00, Trade, 86397.769, 153, S05, B00, 1
B01, 100
B01, Trade, 83506.538, 159, S17, B01, 1
B01, Trade, 83512.192, 158, S05, B01, 1
B01, Trade, 83528.038, 168, S05, B01, 1
B01, Trade, 83542.019, 164, S01, B01, 1
B01, Trade, 83568.962, 161, B01, S05, 1
B01, Trade, 83606.885, 158, S17, B01, 1
B01, Trade, 83663.212, 158, S16, B01, 1
B01, Trade, 83705.000, 161, P00, B01, 1
B01, Trade, 83803.712, 155, B01, S07, 1
B01, Trade, 83827.596, 158, S11, B01, 1
B01, Trade, 83863.231, 161, S17, B01, 1
B01, Trade, 83917.423, 163, S07, B01, 1
B01, Trade, 83930.192, 162, S11, B01, 1
B01, Trade, 83964.500, 163, S13, B01, 1
B01, Trade, 83966.654, 167, S20, B01, 1
B01, Trade, 83980.769, 156, S01, B01, 1
B01, Trade, 84000.865, 154, S12, B01, 1
