Date,Close,Volume
2025-03-02T00:00:00.000Z,"85,986.31","95,156,224.00"
2025-03-02T00:05:00.000Z,"86,100.65",0
2025-03-02T00:10:00.000Z,"85,984.44","722,231,296.00"
2025-03-02T00:15:00.000Z,"85,990.88","18,354,176.00"
2025-03-02T00:20:00.000Z,"85,837.46",0
2025-03-02T00:25:00.000Z,"85,862.61","369,686,528.00"
2025-03-02T00:30:00.000Z,"86,066.82",0
2025-03-02T00:35:00.000Z,"86,155.20","37,474,304.00"
2025-03-02T00:40:00.000Z,"86,163.98",0
2025-03-02T00:45:00.000Z,"86,098.12","17,858,560.00"
2025-03-02T00:50:00.000Z,"86,084.29","669,896,704.00"
2025-03-02T00:55:00.000Z,"85,988.09",0
2025-03-02T01:00:00.000Z,"86,122.97","646,598,656.00"
2025-03-02T01:05:00.000Z,"86,144.35",0
2025-03-02T01:10:00.000Z,"86,237.63",0
2025-03-02T01:15:00.000Z,"86,301.21","699,725,824.00"
2025-03-02T01:20:00.000Z,"86,213.76","51,415,040.00"
2025-03-02T01:25:00.000Z,"86,181.48",0
2025-03-02T01:30:00.000Z,"86,052.94",0
2025-03-02T01:35:00.000Z,"86,225.40","594,630,656.00"
2025-03-02T01:40:00.000Z,"86,165.36",0
2025-03-02T01:45:00.000Z,"86,203.82",0
2025-03-02T01:50:00.000Z,"86,295.71",0
2025-03-02T01:55:00.000Z,"86,305.27",0
2025-03-02T02:00:00.000Z,"86,383.04","715,755,520.00"
2025-03-02T02:05:00.000Z,"86,443.10",0
2025-03-02T02:10:00.000Z,"86,294.99","653,146,112.00"
2025-03-02T02:15:00.000Z,"86,204.03",0
2025-03-02T02:20:00.000Z,"86,215.05",0
2025-03-02T02:25:00.000Z,"86,105.36",0
2025-03-02T02:30:00.000Z,"85,743.76",0
2025-03-02T02:35:00.000Z,"85,774.37","159,356,928.00"
2025-03-02T02:40:00.000Z,"85,673.86",0
2025-03-02T02:45:00.000Z,"85,827.23",0
2025-03-02T02:50:00.000Z,"85,680.54","190,822,400.00"
2025-03-02T02:55:00.000Z,"85,671.16",0
2025-03-02T03:00:00.000Z,"85,796.91",0
2025-03-02T03:05:00.000Z,"85,850.22","659,156,992.00"
2025-03-02T03:10:00.000Z,"85,900.64",0
2025-03-02T03:15:00.000Z,"85,843.24","565,958,656.00"
2025-03-02T03:20:00.000Z,"85,743.16",0
2025-03-02T03:25:00.000Z,"85,822.61","583,895,040.00"
2025-03-02T03:30:00.000Z,"85,803.05",0
2025-03-02T03:35:00.000Z,"85,798.05",0
2025-03-02T03:40:00.000Z,"85,881.18","37,347,328.00"
2025-03-02T03:45:00.000Z,"85,985.67",0
2025-03-02T03:50:00.000Z,"85,987.61",0
2025-03-02T03:55:00.000Z,"85,876.81","147,974,144.00"
2025-03-02T04:00:00.000Z,"85,787.95",0
2025-03-02T04:05:00.000Z,"85,656.62",0
2025-03-02T04:10:00.000Z,"85,689.00",0
2025-03-02T04:15:00.000Z,"85,659.71",0
2025-03-02T04:20:00.000Z,"85,537.20",0
2025-03-02T04:25:00.000Z,"85,647.11","188,430,336.00"
