B01, Trade, 85545.750, 102, B01, S08, 1
B01, Trade, 85562.250, 97, B01, S05, 1
B01, Trade, 85569.269, 106, S20, B01, 1
B01, Trade, 85583.346, 100, B01, S08, 1
B01, Trade, 85597.750, 100, B01, S04, 1
B01, Trade, 85604.423, 100, B01, S23, 1
B01, Trade, 85616.269, 105, B01, S12, 1
B01, Trade, 85632.808, 105, B01, S04, 1
B01, Trade, 85649.788, 97, B01, S05, 1
B01, Trade, 85653.692, 100, B01, S08, 1
B01, Trade, 85663.019, 101, B01, S17, 1
B01, Trade, 85677.096, 102, S23, B01, 1
B01, Trade, 85688.481, 101, B01, S17, 1
B01, Trade, 85707.038, 103, S12, B01, 1
B01, Trade, 85731.846, 104, B01, S10, 1
B01, Trade, 85744.500, 104, S08, B01, 1
B01, Trade, 85750.788, 102, B01, S04, 1
B01, Trade, 85754.942, 101, S24, B01, 1
B01, Trade, 85774.885, 102, B01, S07, 1
B01, Trade, 85778.135, 103, S08, B01, 1
B01, Trade, 85784.904, 99, P01, B01, 1
B01, Trade, 85802.846, 104, S03, B01, 1
B01, Trade, 85809.942, 102, B01, S05, 1
B01, Trade, 85824.962, 100, B01, S04, 1
B01, Trade, 85832.135, 108, B01, S22, 1
B01, Trade, 85851.750, 96, B01, S17, 1
B01, Trade, 85865.385, 101, B01, S22, 1
B01, Trade, 85885.212, 107, S22, B01, 1
B01, Trade, 85897.827, 109, B01, S13, 1
B01, Trade, 85921.615, 112, B01, S22, 1
B01, Trade, 85925.673, 106, B01, S24, 1
B01, Trade, 85939.712, 100, B01, S14, 1
B01, Trade, 85946.538, 104, B01, S11, 1
B01, Trade, 85957.615, 106, S00, B01, 1
B01, Trade, 85970.923, 109, B01, S01, 1
B01, Trade, 85979.558, 107, B01, S09, 1
B01, Trade, 85996.712, 109, S22, B01, 1
B01, Trade, 86014.769, 101, B01, S16, 1
B01, Trade, 86024.096, 110, B01, S05, 1
B01, Trade, 86032.904, 110, B01, S19, 1
B01, Trade, 86040.654, 102, B01, S23, 1
B01, Trade, 86057.038, 102, B01, S21, 1
B01, Trade, 86071.077, 104, S07, B01, 1
B01, Trade, 86081.827, 106, B01, S03, 1
B01, Trade, 86095.981, 104, B01, S14, 1
B01, Trade, 86103.519, 105, B01, S24, 1
B01, Trade, 86109.269, 101, B01, S21, 1
B01, Trade, 86116.769, 107, B01, S13, 1
B01, Trade, 86127.038, 100, B01, S20, 1
B01, Trade, 86144.500, 102, B01, S04, 1
B01, Trade, 86146.577, 102, B01, S04, 1
B01, Trade, 86157.231, 108, B01, S12, 1
B01, Trade, 86166.442, 108, S06, B01, 1
B01, Trade, 86180.712, 107, B01, S01, 1
B01, Trade, 86191.750, 105, B01, S10, 1
B01, Trade, 86196.365, 104, P01, B01, 1
B01, Trade, 86208.538, 105, B01, S06, 1
B01, Trade, 86223.423, 112, S01, B01, 1
B01, Trade, 86228.019, 104, B01, S05, 1
B01, Trade, 86234.615, 107, S08, B01, 1
B01, Trade, 86256.615, 103, B01, S16, 1
B01, Trade, 86260.865, 104, B01, S19, 1
B01, Trade, 86277.500, 110, S06, B01, 1
B01, Trade, 86289.750, 101, B01, S08, 1
B01, Trade, 86309.250, 106, B01, S12, 1
B01, Trade, 86316.654, 105, S12, B01, 1
B01, Trade, 86330.712, 111, B01, S17, 1
B01, Trade, 86343.558, 105, S23, B01, 1
B01, Trade, 86347.481, 106, B01, S22, 1
B01, Trade, 86362.827, 107, B01, S19, 1
B01, Trade, 86367.404, 109, B01, S08, 1
B01, Trade, 86378.558, 106, B01, S07, 1
B01, Trade, 86392.019, 104, B01, S11, 1
B02, 100
B02, Trade, 85239.000, 109, S15, B02, 1
B02, Trade, 85243.442, 100, S16, B02, 1
B02, Trade, 85260.827, 107, B02, S17, 1
B02, Trade, 85272.038, 110, S07, B02, 1
B02, Trade, 85280.423, 110, S07, B02, 1
B02, Trade, 85289.923, 106, S11, B02, 1
B02, Trade, 85295.635, 105, B02, S24, 1
B02, Trade, 85310.827, 103, B02, S03, 1
B02, Trade, 85322.692, 100, S19, B02, 1
