B00, 100
B00, Trade, 84945.288, 112, S15, B00, 1
B00, Trade, 84971.038, 111, S01, B00, 1
B00, Trade, 84971.500, 112, S21, B00, 1
B00, Trade, 84987.904, 106, B00, S22, 1
B00, Trade, 85011.615, 111, P00, B00, 1
B00, Trade, 85032.423, 107, B00, S09, 1
B00, Trade, 85052.596, 101, B00, S14, 1
B00, Trade, 85056.154, 111, B00, S07, 1
B00, Trade, 85064.192, 108, S22, B00, 1
B00, Trade, 85079.481, 102, B00, S16, 1
B00, Trade, 85083.750, 95, B00, S21, 1
B00, Trade, 85103.038, 111, S02, B00, 1
B00, Trade, 85123.115, 102, B00, S09, 1
B00, Trade, 85124.038, 107, P00, B00, 1
B00, Trade, 85142.019, 111, S22, B00, 1
B00, Trade, 85153.712, 109, S00, B00, 1
B00, Trade, 85178.500, 106, S00, B00, 1
B00, Trade, 85184.308, 113, S23, B00, 1
B00, Trade, 85199.692, 105, B00, S06, 1
B00, Trade, 85209.654, 108, B00, S21, 1
B00, Trade, 85226.731, 115, S14, B00, 1
B00, Trade, 85242.673, 105, B00, S13, 1
B00, Trade, 85253.154, 107, B00, S24, 1
B00, Trade, 85258.462, 105, B00, S11, 1
B00, Trade, 85267.423, 112, S04, B00, 1
B00, Trade, 85280.519, 108, S14, B00, 1
B00, Trade, 85289.846, 105, B00, S09, 1
B00, Trade, 85304.212, 106, B00, S11, 1
B00, Trade, 85319.115, 104, B00, S18, 1
B00, Trade, 85335.788, 101, S06, B00, 1
B00, Trade, 85359.423, 100, B00, S11, 1
B00, Trade, 85369.962, 107, S00, B00, 1
B00, Trade, 85386.462, 114, S12, B00, 1
B00, Trade, 85409.173, 100, B00, S23, 1
B00, Trade, 85414.788, 109, S00, B00, 1
B00, Trade, 85427.904, 108, B00, S20, 1
B00, Trade, 85436.192, 105, B00, S08, 1
B00, Trade, 85461.250, 108, S17, B00, 1
B00, Trade, 85472.577, 102, B00, S10, 1
B00, Trade, 85479.250, 105, S04, B00, 1
B00, Trade, 85488.865, 104, S22, B00, 1
B00, Trade, 85506.154, 106, B00, S10, 1
B00, Trade, 85519.923, 107, S08, B00, 1
B00, Trade, 85535.673, 100, B00, S01, 1
B00, Trade, 85546.904, 110, B00, S24, 1
B00, Trade, 85561.731, 104, B00, S12, 1
B00, Trade, 85567.769, 98, B00, S24, 1
B00, Trade, 85586.019, 107, B00, S21, 1
B00, Trade, 85590.981, 109, P00, B00, 1
B00, Trade, 85619.327, 102, B00, S04, 1
B00, Trade, 85623.212, 105, P00, B00, 1
B00, Trade, 85649.577, 108, B00, S09, 1
B00, Trade, 85666.558, 108, S14, B00, 1
B00, Trade, 85682.192, 113, B00, S11, 1
B00, Trade, 85683.212, 117, S15, B00, 1
B00, Trade, 85704.615, 112, B00, S16, 1
B00, Trade, 85711.173, 109, B00, S13, 1
B00, Trade, 85721.635, 108, B00, S08, 1
B00, Trade, 85749.769, 106, B00, S24, 1
B00, Trade, 85773.385, 108, S16, B00, 1
B00, Trade, 85793.808, 103, B00, S13, 1
B00, Trade, 85808.615, 101, B00, S24, 1
B00, Trade, 85822.154, 93, S16, B00, 1
B00, Trade, 85843.769, 101, B00, S16, 1
B00, Trade, 85865.635, 102, S12, B00, 1
B00, Trade, 85880.115, 98, S18, B00, 1
B00, Trade, 85896.385, 99, B00, S05, 1
B00, Trade, 85910.038, 98, B00, S20, 1
B00, Trade, 85925.712, 103, S15, B00, 1
B00, Trade, 85944.654, 100, B00, S13, 1
B00, Trade, 85952.327, 100, S18, B00, 1
B00, Trade, 85968.212, 97, B00, S07, 1
B00, Trade, 85973.538, 99, P00, B00, 1
B00, Trade, 85987.038, 99, S02, B00, 1
B00, Trade, 86010.365, 98, B00, S10, 1
B00, Trade, 86027.846, 110, B00, S01, 1
B00, Trade, 86034.019, 108, S02, B00, 1
B00, Trade, 86048.135, 105, S00, B00, 1
B00, Trade, 86066.077, 97, B00, S02, 1
B00, Trade, 86067.269, 103, P00, B00, 1
B00, Trade, 86102.981, 105, S16, B00, 1
B00, Trade, 86117.923, 105, S17, B00, 1
B00, Trade, 86129.846, 103, B00, S14, 1
B00, Trade, 86143.019, 94, B00, S07, 1
B00, Trade, 86153.327, 103, S12, B00, 1
B00, Trade, 86161.288, 100, B00, S17, 1
B00, Trade, 86170.788, 100, S17, B00, 1
B00, Trade, 86182.327, 98, B00, S24, 1
B00, Trade, 86196.096, 103, S14, B00, 1
B00, Trade, 86206.865, 96, S21, B00, 1
B00, Trade, 86225.385, 96, S10, B00, 1
B00, Trade, 86236.308, 96, S12, B00, 1
B00, Trade, 86263.981, 102, S21, B00, 1
B00, Trade, 86293.462, 96, B00, S10, 1
B00, Trade, 86307.442, 97, B00, S21, 1
B00, Trade, 86320.942, 101, S21, B00, 1
B00, Trade, 86331.788, 98, S24, B00, 1
B00, Trade, 86340.519, 96, B00, S10, 1
B00, Trade, 86356.077, 100, S01, B00, 1
B00, Trade, 86372.885, 104, B00, S23, 1
B01, 100
B01, Trade, 85103.058, 107, B01, S11, 1
B01, Trade, 85133.385, 118, B01, S07, 1
B01, Trade, 85145.538, 110, B01, S11, 1
B01, Trade, 85160.308, 113, S06, B01, 1
B01, Trade, 85171.788, 105, B01, S18, 1
B01, Trade, 85178.385, 104, S22, B01, 1
B01, Trade, 85190.577, 111, B01, S22, 1
B01, Trade, 85201.808, 103, B01, S07, 1
B01, Trade, 85209.212, 107, S09, B01, 1
B01, Trade, 85215.596, 106, B01, S01, 1
B01, Trade, 85225.192, 102, B01, S19, 1
B01, Trade, 85252.923, 112, S14, B01, 1
B01, Trade, 85263.212, 100, B01, S10, 1
