B00, 100
B00, Trade, 85036.827, 130, S04, B00, 1
B00, Trade, 85050.096, 125, B00, S19, 1
B00, Trade, 85063.904, 128, B00, S12, 1
B00, Trade, 85070.692, 123, B00, S19, 1
B00, Trade, 85084.115, 126, B00, S12, 1
B00, Trade, 85084.769, 126, B00, S14, 1
B00, Trade, 85097.058, 127, S06, B00, 1
B00, Trade, 85112.692, 138, S06, B00, 1
B00, Trade, 85120.538, 128, B00, S21, 1
B00, Trade, 85129.058, 130, B00, S19, 1
B00, Trade, 85143.423, 132, S18, B00, 1
B00, Trade, 85180.269, 131, S24, B00, 1
B00, Trade, 85195.423, 126, B00, S13, 1
B00, Trade, 85219.788, 131, P01, B00, 1
B00, Trade, 85230.404, 130, B00, S03, 1
B00, Trade, 85242.750, 128, B00, S14, 1
B00, Trade, 85243.942, 130, B00, S20, 1
B00, Trade, 85267.327, 127, B00, S17, 1
B00, Trade, 85273.231, 129, B00, S13, 1
B00, Trade, 85280.288, 129, B00, S10, 1
B00, Trade, 85293.769, 129, S02, B00, 1
B00, Trade, 85311.154, 125, B00, S21, 1
B00, Trade, 85315.962, 132, S07, B00, 1
B00, Trade, 85326.712, 131, B00, S05, 1
B00, Trade, 85338.058, 131, S11, B00, 1
B00, Trade, 85351.135, 132, S16, B00, 1
B00, Trade, 85380.000, 136, S14, B00, 1
B00, Trade, 85391.731, 124, B00, S09, 1
B00, Trade, 85394.712, 134, B00, S23, 1
B00, Trade, 85408.115, 127, S06, B00, 1
B00, Trade, 85417.308, 128, S09, B00, 1
B00, Trade, 85436.250, 131, S18, B00, 1
B00, Trade, 85452.635, 125, B00, S14, 1
B00, Trade, 85457.692, 133, S16, B00, 1
B00, Trade, 85476.115, 129, B00, S07, 1
B00, Trade, 85482.058, 133, S11, B00, 1
B00, Trade, 85493.788, 128, S15, B00, 1
B00, Trade, 85517.250, 131, B00, S05, 1
B00, Trade, 85519.808, 132, B00, S20, 1
B00, Trade, 85529.923, 128, B00, S07, 1
B00, Trade, 85533.231, 132, S18, B00, 1
B00, Trade, 85573.000, 131, S11, B00, 1
B00, Trade, 85588.154, 133, B00, S08, 1
B00, Trade, 85596.481, 128, S16, B00, 1
B00, Trade, 85618.135, 136, B00, S24, 1
B00, Trade, 85620.327, 131, S06, B00, 1
B00, Trade, 85630.481, 126, B00, S17, 1
