B00, 100
B00, Trade, 85105.654, 157, S12, B00, 1
B00, Trade, 85114.365, 159, S22, B00, 1
B00, Trade, 85129.808, 153, S13, B00, 1
B00, Trade, 85148.192, 157, S02, B00, 1
B00, Trade, 85168.673, 161, P00, B00, 1
B00, Trade, 85183.288, 154, B00, S00, 1
B00, Trade, 85186.673, 155, S08, B00, 1
B00, Trade, 85202.442, 161, S06, B00, 1
B00, Trade, 85236.404, 156, B00, S21, 1
B00, Trade, 85243.673, 164, S04, B00, 1
B00, Trade, 85257.154, 162, S24, B00, 1
B00, Trade, 85279.558, 153, B00, S05, 1
B00, Trade, 85290.019, 154, S06, B00, 1
B00, Trade, 85305.058, 159, S01, B00, 1
B00, Trade, 85316.673, 156, P00, B00, 1
B00, Trade, 85330.519, 152, S03, B00, 1
B00, Trade, 85334.173, 153, S16, B00, 1
B00, Trade, 85346.115, 150, B00, S05, 1
B00, Trade, 85362.365, 158, S16, B00, 1
B00, Trade, 85379.731, 158, S18, B00, 1
B00, Trade, 85390.250, 160, S16, B00, 1
B00, Trade, 85393.500, 162, S21, B00, 1
B00, Trade, 85405.308, 163, S10, B00, 1
B00, Trade, 85415.365, 157, S02, B00, 1
B00, Trade, 85427.423, 159, S04, B00, 1
B00, Trade, 85449.058, 155, B00, S03, 1
B00, Trade, 85453.346, 158, S19, B00, 1
B00, Trade, 85465.500, 158, S04, B00, 1
B00, Trade, 85491.462, 154, S12, B00, 1
B00, Trade, 85498.365, 151, P00, B00, 1
B00, Trade, 85504.904, 160, P00, B00, 1
B00, Trade, 85518.096, 153, P00, B00, 1
B00, Trade, 85527.750, 156, S06, B00, 1
B00, Trade, 85535.673, 154, P00, B00, 1
B00, Trade, 85549.404, 153, B00, S16, 1
B00, Trade, 85554.654, 156, S16, B00, 1
B00, Trade, 85564.846, 161, S16, B00, 1
B00, Trade, 85579.115, 158, S18, B00, 1
B00, Trade, 85590.750, 160, S13, B00, 1
B00, Trade, 85609.808, 155, S11, B00, 1
B00, Trade, 85618.077, 153, P00, B00, 1
B00, Trade, 85629.731, 156, B00, S06, 1
B00, Trade, 85639.673, 159, S10, B00, 1
B00, Trade, 85658.385, 147, B00, S01, 1
B00, Trade, 85663.346, 159, S24, B00, 1
B00, Trade, 85669.827, 156, B00, S19, 1
B00, Trade, 85673.673, 164, S01, B00, 1
B00, Trade, 85688.654, 155, S17, B00, 1
