B00, 100
B00, Trade, 85110.654, 98, B00, S14, 1
B00, Trade, 85118.808, 103, S05, B00, 1
B00, Trade, 85133.077, 96, B00, S16, 1
B00, Trade, 85142.865, 97, B00, S00, 1
B00, Trade, 85150.962, 97, S03, B00, 1
B00, Trade, 85153.827, 101, S01, B00, 1
B00, Trade, 85165.365, 98, P00, B00, 1
B00, Trade, 85185.635, 101, P00, B00, 1
B00, Trade, 85209.096, 106, B00, S04, 1
B00, Trade, 85212.538, 104, S05, B00, 1
B00, Trade, 85250.288, 103, B00, S15, 1
B00, Trade, 85258.788, 112, S19, B00, 1
B00, Trade, 85267.346, 102, B00, S24, 1
B00, Trade, 85277.135, 107, S23, B00, 1
B00, Trade, 85295.000, 110, B00, S12, 1
B00, Trade, 85299.288, 120, B00, S20, 1
B00, Trade, 85305.135, 113, S06, B00, 1
B00, Trade, 85332.538, 104, S23, B00, 1
B00, Trade, 85342.327, 108, B00, S10, 1
B00, Trade, 85354.615, 113, B00, S16, 1
B00, Trade, 85371.635, 100, B00, S06, 1
B00, Trade, 85378.288, 104, B00, S16, 1
B00, Trade, 85403.038, 103, B00, S10, 1
B00, Trade, 85410.385, 102, S05, B00, 1
B00, Trade, 85425.808, 100, B00, S13, 1
B00, Trade, 85441.173, 109, S01, B00, 1
B00, Trade, 85448.538, 107, B00, S21, 1
B00, Trade, 85454.115, 108, S14, B00, 1
B00, Trade, 85476.000, 109, S04, B00, 1
B00, Trade, 85495.808, 102, B00, S24, 1
B00, Trade, 85511.750, 106, B00, S24, 1
B00, Trade, 85524.923, 99, B00, S03, 1
B00, Trade, 85526.846, 115, S10, B00, 1
B00, Trade, 85579.596, 110, S10, B00, 1
B00, Trade, 85595.077, 109, B00, S08, 1
B00, Trade, 85601.000, 113, S19, B00, 1
B00, Trade, 85610.442, 110, B00, S23, 1
B00, Trade, 85623.346, 103, B00, S00, 1
B00, Trade, 85625.096, 105, B00, S19, 1
B00, Trade, 85642.327, 109, B00, S05, 1
B00, Trade, 85658.154, 108, B00, S24, 1
B00, Trade, 85668.673, 108, S21, B00, 1
B00, Trade, 85677.885, 103, B00, S22, 1
B00, Trade, 85690.231, 110, S07, B00, 1
B00, Trade, 85695.692, 105, B00, S11, 1
B00, Trade, 85709.423, 107, B00, S21, 1
B00, Trade, 85713.885, 105, S09, B00, 1
B00, Trade, 85731.923, 100, B00, S04, 1
B00, Trade, 85734.404, 111, S23, B00, 1
B00, Trade, 85746.288, 113, P00, B00, 1
B00, Trade, 85762.404, 108, B00, S11, 1
B00, Trade, 85777.865, 109, S21, B00, 1
B00, Trade, 85792.692, 106, B00, S18, 1
B00, Trade, 85797.577, 107, S15, B00, 1
B00, Trade, 85813.462, 108, B00, S17, 1
B00, Trade, 85826.519, 109, B00, S13, 1
