B00, 100
B00, Trade, 85035.173, 157, B00, S07, 1
B00, Trade, 85063.231, 162, B00, S23, 1
B00, Trade, 85073.981, 164, S01, B00, 1
B00, Trade, 85085.712, 157, B00, S14, 1
B00, Trade, 85094.962, 162, B00, S16, 1
B00, Trade, 85104.173, 164, S15, B00, 1
B00, Trade, 85125.808, 166, B00, S12, 1
B00, Trade, 85142.692, 167, S00, B00, 1
B00, Trade, 85154.269, 166, B00, S07, 1
B00, Trade, 85172.115, 170, B00, S18, 1
B00, Trade, 85185.442, 159, B00, S03, 1
B00, Trade, 85197.481, 169, S22, B00, 1
B00, Trade, 85212.981, 166, B00, S20, 1
B00, Trade, 85227.981, 170, B00, S00, 1
B00, Trade, 85231.577, 172, S24, B00, 1
B00, Trade, 85241.019, 167, B00, S20, 1
B00, Trade, 85249.904, 169, B00, S06, 1
B00, Trade, 85283.481, 166, B00, S13, 1
B00, Trade, 85295.692, 171, S04, B00, 1
B00, Trade, 85302.500, 171, S15, B00, 1
B00, Trade, 85311.942, 166, B00, S18, 1
B00, Trade, 85321.365, 171, B00, S03, 1
B00, Trade, 85355.385, 163, B00, S22, 1
B00, Trade, 85389.596, 166, S20, B00, 1
B00, Trade, 85392.327, 166, S24, B00, 1
B00, Trade, 85414.115, 168, S14, B00, 1
B00, Trade, 85430.212, 167, B00, S14, 1
B00, Trade, 85435.038, 169, S16, B00, 1
B00, Trade, 85458.596, 163, B00, S02, 1
B00, Trade, 85482.692, 166, S19, B00, 1
B00, Trade, 85485.500, 169, S23, B00, 1
B00, Trade, 85504.615, 160, B00, S21, 1
B00, Trade, 85510.192, 160, B00, S23, 1
B00, Trade, 85521.788, 171, B00, S04, 1
B00, Trade, 85531.365, 177, S18, B00, 1
B00, Trade, 85537.827, 166, B00, S16, 1
B00, Trade, 85543.327, 174, S15, B00, 1
B00, Trade, 85557.846, 169, B00, S16, 1
B00, Trade, 85575.038, 166, B00, S04, 1
B00, Trade, 85581.096, 171, S02, B00, 1
B00, Trade, 85589.096, 162, B00, S07, 1
B00, Trade, 85603.250, 173, B00, S11, 1
B00, Trade, 85604.481, 172, S16, B00, 1
B00, Trade, 85622.615, 169, B00, S20, 1
B00, Trade, 85636.827, 168, S10, B00, 1
B00, Trade, 85652.481, 171, B00, S11, 1
B00, Trade, 85656.173, 167, B00, S09, 1
