B00, 100
B00, Trade, 85044.981, 108, B00, S17, 1
B00, Trade, 85050.000, 101, B00, S11, 1
B00, Trade, 85067.481, 100, B00, S10, 1
B00, Trade, 85078.788, 102, B00, S11, 1
B00, Trade, 85087.769, 98, S05, B00, 1
B00, Trade, 85098.962, 98, B00, S07, 1
B00, Trade, 85113.269, 98, B00, S06, 1
B00, Trade, 85128.346, 97, B00, S11, 1
B00, Trade, 85137.577, 91, B00, S15, 1
B00, Trade, 85141.519, 103, S06, B00, 1
B00, Trade, 85154.788, 103, B00, S19, 1
B00, Trade, 85160.173, 102, B00, S18, 1
B00, Trade, 85169.327, 102, B00, S08, 1
B00, Trade, 85186.769, 101, S06, B00, 1
B00, Trade, 85191.769, 100, B00, S22, 1
B00, Trade, 85228.519, 107, P01, B00, 1
B00, Trade, 85233.596, 113, B00, S09, 1
B00, Trade, 85253.692, 99, B00, S16, 1
B00, Trade, 85268.442, 105, S13, B00, 1
B00, Trade, 85278.635, 106, B00, S00, 1
B00, Trade, 85286.500, 101, B00, S05, 1
B00, Trade, 85301.846, 104, B00, S19, 1
B00, Trade, 85307.346, 106, S04, B00, 1
B00, Trade, 85323.346, 103, B00, S08, 1
B00, Trade, 85337.827, 103, S04, B00, 1
B00, Trade, 85363.731, 103, B00, S20, 1
B00, Trade, 85366.192, 108, S00, B00, 1
B00, Trade, 85383.231, 101, B00, S14, 1
B00, Trade, 85397.269, 100, B00, S00, 1
B00, Trade, 85416.154, 98, B00, S16, 1
B00, Trade, 85426.250, 104, S17, B00, 1
B00, Trade, 85453.481, 100, B00, S15, 1
B00, Trade, 85456.173, 100, S09, B00, 1
B00, Trade, 85472.250, 111, S09, B00, 1
B00, Trade, 85482.808, 105, B00, S10, 1
B00, Trade, 85487.827, 104, B00, S05, 1
B00, Trade, 85501.077, 105, B00, S11, 1
B00, Trade, 85511.269, 102, S07, B00, 1
B00, Trade, 85524.577, 106, B00, S14, 1
B00, Trade, 85529.500, 100, B00, S07, 1
B00, Trade, 85542.308, 106, B00, S10, 1
B00, Trade, 85544.135, 109, P01, B00, 1
B00, Trade, 85568.423, 106, B00, S20, 1
B00, Trade, 85573.077, 108, S19, B00, 1
B00, Trade, 85581.000, 111, S05, B00, 1
B00, Trade, 85589.577, 112, S02, B00, 1
B00, Trade, 85608.019, 106, B00, S07, 1
B00, Trade, 85609.865, 105, B00, S20, 1
B00, Trade, 85619.327, 113, S04, B00, 1
B00, Trade, 85637.423, 115, B00, S23, 1
B00, Trade, 85651.308, 105, S13, B00, 1
B00, Trade, 85667.558, 113, B00, S02, 1
B00, Trade, 85682.904, 106, B00, S23, 1
B00, Trade, 85683.923, 114, S11, B00, 1
B00, Trade, 85694.596, 110, S04, B00, 1
B00, Trade, 85709.769, 107, B00, S19, 1
B00, Trade, 85721.096, 105, B00, S11, 1
B00, Trade, 85731.923, 108, B00, S03, 1
