B00, 100
B00, Trade, 85129.019, 154, B00, S03, 1
B00, Trade, 85137.096, 157, B00, S23, 1
B00, Trade, 85157.154, 155, S15, B00, 1
B00, Trade, 85168.846, 164, S10, B00, 1
B00, Trade, 85179.808, 152, B00, S07, 1
B00, Trade, 85186.692, 159, S13, B00, 1
B00, Trade, 85208.135, 156, B00, S12, 1
B00, Trade, 85212.750, 158, S20, B00, 1
B00, Trade, 85225.519, 146, B00, S14, 1
B00, Trade, 85237.692, 151, B00, S09, 1
B00, Trade, 85243.692, 161, S06, B00, 1
B00, Trade, 85282.192, 157, P01, B00, 1
B00, Trade, 85304.269, 158, S01, B00, 1
B00, Trade, 85325.462, 158, S14, B00, 1
B00, Trade, 85336.788, 153, B00, S22, 1
B00, Trade, 85351.750, 154, B00, S20, 1
B00, Trade, 85366.058, 157, S10, B00, 1
B00, Trade, 85385.404, 153, B00, S22, 1
B00, Trade, 85395.788, 156, B00, S12, 1
B00, Trade, 85401.154, 158, S05, B00, 1
B00, Trade, 85418.538, 158, B00, S09, 1
B00, Trade, 85420.981, 158, S06, B00, 1
B00, Trade, 85444.885, 159, S12, B00, 1
B00, Trade, 85449.981, 159, S21, B00, 1
B00, Trade, 85459.423, 160, S13, B00, 1
B00, Trade, 85482.404, 159, B00, S07, 1
B00, Trade, 85485.519, 161, S06, B00, 1
B00, Trade, 85502.250, 155, S08, B00, 1
B00, Trade, 85515.058, 154, B00, S23, 1
B00, Trade, 85518.500, 160, B00, S04, 1
B00, Trade, 85532.346, 159, S22, B00, 1
B00, Trade, 85544.538, 155, B00, S10, 1
B00, Trade, 85548.346, 157, S09, B00, 1
B00, Trade, 85571.212, 159, S02, B00, 1
B00, Trade, 85576.365, 153, B00, S01, 1
B00, Trade, 85589.558, 157, S21, B00, 1
B00, Trade, 85605.365, 160, S24, B00, 1
B00, Trade, 85624.115, 152, B00, S18, 1
B00, Trade, 85625.615, 158, S06, B00, 1
B00, Trade, 85651.288, 149, B00, S00, 1
B00, Trade, 85653.712, 162, S15, B00, 1
B00, Trade, 85678.096, 150, B00, S02, 1
B00, Trade, 85682.385, 153, B00, S19, 1
B00, Trade, 85692.346, 152, B00, S20, 1
B00, Trade, 85697.923, 151, S05, B00, 1
B00, Trade, 85713.269, 167, S18, B00, 1
B00, Trade, 85727.885, 150, B00, S20, 1
B00, Trade, 85751.000, 156, S15, B00, 1
B00, Trade, 85768.404, 158, S22, B00, 1
B00, Trade, 85785.596, 152, S08, B00, 1
B00, Trade, 85813.596, 156, S16, B00, 1
B00, Trade, 85826.942, 158, B00, S14, 1
B00, Trade, 85834.923, 153, P01, B00, 1
B00, Trade, 85853.731, 153, B00, S20, 1
B00, Trade, 85871.212, 154, B00, S20, 1
B00, Trade, 85884.923, 152, B00, S03, 1
B00, Trade, 85901.481, 159, B00, S07, 1
B00, Trade, 85911.750, 156, S22, B00, 1
B00, Trade, 85930.962, 151, B00, S17, 1
B00, Trade, 85937.173, 158, S14, B00, 1
B00, Trade, 85944.154, 155, P01, B00, 1
B00, Trade, 85968.500, 153, S22, B00, 1
B00, Trade, 85982.481, 154, B00, S14, 1
B00, Trade, 85991.615, 151, B00, S24, 1
B00, Trade, 86003.327, 157, S08, B00, 1
B00, Trade, 86012.481, 156, B00, S01, 1
B00, Trade, 86018.942, 158, B00, S23, 1
B00, Trade, 86043.000, 155, S06, B00, 1
B00, Trade, 86051.750, 149, B00, S17, 1
B00, Trade, 86058.981, 151, S15, B00, 1
B00, Trade, 86071.519, 150, S21, B00, 1
B00, Trade, 86074.577, 156, B00, S16, 1
B00, Trade, 86094.135, 154, S04, B00, 1
B00, Trade, 86101.442, 152, B00, S16, 1
B00, Trade, 86122.173, 153, B00, S12, 1
B00, Trade, 86126.981, 151, S13, B00, 1
B00, Trade, 86145.250, 151, P01, B00, 1
B00, Trade, 86159.385, 147, B00, S10, 1
B00, Trade, 86169.808, 159, S10, B00, 1
B00, Trade, 86188.115, 153, B00, S14, 1
B00, Trade, 86190.635, 156, P01, B00, 1
B00, Trade, 86200.769, 149, B00, S19, 1
B00, Trade, 86212.077, 150, B00, S07, 1
B00, Trade, 86217.635, 153, S23, B00, 1
B00, Trade, 86234.308, 152, B00, S09, 1
B00, Trade, 86235.712, 153, S13, B00, 1
B00, Trade, 86251.096, 156, S13, B00, 1
B00, Trade, 86269.596, 155, S01, B00, 1
B00, Trade, 86283.096, 157, B00, S22, 1
B00, Trade, 86287.981, 153, S05, B00, 1
B00, Trade, 86303.615, 152, B00, S09, 1
B00, Trade, 86312.058, 153, B00, S11, 1
B00, Trade, 86318.923, 160, S21, B00, 1
B00, Trade, 86338.346, 150, B00, S17, 1
B00, Trade, 86342.942, 158, S16, B00, 1
B00, Trade, 86357.423, 153, B00, S09, 1
B00, Trade, 86367.212, 152, B00, S06, 1
B00, Trade, 86376.635, 160, S01, B00, 1
B00, Trade, 86394.673, 152, B00, S15, 1
B00, Trade, 86397.481, 159, S10, B00, 1
B01, 100
B01, Trade, 85217.635, 159, S13, B01, 1
B01, Trade, 85228.692, 153, S04, B01, 1
B01, Trade, 85236.288, 157, P01, B01, 1
B01, Trade, 85247.000, 162, S22, B01, 1
B01, Trade, 85260.615, 157, B01, S10, 1
B01, Trade, 85271.481, 159, S21, B01, 1
