B00, 100
B00, Trade, 85197.962, 175, S15, B00, 1
B00, Trade, 85207.769, 174, S19, B00, 1
B00, Trade, 85217.750, 175, B00, S23, 1
B00, Trade, 85233.558, 174, B00, S05, 1
B00, Trade, 85262.058, 165, B00, S10, 1
B00, Trade, 85264.500, 170, B00, S04, 1
B00, Trade, 85273.404, 168, B00, S23, 1
B00, Trade, 85293.865, 173, B00, S12, 1
B00, Trade, 85310.827, 167, B00, S23, 1
B00, Trade, 85329.442, 171, S03, B00, 1
B00, Trade, 85342.500, 172, B00, S04, 1
B00, Trade, 85351.481, 176, B00, S14, 1
B00, Trade, 85359.827, 172, B00, S08, 1
B00, Trade, 85364.308, 173, B00, S00, 1
B00, Trade, 85379.269, 165, S21, B00, 1
B00, Trade, 85390.462, 169, B00, S11, 1
B00, Trade, 85398.846, 172, S21, B00, 1
B00, Trade, 85414.769, 160, B00, S02, 1
B00, Trade, 85418.346, 175, S21, B00, 1
B00, Trade, 85433.654, 171, B00, S18, 1
B00, Trade, 85436.038, 167, B00, S06, 1
B00, Trade, 85467.173, 172, B00, S17, 1
B00, Trade, 85476.769, 170, B00, S02, 1
B00, Trade, 85485.750, 172, P01, B00, 1
B00, Trade, 85497.385, 166, B00, S03, 1
B00, Trade, 85520.000, 170, B00, S06, 1
B00, Trade, 85532.385, 167, B00, S17, 1
B00, Trade, 85540.327, 169, S14, B00, 1
B00, Trade, 85554.808, 162, B00, S10, 1
B00, Trade, 85557.173, 168, B00, S16, 1
B00, Trade, 85584.750, 168, B00, S23, 1
B00, Trade, 85588.327, 170, S19, B00, 1
B00, Trade, 85602.558, 171, B00, S19, 1
B00, Trade, 85611.231, 172, S04, B00, 1
B00, Trade, 85624.750, 169, B00, S20, 1
B00, Trade, 85636.481, 165, B00, S06, 1
B00, Trade, 85638.538, 168, B00, S16, 1
B00, Trade, 85645.096, 175, B00, S09, 1
B00, Trade, 85657.038, 170, B00, S05, 1
B00, Trade, 85688.212, 170, B00, S22, 1
B00, Trade, 85689.538, 173, S19, B00, 1
B00, Trade, 85704.038, 172, S18, B00, 1
B00, Trade, 85726.173, 171, B00, S17, 1
B00, Trade, 85731.731, 177, S11, B00, 1
B00, Trade, 85743.250, 173, S17, B00, 1
B00, Trade, 85750.154, 167, S21, B00, 1
B00, Trade, 85767.154, 166, B00, S08, 1
B00, Trade, 85782.942, 168, B00, S10, 1
B00, Trade, 85790.346, 169, S13, B00, 1
B00, Trade, 85800.462, 170, B00, S00, 1
B00, Trade, 85810.135, 170, B00, S05, 1
B00, Trade, 85824.154, 171, B00, S14, 1
B00, Trade, 85833.404, 167, B00, S00, 1
B00, Trade, 85839.038, 174, B00, S16, 1
B00, Trade, 85844.404, 171, S04, B00, 1
B00, Trade, 85861.346, 173, S01, B00, 1
B00, Trade, 85871.596, 166, B00, S08, 1
B00, Trade, 85893.154, 174, S02, B00, 1
B00, Trade, 85903.942, 170, B00, S23, 1
B00, Trade, 85906.135, 171, B00, S20, 1
B00, Trade, 85919.481, 166, B00, S03, 1
B00, Trade, 85932.750, 168, B00, S09, 1
B00, Trade, 85952.808, 171, S04, B00, 1
B00, Trade, 85961.019, 168, S21, B00, 1
B00, Trade, 85977.615, 167, B00, S22, 1
B00, Trade, 85983.635, 170, S15, B00, 1
B00, Trade, 85994.231, 174, S13, B00, 1
B00, Trade, 86010.750, 171, B00, S20, 1
B00, Trade, 86016.154, 174, B00, S11, 1
B00, Trade, 86035.692, 173, B00, S06, 1
B00, Trade, 86069.788, 176, B00, S00, 1
B00, Trade, 86088.692, 166, B00, S16, 1
B00, Trade, 86095.615, 165, B00, S01, 1
B00, Trade, 86098.385, 171, P01, B00, 1
B00, Trade, 86114.808, 173, B00, S00, 1
B00, Trade, 86127.904, 174, B00, S04, 1
B00, Trade, 86144.288, 167, B00, S11, 1
B00, Trade, 86152.923, 169, B00, S19, 1
B00, Trade, 86160.327, 165, B00, S14, 1
B00, Trade, 86173.596, 174, B00, S20, 1
B00, Trade, 86184.462, 165, B00, S10, 1
B00, Trade, 86193.712, 172, B00, S19, 1
B00, Trade, 86196.519, 173, S14, B00, 1
B00, Trade, 86207.615, 174, S20, B00, 1
B00, Trade, 86225.308, 174, B00, S10, 1
B00, Trade, 86231.846, 155, P00, B00, 1
B00, Trade, 86243.750, 172, B00, S17, 1
B00, Trade, 86249.788, 172, B00, S24, 1
B00, Trade, 86258.250, 168, B00, S17, 1
B00, Trade, 86268.481, 172, B00, S05, 1
B00, Trade, 86289.577, 167, B00, S04, 1
B00, Trade, 86301.962, 167, B00, S01, 1
B00, Trade, 86312.769, 174, B00, S16, 1
B00, Trade, 86329.269, 167, B00, S07, 1
B00, Trade, 86330.500, 167, B00, S10, 1
B00, Trade, 86352.000, 174, S18, B00, 1
B00, Trade, 86354.423, 173, B00, S00, 1
B00, Trade, 86372.808, 164, S09, B00, 1
B00, Trade, 86378.308, 166, B00, S00, 1
B00, Trade, 86391.788, 167, B00, S00, 1
B01, 100
B01, Trade, 85027.904, 171, P01, B01, 1
B01, Trade, 85050.365, 165, B01, S17, 1
B01, Trade, 85052.558, 171, S23, B01, 1
B01, Trade, 85063.712, 171, S21, B01, 1
B01, Trade, 85080.442, 170, B01, S00, 1
B01, Trade, 85092.096, 177, S13, B01, 1
B01, Trade, 85111.500, 175, B01, S15, 1
B01, Trade, 85120.038, 174, S23, B01, 1
B01, Trade, 85143.519, 167, B01, S08, 1
B01, Trade, 85155.000, 165, B01, S06, 1
B01, Trade, 85184.635, 177, S08, B01, 1
B01, Trade, 85215.442, 173, B01, S09, 1
B01, Trade, 85237.058, 173, P01, B01, 1
B01, Trade, 85250.865, 172, S15, B01, 1
B01, Trade, 85269.327, 169, B01, S07, 1
B01, Trade, 85272.308, 174, S17, B01, 1
B01, Trade, 85283.846, 171, B01, S00, 1
B01, Trade, 85290.154, 176, S01, B01, 1
B01, Trade, 85299.192, 175, S18, B01, 1
B01, Trade, 85308.154, 168, B01, S16, 1
B01, Trade, 85333.115, 166, B01, S23, 1
B01, Trade, 85339.904, 167, B01, S08, 1
B01, Trade, 85350.212, 174, S17, B01, 1
B01, Trade, 85358.519, 172, S19, B01, 1
B01, Trade, 85373.481, 167, B01, S10, 1
B01, Trade, 85386.462, 172, S20, B01, 1
B01, Trade, 85405.115, 176, S06, B01, 1
B01, Trade, 85420.462, 172, B01, S08, 1
B01, Trade, 85428.135, 164, B01, S11, 1
B01, Trade, 85441.981, 169, B01, S07, 1
B01, Trade, 85452.288, 175, S15, B01, 1
B01, Trade, 85462.654, 172, B01, S14, 1
B01, Trade, 85466.904, 174, P01, B01, 1
B01, Trade, 85487.712, 172, S19, B01, 1
B01, Trade, 85498.404, 167, P01, B01, 1
B01, Trade, 85510.788, 168, B01, S07, 1
B01, Trade, 85525.269, 170, S13, B01, 1
B01, Trade, 85543.538, 172, S07, B01, 1
