B01, Trade, 85523.404, 163, B01, S16, 1
B01, Trade, 85540.058, 169, S09, B01, 1
B01, Trade, 85567.308, 167, P00, B01, 1
B01, Trade, 85579.827, 164, B01, S01, 1
B01, Trade, 85597.154, 170, S13, B01, 1
B01, Trade, 85621.519, 160, P00, B01, 1
B01, Trade, 85627.135, 173, S02, B01, 1
B01, Trade, 85642.846, 166, B01, S22, 1
B01, Trade, 85645.077, 167, S11, B01, 1
B01, Trade, 85669.192, 165, B01, S11, 1
B01, Trade, 85683.865, 171, S15, B01, 1
B01, Trade, 85699.654, 167, S10, B01, 1
B01, Trade, 85704.308, 161, B01, S22, 1
B01, Trade, 85718.577, 168, P00, B01, 1
B01, Trade, 85724.096, 167, S11, B01, 1
B01, Trade, 85735.635, 168, P00, B01, 1
B01, Trade, 85749.500, 169, S10, B01, 1
B01, Trade, 85769.269, 170, S11, B01, 1
B01, Trade, 85776.731, 165, P00, B01, 1
B01, Trade, 85784.904, 167, S20, B01, 1
B01, Trade, 85819.346, 166, S13, B01, 1
B01, Trade, 85844.019, 165, B01, S02, 1
B01, Trade, 85849.442, 167, S14, B01, 1
B01, Trade, 85858.654, 168, P00, B01, 1
B01, Trade, 85869.038, 166, S21, B01, 1
B01, Trade, 85874.865, 168, S04, B01, 1
B01, Trade, 85906.250, 165, S14, B01, 1
B01, Trade, 85921.577, 167, S03, B01, 1
B01, Trade, 85933.000, 173, S02, B01, 1
B01, Trade, 85938.615, 165, S10, B01, 1
B01, Trade, 85951.923, 169, S11, B01, 1
B01, Trade, 85961.308, 170, S22, B01, 1
B01, Trade, 85966.192, 169, B01, S09, 1
B01, Trade, 85977.788, 172, P00, B01, 1
B01, Trade, 85990.654, 163, B01, S22, 1
B01, Trade, 85997.981, 165, P00, B01, 1
B01, Trade, 86018.135, 169, S15, B01, 1
B01, Trade, 86026.327, 169, S22, B01, 1
B01, Trade, 86044.365, 164, S03, B01, 1
B01, Trade, 86048.212, 170, S04, B01, 1
B01, Trade, 86062.115, 162, B01, S02, 1
B01, Trade, 86071.462, 162, S14, B01, 1
B01, Trade, 86077.096, 163, S00, B01, 1
B01, Trade, 86088.942, 176, S02, B01, 1
B01, Trade, 86106.538, 169, B01, S02, 1
B01, Trade, 86112.077, 170, B01, S09, 1
B01, Trade, 86119.923, 171, S13, B01, 1
B01, Trade, 86127.923, 169, S00, B01, 1
B01, Trade, 86141.827, 171, S16, B01, 1
B01, Trade, 86150.558, 162, P00, B01, 1
B01, Trade, 86158.423, 172, B01, S04, 1
B01, Trade, 86177.904, 170, B01, S01, 1
B01, Trade, 86186.192, 173, S13, B01, 1
B01, Trade, 86201.731, 165, B01, S07, 1
B01, Trade, 86205.077, 169, S11, B01, 1
B01, Trade, 86223.731, 165, S17, B01, 1
B01, Trade, 86226.500, 164, P00, B01, 1
B01, Trade, 86235.615, 168, S20, B01, 1
B01, Trade, 86249.077, 172, S14, B01, 1
B01, Trade, 86256.654, 167, S11, B01, 1
B01, Trade, 86271.231, 171, S22, B01, 1
B01, Trade, 86279.154, 171, S23, B01, 1
B01, Trade, 86285.346, 169, S04, B01, 1
B01, Trade, 86303.077, 164, S15, B01, 1
B01, Trade, 86313.500, 167, P00, B01, 1
B01, Trade, 86320.558, 173, S16, B01, 1
B01, Trade, 86334.231, 165, B01, S20, 1
B01, Trade, 86344.615, 163, S04, B01, 1
