B00, 100
B00, Trade, 85253.635, 164, B00, S12, 1
B00, Trade, 85258.404, 165, S00, B00, 1
B00, Trade, 85271.154, 161, B00, S23, 1
B00, Trade, 85279.904, 165, B00, S05, 1
B00, Trade, 85291.519, 163, B00, S06, 1
B00, Trade, 85298.423, 168, S20, B00, 1
B00, Trade, 85304.577, 172, S24, B00, 1
B00, Trade, 85314.462, 170, B00, S18, 1
B00, Trade, 85345.500, 165, B00, S21, 1
B00, Trade, 85358.250, 163, B00, S08, 1
B00, Trade, 85360.788, 165, S11, B00, 1
B00, Trade, 85368.885, 167, S22, B00, 1
B00, Trade, 85377.481, 163, B00, S14, 1
B00, Trade, 85388.423, 162, B00, S18, 1
B00, Trade, 85399.038, 160, B00, S17, 1
B00, Trade, 85413.692, 166, B00, S02, 1
B00, Trade, 85421.846, 163, B00, S14, 1
B00, Trade, 85433.077, 159, B00, S18, 1
B00, Trade, 85452.327, 166, S18, B00, 1
B00, Trade, 85458.096, 165, B00, S14, 1
B00, Trade, 85473.269, 167, S09, B00, 1
B00, Trade, 85479.135, 166, P01, B00, 1
B00, Trade, 85492.346, 163, B00, S18, 1
B00, Trade, 85497.731, 160, B00, S07, 1
B00, Trade, 85516.038, 159, B00, S09, 1
B00, Trade, 85528.365, 169, S16, B00, 1
B00, Trade, 85533.712, 161, B00, S22, 1
B00, Trade, 85557.327, 165, B00, S07, 1
B00, Trade, 85571.596, 171, B00, S03, 1
B00, Trade, 85586.269, 162, S16, B00, 1
B00, Trade, 85599.058, 166, B00, P01, 1
B00, Trade, 85612.038, 166, B00, S02, 1
B00, Trade, 85624.962, 171, B00, S03, 1
B00, Trade, 85630.635, 165, S22, B00, 1
B00, Trade, 85637.981, 163, S20, B00, 1
B00, Trade, 85659.423, 168, B00, S10, 1
B00, Trade, 85672.750, 166, S20, B00, 1
B00, Trade, 85680.269, 172, B00, S19, 1
B00, Trade, 85687.115, 159, S13, B00, 1
B00, Trade, 85695.365, 164, B00, S13, 1
B00, Trade, 85713.385, 165, S20, B00, 1
B00, Trade, 85734.885, 165, B00, S02, 1
B00, Trade, 85742.923, 166, S09, B00, 1
B00, Trade, 85760.288, 162, B00, S14, 1
B00, Trade, 85764.423, 156, B00, S04, 1
B00, Trade, 85772.500, 160, P01, B00, 1
