B01, Trade, 85557.712, 162, B01, S16, 1
B01, Trade, 85575.288, 164, B01, S06, 1
B01, Trade, 85582.519, 162, B01, S11, 1
B01, Trade, 85584.519, 163, S14, B01, 1
B01, Trade, 85597.327, 162, B01, S06, 1
B01, Trade, 85619.923, 165, B01, S05, 1
B01, Trade, 85628.750, 167, S23, B01, 1
B01, Trade, 85640.846, 170, B01, S16, 1
B01, Trade, 85644.865, 161, B01, S11, 1
B01, Trade, 85661.981, 161, B01, S14, 1
B01, Trade, 85668.846, 158, B01, S24, 1
B01, Trade, 85675.808, 166, B01, S11, 1
B01, Trade, 85690.981, 165, S05, B01, 1
B01, Trade, 85705.635, 170, P00, B01, 1
B01, Trade, 85710.904, 163, S03, B01, 1
B01, Trade, 85722.942, 163, B01, S09, 1
B01, Trade, 85728.538, 165, B01, S03, 1
B01, Trade, 85733.923, 164, B01, S19, 1
B01, Trade, 85749.385, 163, B01, S13, 1
B01, Trade, 85762.692, 163, S23, B01, 1
B01, Trade, 85772.712, 163, B01, S19, 1
B01, Trade, 85773.904, 163, B01, S16, 1
B01, Trade, 85800.327, 172, S15, B01, 1
B01, Trade, 85805.885, 167, S02, B01, 1
B01, Trade, 85816.500, 162, S13, B01, 1
B01, Trade, 85833.327, 167, B01, S10, 1
B01, Trade, 85845.808, 167, B01, S14, 1
B01, Trade, 85863.192, 167, B01, S22, 1
B01, Trade, 85873.615, 168, B01, S02, 1
B01, Trade, 85883.519, 171, B01, S20, 1
B01, Trade, 85890.769, 162, B01, S16, 1
B01, Trade, 85898.846, 169, S00, B01, 1
B01, Trade, 85910.135, 166, B01, S19, 1
B01, Trade, 85919.538, 167, B01, S07, 1
B01, Trade, 85939.654, 167, B01, S08, 1
B01, Trade, 85956.500, 165, B01, S05, 1
B01, Trade, 85967.846, 167, B01, S05, 1
B01, Trade, 85975.635, 163, S03, B01, 1
B01, Trade, 86001.346, 163, B01, S17, 1
B01, Trade, 86012.750, 167, S21, B01, 1
B01, Trade, 86017.154, 167, B01, S16, 1
B01, Trade, 86033.212, 161, B01, S11, 1
B01, Trade, 86038.135, 163, B01, S18, 1
B01, Trade, 86056.404, 168, B01, S08, 1
B01, Trade, 86064.788, 164, B01, S11, 1
B01, Trade, 86072.077, 170, B01, S06, 1
B01, Trade, 86082.615, 167, B01, S01, 1
B01, Trade, 86098.000, 168, B01, S13, 1
B01, Trade, 86104.423, 163, B01, S04, 1
B01, Trade, 86114.885, 167, S00, B01, 1
B01, Trade, 86124.654, 171, S23, B01, 1
B01, Trade, 86130.288, 161, S12, B01, 1
B01, Trade, 86138.654, 170, S02, B01, 1
B01, Trade, 86146.635, 169, B01, S21, 1
B01, Trade, 86161.558, 169, B01, S21, 1
B01, Trade, 86171.962, 163, B01, S00, 1
B01, Trade, 86187.538, 170, B01, S13, 1
B01, Trade, 86188.462, 175, S23, B01, 1
B01, Trade, 86196.769, 169, B01, S07, 1
