B00, 100
B00, Trade, 85186.269, 168, S05, B00, 1
B00, Trade, 85199.346, 165, B00, S14, 1
B00, Trade, 85202.558, 167, S18, B00, 1
B00, Trade, 85213.942, 164, B00, S00, 1
B00, Trade, 85226.192, 171, B00, S03, 1
B00, Trade, 85245.192, 169, B00, S08, 1
B00, Trade, 85249.769, 162, B00, S09, 1
B00, Trade, 85254.481, 163, B00, S15, 1
B00, Trade, 85266.135, 164, S22, B00, 1
B00, Trade, 85282.462, 170, S01, B00, 1
B00, Trade, 85293.000, 174, B00, S01, 1
B00, Trade, 85317.308, 166, B00, S09, 1
B00, Trade, 85323.846, 164, B00, S03, 1
B00, Trade, 85342.077, 165, B00, S10, 1
B00, Trade, 85351.192, 171, B00, S08, 1
B00, Trade, 85355.462, 173, B00, S03, 1
B00, Trade, 85374.865, 167, B00, S19, 1
B00, Trade, 85376.404, 168, B00, S15, 1
B00, Trade, 85393.346, 164, B00, S16, 1
B00, Trade, 85401.423, 166, B00, S22, 1
B00, Trade, 85413.346, 167, S08, B00, 1
B00, Trade, 85426.769, 166, S01, B00, 1
B00, Trade, 85439.750, 168, B00, S21, 1
B00, Trade, 85460.115, 165, B00, S02, 1
B00, Trade, 85473.115, 162, B00, S08, 1
B00, Trade, 85482.212, 165, B00, S14, 1
B00, Trade, 85501.981, 172, B00, S08, 1
B00, Trade, 85512.558, 168, S18, B00, 1
B00, Trade, 85518.846, 162, S24, B00, 1
B00, Trade, 85527.231, 164, B00, S12, 1
B00, Trade, 85546.885, 161, B00, S06, 1
B00, Trade, 85551.462, 166, B00, S09, 1
B00, Trade, 85558.019, 161, B00, S07, 1
B00, Trade, 85574.865, 169, S18, B00, 1
B00, Trade, 85585.250, 169, B00, S12, 1
B00, Trade, 85594.135, 168, B00, S14, 1
B00, Trade, 85612.596, 165, B00, S14, 1
B00, Trade, 85621.769, 163, B00, S22, 1
B00, Trade, 85629.154, 161, B00, S09, 1
B00, Trade, 85636.442, 165, B00, S14, 1
B00, Trade, 85652.519, 165, B00, S06, 1
B00, Trade, 85655.500, 159, B00, S11, 1
B00, Trade, 85673.269, 166, B00, S21, 1
B00, Trade, 85677.385, 166, B00, S12, 1
B00, Trade, 85687.135, 168, B00, S06, 1
B00, Trade, 85699.000, 157, S06, B00, 1
B00, Trade, 85731.558, 160, B00, S08, 1
B00, Trade, 85742.173, 156, B00, S04, 1
B00, Trade, 85750.231, 169, B00, S05, 1
B00, Trade, 85755.135, 165, B00, S06, 1
B00, Trade, 85771.346, 170, B00, S15, 1
B00, Trade, 85778.577, 165, B00, S22, 1
B00, Trade, 85793.288, 165, B00, S17, 1
B00, Trade, 85796.808, 162, B00, S16, 1
B00, Trade, 85809.038, 170, B00, S05, 1
B00, Trade, 85818.096, 164, B00, S24, 1
B00, Trade, 85830.788, 160, B00, S17, 1
B00, Trade, 85845.308, 166, B00, S14, 1
B00, Trade, 85860.846, 168, S00, B00, 1
B00, Trade, 85873.212, 171, B00, S14, 1
B00, Trade, 85875.865, 168, B00, S15, 1
B00, Trade, 85888.962, 154, S14, B00, 1
B00, Trade, 85902.231, 166, B00, S06, 1
B00, Trade, 85904.596, 166, S16, B00, 1
B00, Trade, 85920.365, 165, B00, S11, 1
B00, Trade, 85932.769, 166, B00, S06, 1
B00, Trade, 85943.692, 166, B00, S12, 1
B00, Trade, 85950.135, 164, B00, S11, 1
B00, Trade, 85973.019, 173, S00, B00, 1
B00, Trade, 86002.923, 166, B00, S16, 1
B00, Trade, 86020.115, 159, B00, S13, 1
B00, Trade, 86033.442, 166, B00, S22, 1
B00, Trade, 86047.923, 166, B00, S18, 1
B00, Trade, 86057.231, 157, B00, S22, 1
B00, Trade, 86063.635, 163, B00, S16, 1
B00, Trade, 86067.481, 165, B00, S08, 1
B00, Trade, 86077.731, 166, B00, S01, 1
B00, Trade, 86084.481, 171, P00, B00, 1
B00, Trade, 86104.058, 164, B00, S13, 1
B00, Trade, 86112.269, 167, S23, B00, 1
B00, Trade, 86136.865, 162, B00, S03, 1
B00, Trade, 86149.481, 164, S15, B00, 1
B00, Trade, 86162.019, 171, B00, S18, 1
B00, Trade, 86184.288, 167, S00, B00, 1
B00, Trade, 86192.269, 166, S04, B00, 1
B00, Trade, 86203.462, 168, S01, B00, 1
B00, Trade, 86219.673, 167, S20, B00, 1
B00, Trade, 86234.519, 168, B00, S13, 1
B00, Trade, 86238.115, 166, B00, S23, 1
B00, Trade, 86251.635, 174, S05, B00, 1
B00, Trade, 86282.346, 164, B00, S09, 1
B00, Trade, 86296.673, 162, S12, B00, 1
B00, Trade, 86304.404, 163, B00, S02, 1
B00, Trade, 86307.788, 163, B00, S08, 1
B00, Trade, 86335.269, 166, B00, S06, 1
B00, Trade, 86337.077, 164, B00, S04, 1
B00, Trade, 86355.538, 166, B00, S04, 1
B00, Trade, 86373.712, 166, B00, S13, 1
B00, Trade, 86382.135, 166, B00, S13, 1
B00, Trade, 86389.173, 171, B00, S04, 1
B01, 100
B01, Trade, 85082.423, 167, B01, S12, 1
B01, Trade, 85089.538, 165, S24, B01, 1
B01, Trade, 85108.731, 167, B01, S11, 1
B01, Trade, 85121.308, 162, B01, S05, 1
B01, Trade, 85148.769, 170, S14, B01, 1
B01, Trade, 85163.635, 166, S04, B01, 1
B01, Trade, 85188.385, 167, B01, S08, 1
B01, Trade, 85194.673, 163, B01, S02, 1
B01, Trade, 85204.423, 165, B01, S18, 1
B01, Trade, 85207.519, 164, S11, B01, 1
B01, Trade, 85229.442, 171, S14, B01, 1
B01, Trade, 85243.519, 168, S16, B01, 1
B01, Trade, 85247.692, 167, S05, B01, 1
B01, Trade, 85264.827, 163, S23, B01, 1
B01, Trade, 85272.846, 169, B01, S11, 1
B01, Trade, 85274.538, 170, S04, B01, 1
B01, Trade, 85285.462, 171, P00, B01, 1
B01, Trade, 85304.654, 171, S04, B01, 1
B01, Trade, 85315.346, 167, B01, S08, 1
B01, Trade, 85332.365, 172, S01, B01, 1
B01, Trade, 85373.346, 169, S13, B01, 1
B01, Trade, 85394.346, 165, P00, B01, 1
B01, Trade, 85404.269, 178, S17, B01, 1
B01, Trade, 85419.519, 165, B01, S04, 1
B01, Trade, 85446.788, 170, S02, B01, 1
B01, Trade, 85457.212, 169, S18, B01, 1
B01, Trade, 85470.096, 162, B01, S02, 1
B01, Trade, 85488.308, 165, B01, S13, 1
B01, Trade, 85489.558, 165, B01, S02, 1
B01, Trade, 85505.846, 159, B01, S15, 1
B01, Trade, 85521.788, 162, S06, B01, 1
B01, Trade, 85534.000, 166, S19, B01, 1
B01, Trade, 85551.942, 166, S20, B01, 1
B01, Trade, 85569.981, 160, B01, S03, 1
B01, Trade, 85581.038, 170, S02, B01, 1
B01, Trade, 85583.788, 171, S05, B01, 1
B01, Trade, 85599.231, 165, B01, S21, 1
B01, Trade, 85607.423, 171, S15, B01, 1
B01, Trade, 85621.423, 162, B01, S11, 1
B01, Trade, 85633.404, 158, B01, S10, 1
B01, Trade, 85639.404, 166, B01, S09, 1
B01, Trade, 85649.846, 166, S14, B01, 1
B01, Trade, 85665.827, 159, B01, S16, 1
B01, Trade, 85673.154, 173, S20, B01, 1
B01, Trade, 85679.442, 170, B01, S09, 1
B01, Trade, 85695.423, 158, B01, S21, 1
B01, Trade, 85701.654, 163, S12, B01, 1
B01, Trade, 85718.442, 169, B01, S13, 1
B01, Trade, 85733.788, 165, B01, S23, 1
B01, Trade, 85743.808, 163, S07, B01, 1
B01, Trade, 85754.077, 167, S15, B01, 1
B01, Trade, 85767.135, 174, S15, B01, 1
B01, Trade, 85775.538, 170, B01, S19, 1
B01, Trade, 85790.269, 164, B01, S10, 1
B01, Trade, 85793.904, 164, B01, S12, 1
B01, Trade, 85828.385, 158, B01, S24, 1
B01, Trade, 85830.115, 163, S21, B01, 1
B01, Trade, 85838.865, 166, S21, B01, 1
B01, Trade, 85852.654, 164, B01, S03, 1
B01, Trade, 85868.269, 167, S21, B01, 1
B01, Trade, 85881.500, 166, S00, B01, 1
B01, Trade, 85896.731, 161, B01, S20, 1
B01, Trade, 85916.596, 167, S21, B01, 1
B01, Trade, 85957.500, 165, S00, B01, 1
B01, Trade, 85977.115, 169, B01, S04, 1
B01, Trade, 85985.712, 174, B01, S21, 1
B01, Trade, 85986.462, 176, S08, B01, 1
B01, Trade, 86000.769, 169, B01, S11, 1
B01, Trade, 86017.788, 165, B01, S21, 1
B01, Trade, 86024.904, 163, S11, B01, 1
B01, Trade, 86037.596, 170, P00, B01, 1
B01, Trade, 86054.577, 161, B01, S08, 1
