B00, 100
B00, Trade, 85271.115, 164, B00, S19, 1
B00, Trade, 85281.000, 166, S17, B00, 1
B00, Trade, 85289.250, 159, B00, S11, 1
B00, Trade, 85304.135, 168, B00, S09, 1
B00, Trade, 85308.519, 167, B00, S17, 1
B00, Trade, 85319.654, 170, B00, S03, 1
B00, Trade, 85332.904, 163, B00, S00, 1
B00, Trade, 85336.019, 162, S02, B00, 1
B00, Trade, 85346.808, 168, B00, S20, 1
B00, Trade, 85356.558, 162, B00, S17, 1
B00, Trade, 85380.385, 165, S23, B00, 1
B00, Trade, 85385.192, 172, B00, S21, 1
B00, Trade, 85399.635, 161, B00, S10, 1
B00, Trade, 85406.596, 165, B00, S03, 1
B00, Trade, 85422.654, 164, B00, S22, 1
B00, Trade, 85428.942, 165, B00, S09, 1
B00, Trade, 85451.077, 163, B00, S16, 1
B00, Trade, 85459.038, 170, S12, B00, 1
B00, Trade, 85469.923, 161, S20, B00, 1
B00, Trade, 85480.596, 165, B00, S12, 1
B00, Trade, 85494.231, 169, B00, S06, 1
B00, Trade, 85515.423, 157, B00, S12, 1
B00, Trade, 85517.962, 162, S06, B00, 1
B00, Trade, 85531.962, 163, B00, S03, 1
B00, Trade, 85541.577, 158, B00, S13, 1
B00, Trade, 85546.712, 161, B00, S06, 1
B00, Trade, 85559.885, 161, B00, S23, 1
B00, Trade, 85573.712, 168, S18, B00, 1
B00, Trade, 85583.596, 160, B00, S16, 1
B00, Trade, 85588.423, 163, B00, S06, 1
B00, Trade, 85604.462, 162, B00, S22, 1
B00, Trade, 85619.981, 170, B00, S06, 1
B00, Trade, 85622.115, 161, B00, S10, 1
B00, Trade, 85628.635, 163, S23, B00, 1
B00, Trade, 85640.712, 173, B00, S21, 1
B00, Trade, 85650.462, 163, B00, S00, 1
B00, Trade, 85656.558, 162, B00, S09, 1
B00, Trade, 85680.654, 162, B00, S20, 1
B00, Trade, 85690.981, 165, B00, S08, 1
B00, Trade, 85698.192, 168, S12, B00, 1
B00, Trade, 85707.346, 166, B00, S22, 1
B00, Trade, 85726.192, 170, B00, S20, 1
B00, Trade, 85731.904, 168, B00, S13, 1
B00, Trade, 85742.731, 167, S05, B00, 1
B00, Trade, 85752.519, 164, B00, S09, 1
B00, Trade, 85754.327, 162, B00, S18, 1
B00, Trade, 85773.673, 169, B00, S03, 1
B00, Trade, 85781.212, 166, B00, S02, 1
B00, Trade, 85790.731, 165, B00, S09, 1
B00, Trade, 85802.423, 164, S14, B00, 1
B00, Trade, 85814.519, 168, B00, S00, 1
B00, Trade, 85825.404, 162, B00, S22, 1
B00, Trade, 85839.731, 163, B00, S05, 1
B00, Trade, 85850.019, 165, B00, S06, 1
B00, Trade, 85861.000, 168, B00, S10, 1
B00, Trade, 85866.827, 168, B00, S12, 1
B00, Trade, 85877.173, 175, B00, S03, 1
B00, Trade, 85889.827, 166, S21, B00, 1
B00, Trade, 85904.692, 166, B00, S13, 1
B00, Trade, 85911.481, 163, B00, P01, 1
B00, Trade, 85918.923, 166, B00, S23, 1
B00, Trade, 85926.058, 166, B00, S06, 1
B00, Trade, 85942.981, 165, S04, B00, 1
B00, Trade, 85948.365, 164, B00, S21, 1
B00, Trade, 85978.673, 166, B00, S08, 1
B00, Trade, 85988.654, 164, B00, S13, 1
B00, Trade, 86001.327, 165, B00, S09, 1
B00, Trade, 86020.904, 170, B00, S09, 1
B00, Trade, 86035.423, 165, B00, S05, 1
B00, Trade, 86044.885, 161, B00, S17, 1
B00, Trade, 86046.846, 163, B00, S14, 1
B00, Trade, 86061.212, 166, B00, S11, 1
B00, Trade, 86076.615, 164, B00, S14, 1
B00, Trade, 86088.115, 164, B00, S24, 1
B00, Trade, 86109.250, 167, B00, S22, 1
B00, Trade, 86116.269, 170, B00, S07, 1
B00, Trade, 86129.923, 167, B00, S13, 1
B00, Trade, 86144.462, 164, B00, S03, 1
B00, Trade, 86150.942, 166, B00, S18, 1
B00, Trade, 86158.500, 168, B00, S19, 1
B00, Trade, 86174.115, 161, B00, S21, 1
B00, Trade, 86179.538, 161, S24, B00, 1
B00, Trade, 86191.788, 168, S02, B00, 1
B00, Trade, 86200.346, 165, B00, S21, 1
B00, Trade, 86213.154, 160, B00, S18, 1
