B00, 100
B00, Trade, 85264.615, 174, B00, S03, 1
B00, Trade, 85283.923, 165, B00, S00, 1
B00, Trade, 85292.423, 167, B00, S11, 1
B00, Trade, 85296.865, 171, B00, S10, 1
B00, Trade, 85305.808, 172, B00, S15, 1
B00, Trade, 85316.769, 167, B00, S14, 1
B00, Trade, 85330.135, 172, B00, S13, 1
B00, Trade, 85340.769, 174, S17, B00, 1
B00, Trade, 85350.442, 171, P01, B00, 1
B00, Trade, 85359.365, 172, B00, S14, 1
B00, Trade, 85363.404, 176, B00, P01, 1
B00, Trade, 85384.885, 178, S17, B00, 1
B00, Trade, 85398.077, 169, B00, S23, 1
B00, Trade, 85405.865, 170, B00, S04, 1
B00, Trade, 85421.481, 171, S09, B00, 1
B00, Trade, 85425.904, 170, B00, S13, 1
B00, Trade, 85439.654, 171, B00, S24, 1
B00, Trade, 85459.096, 179, S18, B00, 1
B00, Trade, 85475.827, 171, B00, S04, 1
B00, Trade, 85491.615, 174, B00, S04, 1
B00, Trade, 85500.212, 175, B00, S05, 1
B00, Trade, 85510.788, 171, B00, S11, 1
B00, Trade, 85522.673, 165, B00, S15, 1
B00, Trade, 85526.788, 167, B00, S05, 1
B00, Trade, 85541.346, 171, B00, S20, 1
B00, Trade, 85550.712, 173, B00, S04, 1
B00, Trade, 85554.769, 170, B00, S10, 1
B00, Trade, 85569.923, 173, B00, S09, 1
B00, Trade, 85581.173, 175, S20, B00, 1
B00, Trade, 85588.577, 172, B00, S05, 1
B00, Trade, 85601.654, 170, B00, S10, 1
B00, Trade, 85610.904, 173, S02, B00, 1
B00, Trade, 85616.904, 167, B00, S05, 1
B00, Trade, 85626.962, 167, S12, B00, 1
B00, Trade, 85642.769, 169, B00, S05, 1
B00, Trade, 85643.538, 169, S24, B00, 1
B00, Trade, 85655.596, 169, B00, S01, 1
B00, Trade, 85663.712, 172, S17, B00, 1
B00, Trade, 85676.615, 174, S02, B00, 1
B00, Trade, 85686.019, 167, B00, S08, 1
B00, Trade, 85702.500, 169, B00, S21, 1
B00, Trade, 85706.692, 169, B00, S20, 1
B00, Trade, 85721.442, 172, S12, B00, 1
B00, Trade, 85727.135, 167, S22, B00, 1
B00, Trade, 85741.942, 173, S10, B00, 1
B00, Trade, 85752.673, 162, B00, S24, 1
B00, Trade, 85769.769, 172, B00, S14, 1
B00, Trade, 85782.519, 170, B00, S04, 1
B00, Trade, 85784.404, 165, B00, S23, 1
B00, Trade, 85798.769, 167, B00, S01, 1
B00, Trade, 85807.942, 168, B00, S24, 1
B00, Trade, 85819.096, 164, B00, S05, 1
B00, Trade, 85824.731, 169, B00, S23, 1
B00, Trade, 85845.365, 168, B00, S24, 1
B00, Trade, 85848.327, 167, S03, B00, 1
B00, Trade, 85854.038, 174, B00, S09, 1
B00, Trade, 85872.923, 169, B00, S16, 1
B00, Trade, 85875.904, 166, B00, S06, 1
B00, Trade, 85893.904, 176, B00, S19, 1
B00, Trade, 85902.250, 170, B00, S23, 1
B00, Trade, 85906.231, 169, B00, S00, 1
B00, Trade, 85917.038, 170, B00, S24, 1
B00, Trade, 85926.865, 170, B00, S16, 1
B00, Trade, 85940.942, 168, B00, S05, 1
B00, Trade, 85954.654, 168, B00, S10, 1
B00, Trade, 85959.538, 167, B00, S14, 1
B00, Trade, 85976.615, 170, B00, S15, 1
B00, Trade, 85993.135, 174, B00, S09, 1
B00, Trade, 85997.288, 177, B00, S02, 1
B00, Trade, 86019.904, 174, B00, S17, 1
B00, Trade, 86025.000, 177, S03, B00, 1
B00, Trade, 86058.269, 168, B00, S16, 1
B00, Trade, 86062.135, 173, S17, B00, 1
B00, Trade, 86070.538, 178, S17, B00, 1
B00, Trade, 86083.962, 173, S03, B00, 1
B00, Trade, 86091.019, 172, B00, S05, 1
B00, Trade, 86102.500, 173, B00, S04, 1
B00, Trade, 86109.365, 171, B00, S16, 1
B00, Trade, 86121.750, 171, S18, B00, 1
B00, Trade, 86135.673, 167, B00, S04, 1
B00, Trade, 86146.058, 170, B00, S09, 1
B00, Trade, 86162.385, 178, B00, S08, 1
B00, Trade, 86182.904, 170, B00, S13, 1
B00, Trade, 86193.269, 165, B00, S11, 1
B00, Trade, 86201.596, 166, B00, S24, 1
B00, Trade, 86204.308, 167, S15, B00, 1
B00, Trade, 86214.115, 172, B00, S20, 1
B00, Trade, 86231.519, 168, S09, B00, 1
B00, Trade, 86238.519, 167, B00, S04, 1
B00, Trade, 86252.635, 165, S22, B00, 1
B00, Trade, 86263.981, 174, B00, S03, 1
B00, Trade, 86280.058, 170, B00, S03, 1
B00, Trade, 86290.962, 165, S09, B00, 1
B00, Trade, 86312.365, 164, B00, S11, 1
B00, Trade, 86331.115, 166, B00, S02, 1
B00, Trade, 86336.769, 171, B00, S00, 1
B00, Trade, 86363.673, 172, B00, S21, 1
B00, Trade, 86368.538, 165, B00, S08, 1
B00, Trade, 86385.981, 169, S12, B00, 1
B00, Trade, 86393.288, 167, B00, S06, 1
B01, 100
B01, Trade, 83516.712, 179, S18, B01, 1
B01, Trade, 83534.692, 173, S00, B01, 1
B01, Trade, 83585.654, 178, S09, B01, 1
B01, Trade, 83601.596, 176, S15, B01, 1
B01, Trade, 83646.385, 182, S04, B01, 1
B01, Trade, 83664.519, 170, S09, B01, 1
B01, Trade, 83694.000, 169, B01, S22, 1
B01, Trade, 83720.077, 174, S01, B01, 1
B01, Trade, 83753.577, 178, B01, S01, 1
B01, Trade, 83758.923, 183, P01, B01, 1
B01, Trade, 83775.981, 174, B01, S01, 1
B01, Trade, 83784.808, 175, S01, B01, 1
B01, Trade, 83842.250, 172, S03, B01, 1
B01, Trade, 83851.404, 182, S00, B01, 1
B01, Trade, 83933.038, 174, S12, B01, 1
B01, Trade, 83954.154, 177, S23, B01, 1
B01, Trade, 83961.385, 176, S12, B01, 1
B01, Trade, 83978.481, 175, S04, B01, 1
B01, Trade, 84006.692, 177, P01, B01, 1
B01, Trade, 84025.692, 181, S02, B01, 1
B01, Trade, 84061.596, 176, S22, B01, 1
B01, Trade, 84077.865, 168, B01, S05, 1
B01, Trade, 84195.673, 174, S18, B01, 1
B01, Trade, 84269.712, 167, S03, B01, 1
B01, Trade, 84274.135, 165, S04, B01, 1
B01, Trade, 84296.442, 173, B01, S10, 1
