B01, Trade, 85355.981, 100, B01, S22, 1
B01, Trade, 85368.904, 106, P01, B01, 1
B01, Trade, 85379.635, 108, B01, S20, 1
B01, Trade, 85392.423, 107, S17, B01, 1
B01, Trade, 85417.135, 108, S19, B01, 1
B01, Trade, 85428.038, 100, B01, S03, 1
B01, Trade, 85436.250, 109, S22, B01, 1
B01, Trade, 85450.827, 113, B01, S00, 1
B01, Trade, 85462.712, 110, B01, S04, 1
B01, Trade, 85466.596, 102, B01, S18, 1
B01, Trade, 85481.442, 103, S11, B01, 1
B01, Trade, 85498.712, 106, S00, B01, 1
B01, Trade, 85521.481, 112, S11, B01, 1
B01, Trade, 85557.865, 110, S09, B01, 1
B01, Trade, 85565.115, 102, S08, B01, 1
B01, Trade, 85589.346, 113, B01, S12, 1
B01, Trade, 85606.000, 103, B01, S00, 1
B01, Trade, 85607.058, 106, S04, B01, 1
B01, Trade, 85625.135, 103, B01, S15, 1
B01, Trade, 85632.712, 114, S09, B01, 1
B01, Trade, 85674.519, 103, B01, S10, 1
B01, Trade, 85676.442, 106, S00, B01, 1
B01, Trade, 85690.615, 106, S19, B01, 1
B01, Trade, 85697.385, 107, S12, B01, 1
B01, Trade, 85715.538, 108, B01, S24, 1
B01, Trade, 85733.981, 108, S20, B01, 1
B01, Trade, 85756.038, 110, P01, B01, 1
B01, Trade, 85769.885, 111, B01, S20, 1
B01, Trade, 85775.865, 105, B01, S08, 1
B01, Trade, 85789.731, 109, B01, S11, 1
B01, Trade, 85804.019, 110, P01, B01, 1
B01, Trade, 85843.346, 112, B01, S15, 1
B01, Trade, 85867.558, 113, S11, B01, 1
B01, Trade, 85887.538, 108, S11, B01, 1
B01, Trade, 85901.788, 110, B01, S05, 1
B01, Trade, 85906.808, 115, S17, B01, 1
B01, Trade, 85933.385, 105, B01, S14, 1
B01, Trade, 85955.654, 112, S09, B01, 1
B01, Trade, 85969.365, 102, P01, B01, 1
B01, Trade, 85985.673, 110, B01, S05, 1
B01, Trade, 85988.519, 114, S08, B01, 1
B01, Trade, 86006.038, 105, B01, S06, 1
B01, Trade, 86008.077, 108, S21, B01, 1
B01, Trade, 86016.596, 115, S04, B01, 1
B01, Trade, 86031.462, 111, B01, S17, 1
B01, Trade, 86037.538, 110, B01, S10, 1
B01, Trade, 86053.788, 110, B01, S14, 1
B01, Trade, 86065.519, 108, B01, S13, 1
B01, Trade, 86069.519, 108, B01, S05, 1
B01, Trade, 86084.500, 112, S01, B01, 1
B01, Trade, 86097.808, 106, B01, S04, 1
B01, Trade, 86114.154, 114, P01, B01, 1
B01, Trade, 86156.385, 110, B01, S14, 1
B01, Trade, 86165.558, 110, B01, S12, 1
B01, Trade, 86178.500, 104, S04, B01, 1
B01, Trade, 86189.308, 111, S04, B01, 1
B01, Trade, 86208.615, 106, B01, S18, 1
B01, Trade, 86212.942, 112, S11, B01, 1
B01, Trade, 86217.115, 103, S00, B01, 1
B01, Trade, 86229.596, 116, S16, B01, 1
B01, Trade, 86244.250, 108, B01, S00, 1
B01, Trade, 86253.212, 109, S20, B01, 1
B01, Trade, 86257.942, 115, S16, B01, 1
B01, Trade, 86274.346, 105, B01, S00, 1
B01, Trade, 86280.000, 113, S05, B01, 1
B01, Trade, 86301.115, 111, P01, B01, 1
B01, Trade, 86312.365, 112, B01, S14, 1
B01, Trade, 86328.212, 102, B01, S21, 1
B01, Trade, 86348.731, 110, S03, B01, 1
B01, Trade, 86361.654, 114, S22, B01, 1
B01, Trade, 86375.750, 107, B01, S08, 1
B01, Trade, 86376.212, 108, S04, B01, 1
B01, Trade, 86391.077, 107, B01, S05, 1
B02, 100
B02, Trade, 84971.481, 92, B02, S07, 1
B02, Trade, 84974.462, 100, S17, B02, 1
B02, Trade, 84987.519, 106, S17, B02, 1
B02, Trade, 84996.173, 104, B02, S12, 1
B02, Trade, 85020.500, 100, S01, B02, 1
B02, Trade, 85030.712, 103, B02, S01, 1
B02, Trade, 85044.058, 101, B02, S10, 1
B02, Trade, 85059.308, 105, S11, B02, 1
B02, Trade, 85071.385, 97, B02, S07, 1
B02, Trade, 85103.769, 102, S18, B02, 1
B02, Trade, 85130.827, 102, S12, B02, 1
B02, Trade, 85138.423, 99, B02, S03, 1
B02, Trade, 85144.615, 106, S12, B02, 1
B02, Trade, 85164.462, 96, S07, B02, 1
B02, Trade, 85176.981, 103, S19, B02, 1
B02, Trade, 85197.712, 94, B02, S16, 1
B02, Trade, 85209.327, 97, B02, S12, 1
B02, Trade, 85220.558, 102, S10, B02, 1
B02, Trade, 85227.538, 102, B02, S12, 1
B02, Trade, 85238.538, 105, B02, S20, 1
B02, Trade, 85263.154, 106, S15, B02, 1
B02, Trade, 85272.346, 111, B02, S09, 1
B02, Trade, 85280.923, 106, B02, S18, 1
B02, Trade, 85283.481, 113, S19, B02, 1
B02, Trade, 85305.500, 105, S01, B02, 1
B02, Trade, 85324.692, 110, B02, S24, 1
B02, Trade, 85326.885, 112, S09, B02, 1
B02, Trade, 85336.212, 107, B02, S23, 1
B02, Trade, 85361.058, 106, S13, B02, 1
B02, Trade, 85382.423, 100, B02, S24, 1
B02, Trade, 85389.596, 100, S03, B02, 1
B02, Trade, 85406.327, 98, B02, S15, 1
B02, Trade, 85415.904, 107, B02, S12, 1
B02, Trade, 85444.673, 105, B02, S17, 1
B02, Trade, 85459.231, 112, S19, B02, 1
B02, Trade, 85466.577, 103, B02, S23, 1
B02, Trade, 85473.519, 111, S03, B02, 1
B02, Trade, 85491.038, 100, B02, S22, 1
B02, Trade, 85501.558, 113, S07, B02, 1
B02, Trade, 85511.750, 102, B02, S01, 1
B02, Trade, 85517.192, 105, S08, B02, 1
B02, Trade, 85543.519, 105, B02, S21, 1
B02, Trade, 85545.808, 110, S19, B02, 1
