B00, 100
B00, Trade, 85117.308, 101, S00, B00, 1
B00, Trade, 85134.885, 99, B00, S23, 1
B00, Trade, 85145.654, 99, S20, B00, 1
B00, Trade, 85162.077, 101, B00, S18, 1
B00, Trade, 85182.788, 95, B00, S09, 1
B00, Trade, 85187.173, 109, P00, B00, 1
B00, Trade, 85197.231, 102, B00, S11, 1
B00, Trade, 85213.000, 106, B00, S23, 1
B00, Trade, 85223.962, 109, S11, B00, 1
B00, Trade, 85245.538, 109, P00, B00, 1
B00, Trade, 85272.538, 105, S11, B00, 1
B00, Trade, 85292.500, 112, S24, B00, 1
B00, Trade, 85313.058, 99, B00, S06, 1
B00, Trade, 85318.750, 106, S11, B00, 1
B00, Trade, 85332.135, 107, B00, S20, 1
B00, Trade, 85345.500, 101, B00, S02, 1
B00, Trade, 85356.096, 105, B00, S14, 1
B00, Trade, 85373.019, 102, S16, B00, 1
B00, Trade, 85380.885, 100, S11, B00, 1
B00, Trade, 85391.538, 108, S08, B00, 1
B00, Trade, 85405.615, 110, S22, B00, 1
B00, Trade, 85422.135, 107, B00, S23, 1
B00, Trade, 85432.327, 98, B00, S05, 1
B00, Trade, 85438.269, 103, S21, B00, 1
B00, Trade, 85450.385, 102, B00, S01, 1
B00, Trade, 85456.481, 107, B00, S07, 1
B00, Trade, 85471.385, 105, B00, S20, 1
B00, Trade, 85481.712, 104, S04, B00, 1
B00, Trade, 85487.500, 107, B00, S05, 1
B00, Trade, 85496.135, 108, S10, B00, 1
B00, Trade, 85506.596, 115, B00, S09, 1
B00, Trade, 85518.962, 102, B00, S14, 1
B00, Trade, 85536.673, 104, B00, S20, 1
B00, Trade, 85539.135, 109, S14, B00, 1
B00, Trade, 85556.558, 110, B00, S00, 1
B00, Trade, 85558.885, 107, B00, S22, 1
B00, Trade, 85572.981, 108, B00, S02, 1
B00, Trade, 85584.923, 105, B00, S15, 1
B00, Trade, 85595.385, 107, B00, S22, 1
B00, Trade, 85601.981, 114, S19, B00, 1
B00, Trade, 85608.250, 113, B00, S08, 1
