Date,Close,Volume
2025-02-22T00:00:00.000Z,"96,010.05",0
2025-02-22T00:05:00.000Z,"96,047.55","188,829,696.00"
2025-02-22T00:10:00.000Z,"95,992.70",0
2025-02-22T00:15:00.000Z,"95,904.73","47,828,992.00"
2025-02-22T00:20:00.000Z,"95,862.59","781,873,152.00"
2025-02-22T00:25:00.000Z,"95,880.98","83,210,240.00"
2025-02-22T00:30:00.000Z,"95,804.91",0
2025-02-22T00:35:00.000Z,"95,999.06","92,192,768.00"
2025-02-22T00:40:00.000Z,"96,111.57",0
2025-02-22T00:45:00.000Z,"96,154.26","161,538,048.00"
2025-02-22T00:50:00.000Z,"96,129.52","742,199,296.00"
2025-02-22T00:55:00.000Z,"96,161.02","3,575,808.00"
2025-02-22T01:00:00.000Z,"96,131.86","5,787,648.00"
2025-02-22T01:05:00.000Z,"96,207.20",0
2025-02-22T01:10:00.000Z,"96,227.07",0
2025-02-22T01:15:00.000Z,"96,254.68","974,987,264.00"
2025-02-22T01:20:00.000Z,"96,297.92",0
2025-02-22T01:25:00.000Z,"96,331.47",0
2025-02-22T01:30:00.000Z,"96,369.08","787,881,984.00"
2025-02-22T01:35:00.000Z,"96,439.70",0
2025-02-22T01:40:00.000Z,"96,415.73",0
2025-02-22T01:45:00.000Z,"96,305.73",0
2025-02-22T01:50:00.000Z,"96,302.49","163,946,496.00"
2025-02-22T01:55:00.000Z,"96,223.53",0
2025-02-22T02:00:00.000Z,"96,261.29",0
2025-02-22T02:05:00.000Z,"96,209.53",0
2025-02-22T02:10:00.000Z,"96,223.42",0
2025-02-22T02:15:00.000Z,"96,243.20","52,727,808.00"
2025-02-22T02:20:00.000Z,"96,215.07","6,164,480.00"
2025-02-22T02:25:00.000Z,"96,152.61","11,526,144.00"
2025-02-22T02:30:00.000Z,"96,177.93",0
2025-02-22T02:35:00.000Z,"96,410.13",0
2025-02-22T02:40:00.000Z,"96,432.70","84,586,496.00"
2025-02-22T02:45:00.000Z,"96,298.93","803,663,872.00"
2025-02-22T02:50:00.000Z,"96,281.20",0
2025-02-22T02:55:00.000Z,"96,315.79","4,075,520.00"
2025-02-22T03:00:00.000Z,"96,284.66",0
2025-02-22T03:05:00.000Z,"96,246.64",0
2025-02-22T03:10:00.000Z,"96,239.14","797,618,176.00"
2025-02-22T03:15:00.000Z,"96,277.22",0
2025-02-22T03:20:00.000Z,"96,312.94",0
2025-02-22T03:25:00.000Z,"96,338.18","54,894,592.00"
2025-02-22T03:30:00.000Z,"96,293.31","737,112,064.00"
2025-02-22T03:35:00.000Z,"96,248.81",0
2025-02-22T03:40:00.000Z,"96,224.83",0
2025-02-22T03:45:00.000Z,"96,175.78","673,820,672.00"
2025-02-22T03:50:00.000Z,"96,254.66",0
2025-02-22T03:55:00.000Z,"96,290.86","250,531,840.00"
2025-02-22T04:00:00.000Z,"96,384.27","38,387,712.00"
2025-02-22T04:05:00.000Z,"96,295.13",0
2025-02-22T04:10:00.000Z,"96,378.42",0
2025-02-22T04:15:00.000Z,"96,402.01","100,069,376.00"
2025-02-22T04:20:00.000Z,"96,394.77","387,469,312.00"
2025-02-22T04:25:00.000Z,"96,363.58","245,911,552.00"
2025-02-22T04:30:00.000Z,"96,388.03","119,595,008.00"
2025-02-22T04:35:00.000Z,"96,421.88",0
2025-02-22T04:40:00.000Z,"96,406.58","73,650,176.00"
2025-02-22T04:45:00.000Z,"96,379.45",0
2025-02-22T04:50:00.000Z,"96,448.03",0
2025-02-22T04:55:00.000Z,"96,402.30","160,038,912.00"
2025-02-22T05:00:00.000Z,"96,383.98","37,994,496.00"
2025-02-22T05:05:00.000Z,"96,395.85","41,529,344.00"
