B00, 100
B00, Trade, 85088.635, 159, S11, B00, 1
B00, Trade, 85100.442, 160, B00, S18, 1
B00, Trade, 85107.308, 160, S21, B00, 1
B00, Trade, 85121.885, 153, B00, S19, 1
B00, Trade, 85140.231, 157, S02, B00, 1
B00, Trade, 85145.346, 152, B00, S00, 1
B00, Trade, 85156.096, 158, S11, B00, 1
B00, Trade, 85173.442, 152, B00, S24, 1
B00, Trade, 85185.308, 158, S21, B00, 1
B00, Trade, 85195.327, 155, B00, S00, 1
B00, Trade, 85208.942, 157, B00, S04, 1
B00, Trade, 85217.038, 153, B00, S23, 1
B00, Trade, 85231.865, 150, B00, S07, 1
B00, Trade, 85241.692, 149, B00, S15, 1
B00, Trade, 85243.808, 157, S17, B00, 1
B00, Trade, 85260.654, 157, S23, B00, 1
B00, Trade, 85274.827, 163, B00, S08, 1
B00, Trade, 85292.712, 155, S12, B00, 1
B00, Trade, 85305.962, 160, B00, S18, 1
B00, Trade, 85320.000, 155, B00, S00, 1
B00, Trade, 85338.481, 163, S19, B00, 1
B00, Trade, 85349.173, 157, B00, S12, 1
B00, Trade, 85369.000, 159, P01, B00, 1
B00, Trade, 85378.115, 155, S12, B00, 1
B00, Trade, 85389.019, 159, B00, S06, 1
B00, Trade, 85422.462, 162, S00, B00, 1
B00, Trade, 85448.442, 158, S01, B00, 1
B00, Trade, 85458.942, 151, B00, S15, 1
B00, Trade, 85465.385, 155, B00, S21, 1
B00, Trade, 85481.115, 155, S01, B00, 1
B00, Trade, 85483.865, 151, B00, S10, 1
B00, Trade, 85501.269, 153, B00, S04, 1
B00, Trade, 85513.327, 154, B00, S07, 1
B00, Trade, 85521.769, 152, B00, S20, 1
B00, Trade, 85524.269, 154, S03, B00, 1
B00, Trade, 85557.846, 152, S08, B00, 1
B00, Trade, 85576.423, 150, B00, S19, 1
B00, Trade, 85588.423, 147, B00, S16, 1
B00, Trade, 85592.500, 149, S19, B00, 1
B00, Trade, 85595.712, 156, S01, B00, 1
B00, Trade, 85605.923, 150, S18, B00, 1
B00, Trade, 85633.904, 142, S15, B00, 1
B00, Trade, 85644.769, 155, B00, S11, 1
B00, Trade, 85653.750, 157, B00, S18, 1
B00, Trade, 85665.635, 148, B00, S15, 1
B00, Trade, 85671.596, 162, S02, B00, 1
B00, Trade, 85692.077, 154, P01, B00, 1
B00, Trade, 85695.019, 156, S06, B00, 1
B00, Trade, 85711.231, 151, B00, S20, 1
B00, Trade, 85720.288, 155, P01, B00, 1
B00, Trade, 85734.288, 154, B00, S20, 1
B00, Trade, 85740.692, 159, B00, S03, 1
B00, Trade, 85762.885, 153, B00, S07, 1
B00, Trade, 85763.981, 156, S02, B00, 1
B00, Trade, 85784.423, 151, B00, S13, 1
B00, Trade, 85790.635, 163, S15, B00, 1
B00, Trade, 85807.538, 147, B00, S00, 1
B00, Trade, 85816.558, 156, B00, S05, 1
B00, Trade, 85830.327, 156, S10, B00, 1
B00, Trade, 85841.346, 152, S02, B00, 1
B00, Trade, 85850.442, 154, B00, S22, 1
B00, Trade, 85864.462, 155, S03, B00, 1
B00, Trade, 85894.673, 164, S15, B00, 1
B00, Trade, 85904.981, 156, S17, B00, 1
B00, Trade, 85925.712, 150, B00, S20, 1
B00, Trade, 85932.635, 156, B00, S05, 1
B00, Trade, 85940.000, 156, S08, B00, 1
B00, Trade, 85976.577, 153, S12, B00, 1
B00, Trade, 86001.981, 154, B00, S20, 1
B00, Trade, 86012.519, 148, B00, S14, 1
B00, Trade, 86021.538, 156, S04, B00, 1
B00, Trade, 86030.462, 152, S23, B00, 1
B00, Trade, 86042.442, 157, S12, B00, 1
B00, Trade, 86055.788, 158, S08, B00, 1
B00, Trade, 86069.942, 152, S04, B00, 1
B00, Trade, 86078.596, 154, B00, S22, 1
B00, Trade, 86098.808, 157, S02, B00, 1
B00, Trade, 86118.923, 156, S11, B00, 1
B00, Trade, 86153.712, 159, P01, B00, 1
B00, Trade, 86157.269, 157, B00, S23, 1
B00, Trade, 86170.346, 151, S09, B00, 1
B00, Trade, 86187.000, 154, B00, S09, 1
B00, Trade, 86194.538, 157, S05, B00, 1
B00, Trade, 86214.058, 152, B00, S13, 1
B00, Trade, 86221.365, 155, S03, B00, 1
B00, Trade, 86240.885, 156, S13, B00, 1
B00, Trade, 86249.788, 157, B00, S19, 1
B00, Trade, 86260.712, 160, B00, S07, 1
B00, Trade, 86275.423, 150, B00, S00, 1
B00, Trade, 86278.692, 152, B00, S01, 1
B00, Trade, 86286.115, 152, S20, B00, 1
B00, Trade, 86313.404, 161, S21, B00, 1
B00, Trade, 86328.481, 155, B00, S21, 1
B00, Trade, 86331.269, 155, B00, S17, 1
B00, Trade, 86340.038, 152, B00, S20, 1
B00, Trade, 86345.500, 156, S11, B00, 1
B00, Trade, 86355.212, 159, S16, B00, 1
B00, Trade, 86370.038, 148, S07, B00, 1
B00, Trade, 86389.346, 157, B00, S13, 1
B00, Trade, 86395.654, 152, B00, S18, 1
B01, 100
B01, Trade, 84999.077, 155, B01, S18, 1
B01, Trade, 85012.404, 155, B01, S19, 1
B01, Trade, 85024.731, 158, S16, B01, 1
B01, Trade, 85034.404, 153, B01, S24, 1
B01, Trade, 85051.250, 150, S09, B01, 1
B01, Trade, 85063.212, 155, B01, S24, 1
B01, Trade, 85071.000, 156, S19, B01, 1
B01, Trade, 85079.096, 156, B01, S07, 1
B01, Trade, 85110.212, 159, S00, B01, 1
B01, Trade, 85124.135, 154, B01, S11, 1
B01, Trade, 85131.942, 159, S23, B01, 1
B01, Trade, 85156.269, 158, P01, B01, 1
B01, Trade, 85177.327, 156, S07, B01, 1
B01, Trade, 85190.269, 155, B01, S06, 1
B01, Trade, 85214.942, 154, B01, S10, 1
B01, Trade, 85226.096, 154, B01, S06, 1
B01, Trade, 85257.288, 160, S13, B01, 1
B01, Trade, 85267.000, 152, B01, S20, 1
B01, Trade, 85275.519, 154, B01, S10, 1
B01, Trade, 85287.750, 156, B01, S07, 1
B01, Trade, 85292.846, 160, S18, B01, 1
B01, Trade, 85310.462, 158, B01, S07, 1
B01, Trade, 85322.558, 153, S10, B01, 1
B01, Trade, 85354.269, 152, B01, S21, 1
B01, Trade, 85358.442, 157, S04, B01, 1
B01, Trade, 85381.981, 155, P01, B01, 1
B01, Trade, 85385.481, 155, S02, B01, 1
B01, Trade, 85410.750, 164, P01, B01, 1
B01, Trade, 85423.038, 154, B01, S22, 1
B01, Trade, 85426.904, 160, S12, B01, 1
B01, Trade, 85435.250, 156, S17, B01, 1
B01, Trade, 85468.981, 153, B01, S20, 1
B01, Trade, 85474.615, 158, S17, B01, 1
B01, Trade, 85496.596, 153, B01, S11, 1
B01, Trade, 85499.519, 150, S05, B01, 1
B01, Trade, 85513.885, 155, S16, B01, 1
B01, Trade, 85539.077, 173, S11, B01, 1
B01, Trade, 85544.904, 167, B01, S14, 1
B01, Trade, 85564.077, 152, B01, S13, 1
B01, Trade, 85566.135, 156, S09, B01, 1
B01, Trade, 85580.885, 149, B01, S07, 1
B01, Trade, 85606.173, 154, S10, B01, 1
B01, Trade, 85618.519, 154, B01, S10, 1
B01, Trade, 85627.596, 154, B01, S16, 1
B01, Trade, 85642.519, 155, S16, B01, 1
B01, Trade, 85658.154, 159, B01, S03, 1
B01, Trade, 85665.596, 148, B01, S07, 1
B01, Trade, 85672.038, 161, S04, B01, 1
B01, Trade, 85690.558, 158, S02, B01, 1
B01, Trade, 85702.673, 156, B01, S05, 1
B01, Trade, 85705.212, 154, S08, B01, 1
B01, Trade, 85729.558, 150, B01, S22, 1
B01, Trade, 85731.308, 164, S11, B01, 1
B01, Trade, 85774.712, 148, B01, S00, 1
B01, Trade, 85778.192, 150, S08, B01, 1
B01, Trade, 85799.365, 156, B01, S20, 1
B01, Trade, 85812.038, 160, S17, B01, 1
B01, Trade, 85833.327, 155, S11, B01, 1
B01, Trade, 85842.712, 149, B01, S12, 1
B01, Trade, 85844.885, 153, P01, B01, 1
B01, Trade, 85858.423, 148, S10, B01, 1
B01, Trade, 85872.058, 158, B01, S20, 1
B01, Trade, 85883.577, 157, S19, B01, 1
B01, Trade, 85885.115, 157, B01, S13, 1
B01, Trade, 85918.231, 149, B01, S05, 1
B01, Trade, 85921.000, 151, S19, B01, 1
B01, Trade, 85936.346, 154, B01, S00, 1
B01, Trade, 85949.885, 153, B01, S13, 1
B01, Trade, 85954.346, 145, B01, S15, 1
B01, Trade, 85956.327, 159, S03, B01, 1
B01, Trade, 85968.635, 151, B01, S00, 1
B01, Trade, 85988.481, 156, B01, S20, 1
B01, Trade, 85993.846, 152, B01, S13, 1
B01, Trade, 85999.750, 159, S17, B01, 1
B01, Trade, 86022.000, 156, S01, B01, 1
B01, Trade, 86055.942, 158, B01, S05, 1
B01, Trade, 86071.481, 152, S23, B01, 1
B01, Trade, 86086.846, 155, S23, B01, 1
B01, Trade, 86119.308, 158, S08, B01, 1
B01, Trade, 86129.981, 156, S09, B01, 1
