B00, 100
B00, Trade, 84043.596, 119, S10, B00, 1
B00, Trade, 84114.269, 118, B00, S06, 1
B00, Trade, 84134.212, 113, S19, B00, 1
B00, Trade, 84181.038, 123, S04, B00, 1
B00, Trade, 84189.712, 118, S17, B00, 1
B00, Trade, 84195.577, 118, B00, S20, 1
B00, Trade, 84205.577, 121, B00, S19, 1
B00, Trade, 84242.654, 115, S07, B00, 1
B00, Trade, 84245.462, 121, S17, B00, 1
B00, Trade, 84296.885, 121, S03, B00, 1
B00, Trade, 84306.404, 125, S05, B00, 1
B00, Trade, 84325.538, 121, S05, B00, 1
B00, Trade, 84347.538, 117, S19, B00, 1
B00, Trade, 84366.173, 115, S05, B00, 1
B00, Trade, 84382.231, 125, P01, B00, 1
B00, Trade, 84411.788, 125, S13, B00, 1
B00, Trade, 84416.885, 121, S07, B00, 1
B00, Trade, 84431.962, 122, S17, B00, 1
B00, Trade, 84460.173, 121, S11, B00, 1
B00, Trade, 84522.750, 123, S12, B00, 1
B00, Trade, 84582.635, 120, S13, B00, 1
B00, Trade, 84611.250, 119, S24, B00, 1
B00, Trade, 84621.404, 118, S19, B00, 1
B00, Trade, 84751.731, 123, S04, B00, 1
B00, Trade, 84774.231, 121, S16, B00, 1
B00, Trade, 84811.250, 114, B00, S00, 1
B00, Trade, 84828.904, 122, S24, B00, 1
B00, Trade, 84840.019, 122, S22, B00, 1
B00, Trade, 84882.154, 117, S08, B00, 1
B00, Trade, 84885.538, 113, S11, B00, 1
B00, Trade, 84899.115, 112, S16, B00, 1
B00, Trade, 84920.308, 99, S10, B00, 1
B00, Trade, 84933.000, 101, S01, B00, 1
B00, Trade, 84990.635, 96, S21, B00, 1
B00, Trade, 84998.077, 98, B00, S14, 1
B00, Trade, 85045.846, 101, S20, B00, 1
B00, Trade, 85058.615, 100, S12, B00, 1
B00, Trade, 85072.788, 104, P01, B00, 1
B00, Trade, 85078.115, 103, S04, B00, 1
B00, Trade, 85085.135, 100, S01, B00, 1
B00, Trade, 85104.904, 105, B00, S16, 1
B00, Trade, 85141.942, 99, S07, B00, 1
B00, Trade, 85172.923, 104, S16, B00, 1
B00, Trade, 85199.904, 110, S19, B00, 1
B00, Trade, 85215.731, 103, S20, B00, 1
B00, Trade, 85224.885, 108, S05, B00, 1
B00, Trade, 85254.519, 104, B00, S18, 1
B00, Trade, 85301.192, 101, B00, S16, 1
B00, Trade, 85313.673, 109, S08, B00, 1
B00, Trade, 85342.173, 106, S14, B00, 1
B00, Trade, 85391.096, 108, S17, B00, 1
B00, Trade, 85420.712, 109, S01, B00, 1
B00, Trade, 85435.269, 110, S24, B00, 1
B00, Trade, 85456.769, 107, S07, B00, 1
B00, Trade, 85479.635, 111, S05, B00, 1
B00, Trade, 85497.596, 106, B00, S01, 1
B00, Trade, 85504.385, 104, B00, S03, 1
B00, Trade, 85518.154, 110, S12, B00, 1
B00, Trade, 85560.442, 109, S06, B00, 1
B00, Trade, 85565.231, 110, S05, B00, 1
B00, Trade, 85584.269, 108, S05, B00, 1
B00, Trade, 85598.981, 109, S10, B00, 1
B00, Trade, 85603.019, 109, S23, B00, 1
B00, Trade, 85617.673, 108, P01, B00, 1
B00, Trade, 85636.788, 111, S04, B00, 1
B00, Trade, 85669.115, 109, S24, B00, 1
B00, Trade, 85691.827, 108, S11, B00, 1
B00, Trade, 85702.077, 104, S23, B00, 1
B00, Trade, 85748.269, 106, S23, B00, 1
B00, Trade, 85760.000, 102, B00, S20, 1
B00, Trade, 85777.192, 104, S07, B00, 1
B00, Trade, 85792.250, 107, S00, B00, 1
B00, Trade, 85820.942, 106, S12, B00, 1
B00, Trade, 85843.538, 109, S22, B00, 1
B00, Trade, 85852.154, 113, S11, B00, 1
B00, Trade, 85859.269, 111, S07, B00, 1
B00, Trade, 85917.615, 110, P01, B00, 1
B00, Trade, 85933.654, 112, S21, B00, 1
B00, Trade, 85954.442, 113, P01, B00, 1
B00, Trade, 85980.365, 95, B00, S06, 1
B00, Trade, 85999.788, 111, S03, B00, 1
B00, Trade, 86011.173, 114, P01, B00, 1
B00, Trade, 86023.365, 113, S23, B00, 1
B00, Trade, 86076.654, 108, B00, S07, 1
B00, Trade, 86110.000, 113, B00, S21, 1
B00, Trade, 86119.827, 110, S13, B00, 1
B00, Trade, 86130.058, 128, S22, B00, 1
B00, Trade, 86142.769, 110, S19, B00, 1
B00, Trade, 86177.000, 108, P01, B00, 1
B00, Trade, 86178.596, 107, S14, B00, 1
B00, Trade, 86193.135, 109, S22, B00, 1
B00, Trade, 86223.692, 114, S17, B00, 1
