B00, 100
B00, Trade, 85140.692, 153, B00, S19, 1
B00, Trade, 85149.212, 156, S06, B00, 1
B00, Trade, 85177.096, 160, S06, B00, 1
B00, Trade, 85193.731, 153, B00, S01, 1
B00, Trade, 85198.250, 165, S14, B00, 1
B00, Trade, 85216.654, 157, S22, B00, 1
B00, Trade, 85231.692, 150, B00, S17, 1
B00, Trade, 85246.846, 156, S06, B00, 1
B00, Trade, 85266.346, 157, B00, S20, 1
B00, Trade, 85269.385, 158, P00, B00, 1
B00, Trade, 85281.923, 154, B00, S17, 1
B00, Trade, 85287.673, 153, P00, B00, 1
B00, Trade, 85292.173, 155, P00, B00, 1
B00, Trade, 85307.385, 151, B00, S03, 1
B00, Trade, 85317.327, 150, B00, S18, 1
B00, Trade, 85330.096, 161, S12, B00, 1
B00, Trade, 85334.519, 163, S03, B00, 1
B00, Trade, 85351.077, 156, B00, S18, 1
B00, Trade, 85355.827, 159, B00, S20, 1
B00, Trade, 85368.192, 166, S05, B00, 1
B00, Trade, 85378.577, 152, B00, S00, 1
B00, Trade, 85384.538, 158, S10, B00, 1
B00, Trade, 85396.827, 158, S02, B00, 1
B00, Trade, 85408.462, 157, S13, B00, 1
B00, Trade, 85438.231, 157, P00, B00, 1
B00, Trade, 85455.250, 152, B00, S23, 1
B00, Trade, 85460.962, 164, S06, B00, 1
B00, Trade, 85471.308, 154, B00, S14, 1
B00, Trade, 85492.077, 160, S14, B00, 1
B00, Trade, 85497.365, 151, B00, S21, 1
B00, Trade, 85519.423, 157, S04, B00, 1
B00, Trade, 85535.923, 153, S06, B00, 1
B00, Trade, 85562.692, 161, B00, S03, 1
B00, Trade, 85569.327, 160, B00, S10, 1
B00, Trade, 85583.019, 160, S13, B00, 1
B00, Trade, 85600.827, 151, B00, S18, 1
B00, Trade, 85604.558, 154, S06, B00, 1
B00, Trade, 85616.615, 154, B00, S03, 1
B00, Trade, 85627.577, 158, B00, S15, 1
B00, Trade, 85639.346, 163, S00, B00, 1
B00, Trade, 85650.115, 156, B00, S04, 1
B00, Trade, 85668.154, 159, S03, B00, 1
B00, Trade, 85683.577, 154, B00, S11, 1
B00, Trade, 85697.212, 158, S24, B00, 1
B00, Trade, 85711.538, 157, B00, S09, 1
B00, Trade, 85718.250, 162, S11, B00, 1
B00, Trade, 85731.173, 159, S05, B00, 1
B00, Trade, 85746.615, 151, S09, B00, 1
B00, Trade, 85759.635, 154, B00, S16, 1
B00, Trade, 85776.500, 152, B00, S16, 1
B00, Trade, 85784.096, 153, P00, B00, 1
B00, Trade, 85789.904, 148, B00, S15, 1
B00, Trade, 85803.692, 151, B00, S24, 1
B00, Trade, 85825.288, 155, B00, S09, 1
B00, Trade, 85833.577, 156, S14, B00, 1
B00, Trade, 85836.288, 154, B00, S21, 1
B00, Trade, 85852.712, 156, B00, S02, 1
B00, Trade, 85866.615, 149, B00, S23, 1
B00, Trade, 85878.942, 153, S10, B00, 1
B00, Trade, 85897.154, 153, B00, S08, 1
B00, Trade, 85900.327, 154, S04, B00, 1
B00, Trade, 85910.462, 154, B00, S24, 1
B00, Trade, 85921.212, 158, S04, B00, 1
B00, Trade, 85933.058, 156, S11, B00, 1
B00, Trade, 85959.481, 155, B00, S09, 1
B00, Trade, 85964.808, 151, B00, S15, 1
B00, Trade, 85980.308, 158, S13, B00, 1
B00, Trade, 85993.058, 151, B00, P01, 1
B00, Trade, 86008.962, 156, S00, B00, 1
B00, Trade, 86023.250, 150, B00, S16, 1
B00, Trade, 86026.808, 155, B00, S08, 1
B00, Trade, 86040.942, 162, S15, B00, 1
B00, Trade, 86066.135, 152, B00, S04, 1
B00, Trade, 86068.423, 156, P00, B00, 1
B00, Trade, 86089.231, 149, B00, S10, 1
B00, Trade, 86091.654, 155, S11, B00, 1
B00, Trade, 86102.962, 151, B00, S10, 1
B00, Trade, 86106.442, 154, S12, B00, 1
B00, Trade, 86115.923, 153, B00, S16, 1
B00, Trade, 86132.404, 161, S20, B00, 1
B00, Trade, 86135.423, 162, S13, B00, 1
B00, Trade, 86156.923, 151, B00, S02, 1
B00, Trade, 86160.192, 159, S11, B00, 1
B00, Trade, 86188.654, 149, B00, S16, 1
B00, Trade, 86193.346, 155, B00, S18, 1
B00, Trade, 86209.442, 149, B00, S21, 1
B00, Trade, 86211.519, 155, S13, B00, 1
B00, Trade, 86234.385, 159, S00, B00, 1
B00, Trade, 86246.750, 153, B00, S22, 1
B00, Trade, 86259.346, 154, S21, B00, 1
B00, Trade, 86273.500, 152, B00, S17, 1
B00, Trade, 86282.365, 161, S14, B00, 1
B00, Trade, 86298.058, 157, B00, S12, 1
B00, Trade, 86306.481, 152, S03, B00, 1
B00, Trade, 86309.750, 152, S01, B00, 1
B00, Trade, 86326.019, 150, S23, B00, 1
B00, Trade, 86334.558, 154, S12, B00, 1
B00, Trade, 86358.692, 155, B00, S14, 1
B00, Trade, 86372.904, 153, B00, S16, 1
