B01, Trade, 85493.442, 155, P01, B01, 1
B01, Trade, 85511.173, 155, S24, B01, 1
B01, Trade, 85530.423, 151, B01, S02, 1
B01, Trade, 85532.404, 160, P01, B01, 1
B01, Trade, 85535.365, 160, S19, B01, 1
B01, Trade, 85551.135, 156, S24, B01, 1
B01, Trade, 85566.558, 154, S19, B01, 1
B01, Trade, 85575.154, 159, S09, B01, 1
B01, Trade, 85585.058, 156, B01, S23, 1
B01, Trade, 85600.538, 153, S23, B01, 1
B01, Trade, 85606.654, 158, B01, S16, 1
B01, Trade, 85632.558, 155, S13, B01, 1
B01, Trade, 85647.346, 155, S04, B01, 1
B01, Trade, 85662.615, 156, P01, B01, 1
B01, Trade, 85667.673, 159, S06, B01, 1
B01, Trade, 85686.692, 155, B01, S04, 1
B01, Trade, 85702.250, 157, S03, B01, 1
B01, Trade, 85713.558, 154, S00, B01, 1
B01, Trade, 85715.788, 162, S23, B01, 1
B01, Trade, 85731.904, 159, S19, B01, 1
B01, Trade, 85743.442, 161, S00, B01, 1
B01, Trade, 85749.865, 155, S00, B01, 1
B01, Trade, 85757.519, 156, S09, B01, 1
B01, Trade, 85772.038, 157, S22, B01, 1
B01, Trade, 85787.385, 153, B01, S21, 1
B01, Trade, 85793.846, 150, S11, B01, 1
B01, Trade, 85811.231, 156, S08, B01, 1
B01, Trade, 85822.577, 156, S21, B01, 1
B01, Trade, 85833.000, 153, S22, B01, 1
B01, Trade, 85836.192, 158, S06, B01, 1
B01, Trade, 85852.615, 156, P01, B01, 1
B01, Trade, 85881.750, 154, P01, B01, 1
B01, Trade, 85888.385, 159, S13, B01, 1
B01, Trade, 85898.769, 159, S21, B01, 1
B01, Trade, 85913.154, 156, S01, B01, 1
B01, Trade, 85924.865, 153, B01, S21, 1
B01, Trade, 85932.269, 156, S09, B01, 1
B01, Trade, 85937.596, 158, S13, B01, 1
B01, Trade, 85950.269, 153, S01, B01, 1
B01, Trade, 85958.327, 153, S18, B01, 1
B01, Trade, 85985.192, 148, B01, S01, 1
B01, Trade, 86028.192, 155, S08, B01, 1
B01, Trade, 86035.827, 150, S13, B01, 1
B01, Trade, 86050.808, 161, S03, B01, 1
B01, Trade, 86054.327, 156, S01, B01, 1
B01, Trade, 86068.577, 161, S12, B01, 1
B01, Trade, 86088.731, 150, B01, S18, 1
B01, Trade, 86098.519, 148, B01, S23, 1
B01, Trade, 86105.192, 155, S06, B01, 1
B01, Trade, 86142.654, 157, S02, B01, 1
B01, Trade, 86151.442, 153, S22, B01, 1
B01, Trade, 86154.654, 153, B01, S15, 1
B01, Trade, 86172.596, 153, S20, B01, 1
B01, Trade, 86180.404, 158, S20, B01, 1
B01, Trade, 86189.731, 152, B01, S06, 1
B01, Trade, 86201.269, 161, P01, B01, 1
B01, Trade, 86206.096, 156, S19, B01, 1
B01, Trade, 86219.288, 150, B01, S14, 1
B01, Trade, 86231.423, 155, S19, B01, 1
B01, Trade, 86249.115, 156, S08, B01, 1
B01, Trade, 86257.038, 151, S13, B01, 1
B01, Trade, 86264.692, 151, S17, B01, 1
B01, Trade, 86284.077, 155, B01, S05, 1
B01, Trade, 86292.519, 157, S06, B01, 1
B01, Trade, 86313.058, 149, B01, S16, 1
B01, Trade, 86321.481, 155, S17, B01, 1
B01, Trade, 86327.962, 152, S01, B01, 1
B01, Trade, 86344.385, 153, S02, B01, 1
B01, Trade, 86347.788, 154, S23, B01, 1
B01, Trade, 86354.250, 154, S13, B01, 1
B01, Trade, 86370.750, 154, S21, B01, 1
B01, Trade, 86384.000, 154, S05, B01, 1
B01, Trade, 86393.192, 156, B01, S03, 1
B02, 100
B02, Trade, 85072.519, 154, B02, S13, 1
B02, Trade, 85078.558, 158, B02, S04, 1
B02, Trade, 85089.538, 156, S04, B02, 1
B02, Trade, 85099.135, 159, S13, B02, 1
B02, Trade, 85112.288, 153, B02, S02, 1
B02, Trade, 85119.173, 160, B02, S10, 1
B02, Trade, 85132.712, 154, S17, B02, 1
B02, Trade, 85138.654, 161, S03, B02, 1
B02, Trade, 85168.769, 152, S02, B02, 1
B02, Trade, 85194.500, 150, B02, S21, 1
B02, Trade, 85199.615, 161, S19, B02, 1
B02, Trade, 85212.288, 154, B02, S09, 1
B02, Trade, 85222.077, 156, S22, B02, 1
B02, Trade, 85246.942, 151, B02, S15, 1
B02, Trade, 85251.462, 160, S13, B02, 1
B02, Trade, 85253.442, 159, S11, B02, 1
B02, Trade, 85288.115, 153, S07, B02, 1
B02, Trade, 85305.346, 161, S21, B02, 1
B02, Trade, 85332.654, 152, B02, S08, 1
B02, Trade, 85342.058, 156, S02, B02, 1
B02, Trade, 85354.269, 159, B02, S11, 1
B02, Trade, 85361.808, 158, B02, S12, 1
B02, Trade, 85370.962, 154, B02, S08, 1
B02, Trade, 85378.173, 151, S16, B02, 1
B02, Trade, 85395.212, 158, B02, S10, 1
B02, Trade, 85398.365, 161, S09, B02, 1
B02, Trade, 85413.808, 154, B02, S22, 1
B02, Trade, 85422.673, 155, B02, S05, 1
B02, Trade, 85426.942, 160, P01, B02, 1
B02, Trade, 85452.538, 164, S03, B02, 1
B02, Trade, 85458.885, 152, B02, S12, 1
B02, Trade, 85470.500, 152, B02, S17, 1
B02, Trade, 85475.038, 162, S13, B02, 1
B02, Trade, 85498.250, 161, S02, B02, 1
B02, Trade, 85514.923, 158, S22, B02, 1
B02, Trade, 85536.192, 153, B02, S17, 1
B02, Trade, 85542.558, 157, P01, B02, 1
B02, Trade, 85551.385, 156, P01, B02, 1
B02, Trade, 85566.885, 152, B02, S24, 1
B02, Trade, 85572.423, 158, B02, S08, 1
B02, Trade, 85603.712, 151, S20, B02, 1
B02, Trade, 85629.596, 154, B02, S10, 1
B02, Trade, 85637.904, 155, S18, B02, 1
B02, Trade, 85657.846, 153, S03, B02, 1
B02, Trade, 85665.250, 154, B02, S23, 1
B02, Trade, 85692.346, 157, S15, B02, 1
B02, Trade, 85705.558, 157, B02, S16, 1
B02, Trade, 85721.962, 148, S12, B02, 1
B02, Trade, 85728.077, 156, S07, B02, 1
B02, Trade, 85742.019, 158, B02, S20, 1
B02, Trade, 85757.096, 154, B02, S05, 1
B02, Trade, 85758.423, 162, S15, B02, 1
B02, Trade, 85777.577, 156, S15, B02, 1
B02, Trade, 85800.846, 151, B02, S21, 1
B02, Trade, 85816.962, 154, S03, B02, 1
B02, Trade, 85834.442, 147, B02, S24, 1
B02, Trade, 85840.231, 155, S20, B02, 1
B02, Trade, 85849.750, 154, B02, S12, 1
B02, Trade, 85878.731, 153, B02, S24, 1
B02, Trade, 85883.462, 155, S08, B02, 1
B02, Trade, 85899.212, 159, S19, B02, 1
B02, Trade, 85908.615, 153, B02, S10, 1
B02, Trade, 85923.115, 159, P01, B02, 1
B02, Trade, 85943.231, 153, B02, S07, 1
B02, Trade, 85946.692, 156, S02, B02, 1
B02, Trade, 85962.635, 152, B02, S19, 1
B02, Trade, 85969.538, 143, B02, S11, 1
B02, Trade, 85979.712, 151, S05, B02, 1
B02, Trade, 85995.385, 160, B02, S04, 1
B02, Trade, 86008.135, 151, B02, S06, 1
B02, Trade, 86011.019, 163, S12, B02, 1
B02, Trade, 86023.596, 153, S12, B02, 1
B02, Trade, 86032.596, 146, B02, S10, 1
B02, Trade, 86045.981, 158, S18, B02, 1
B02, Trade, 86063.538, 150, B02, S24, 1
B02, Trade, 86069.327, 161, P01, B02, 1
B02, Trade, 86097.212, 150, B02, S08, 1
B02, Trade, 86098.577, 153, S09, B02, 1
B02, Trade, 86113.000, 152, B02, S14, 1
B02, Trade, 86120.904, 159, S09, B02, 1
B02, Trade, 86140.000, 154, B02, S05, 1
B02, Trade, 86148.577, 154, B02, S08, 1
B02, Trade, 86149.346, 154, S20, B02, 1
B02, Trade, 86164.788, 156, B02, S04, 1
B02, Trade, 86179.058, 158, B02, S12, 1
B02, Trade, 86192.596, 156, P01, B02, 1
B02, Trade, 86194.827, 155, S05, B02, 1
B02, Trade, 86213.635, 157, B02, S17, 1
B02, Trade, 86223.327, 147, B02, S10, 1
B02, Trade, 86235.750, 147, B02, S19, 1
B02, Trade, 86251.288, 155, S07, B02, 1
B02, Trade, 86276.173, 153, S20, B02, 1
B02, Trade, 86296.615, 143, B02, S00, 1
B02, Trade, 86300.731, 161, S01, B02, 1
B02, Trade, 86337.596, 148, B02, S07, 1
B02, Trade, 86353.596, 153, B02, S10, 1
B02, Trade, 86361.731, 152, S08, B02, 1
B02, Trade, 86365.615, 156, S01, B02, 1
B02, Trade, 86379.462, 147, B02, S17, 1
B02, Trade, 86386.135, 153, S20, B02, 1
B03, 100
B03, Trade, 85324.885, 157, B03, S16, 1
B03, Trade, 85343.096, 156, B03, S08, 1
B03, Trade, 85347.404, 164, B03, S09, 1
B03, Trade, 85362.173, 158, B03, S02, 1
B03, Trade, 85364.481, 154, B03, S09, 1
B03, Trade, 85383.750, 151, B03, S10, 1
B03, Trade, 85394.365, 158, B03, S06, 1
B03, Trade, 85400.308, 155, B03, S17, 1
B03, Trade, 85416.019, 149, B03, S05, 1
B03, Trade, 85423.115, 156, B03, S06, 1
B03, Trade, 85426.365, 154, B03, S17, 1
B03, Trade, 85438.750, 156, B03, S03, 1
B03, Trade, 85445.750, 152, B03, S12, 1
B03, Trade, 85464.192, 154, B03, S20, 1
B03, Trade, 85477.442, 148, B03, S09, 1
B03, Trade, 85480.923, 155, B03, S03, 1
B03, Trade, 85489.673, 156, B03, S21, 1
B03, Trade, 85492.808, 152, B03, S09, 1
B03, Trade, 85510.192, 148, B03, S09, 1
B03, Trade, 85521.462, 160, B03, S19, 1
B03, Trade, 85526.615, 158, S11, B03, 1
B03, Trade, 85540.827, 152, B03, S11, 1
B03, Trade, 85548.135, 154, B03, S04, 1
B03, Trade, 85566.635, 153, B03, S17, 1
B03, Trade, 85582.135, 156, S22, B03, 1
B03, Trade, 85587.904, 150, B03, S05, 1
B03, Trade, 85601.192, 153, S12, B03, 1
B03, Trade, 85611.981, 152, B03, S08, 1
B03, Trade, 85623.385, 153, B03, S24, 1
B03, Trade, 85632.923, 154, B03, S12, 1
B03, Trade, 85635.404, 154, B03, S13, 1
B03, Trade, 85648.462, 154, B03, S15, 1
B03, Trade, 85669.942, 154, B03, S07, 1
B03, Trade, 85677.750, 160, S22, B03, 1
B03, Trade, 85691.269, 157, S20, B03, 1
B03, Trade, 85697.423, 147, B03, S23, 1
B03, Trade, 85707.731, 156, B03, S18, 1
B03, Trade, 85719.038, 152, B03, S23, 1
B03, Trade, 85738.827, 160, B03, S17, 1
B03, Trade, 85749.519, 155, S02, B03, 1
B03, Trade, 85763.173, 156, B03, S24, 1
B03, Trade, 85767.923, 156, B03, S17, 1
B03, Trade, 85778.327, 156, B03, S01, 1
B03, Trade, 85791.923, 148, S15, B03, 1
B03, Trade, 85793.962, 150, S13, B03, 1
B03, Trade, 85807.038, 154, B03, S02, 1
B03, Trade, 85816.038, 154, B03, S22, 1
B03, Trade, 85826.635, 155, B03, S21, 1
B03, Trade, 85844.077, 151, B03, S17, 1
B03, Trade, 85847.096, 157, B03, S16, 1
B03, Trade, 85854.327, 153, B03, S17, 1
B03, Trade, 85868.019, 154, B03, S02, 1
B03, Trade, 85882.462, 154, B03, S03, 1
B03, Trade, 85891.000, 159, B03, S18, 1
B03, Trade, 85900.250, 154, B03, S11, 1
B03, Trade, 85911.000, 156, P01, B03, 1
B03, Trade, 85914.231, 151, B03, S06, 1
B03, Trade, 85927.173, 156, S01, B03, 1
B03, Trade, 85935.500, 158, B03, S06, 1
B03, Trade, 85950.231, 152, B03, S10, 1
B03, Trade, 85958.712, 153, B03, S24, 1
B03, Trade, 85967.462, 149, B03, S05, 1
B03, Trade, 85982.000, 150, B03, S04, 1
B03, Trade, 85988.327, 147, B03, S21, 1
B03, Trade, 86017.615, 156, B03, S09, 1
B03, Trade, 86034.077, 149, B03, S06, 1
B03, Trade, 86037.404, 149, B03, S05, 1
B03, Trade, 86047.808, 157, S09, B03, 1
B03, Trade, 86065.462, 153, B03, S01, 1
B03, Trade, 86075.865, 151, B03, S00, 1
B03, Trade, 86083.173, 153, B03, S11, 1
B03, Trade, 86086.865, 154, B03, S06, 1
B03, Trade, 86106.481, 155, B03, S17, 1
B03, Trade, 86111.635, 155, B03, S10, 1
B03, Trade, 86120.577, 154, B03, S11, 1
B03, Trade, 86135.962, 154, B03, S16, 1
B03, Trade, 86138.981, 155, S01, B03, 1
B03, Trade, 86148.423, 155, S01, B03, 1
B03, Trade, 86158.077, 148, S10, B03, 1
B03, Trade, 86170.173, 157, S12, B03, 1
B03, Trade, 86182.692, 155, B03, S02, 1
B03, Trade, 86193.173, 153, B03, S20, 1
B03, Trade, 86196.231, 153, B03, S13, 1
B03, Trade, 86218.269, 152, B03, S21, 1
B03, Trade, 86222.250, 149, B03, S20, 1
B03, Trade, 86233.231, 155, S13, B03, 1
B03, Trade, 86244.558, 157, B03, S21, 1
B03, Trade, 86249.904, 155, B03, S12, 1
B03, Trade, 86260.577, 151, S15, B03, 1
B03, Trade, 86271.577, 149, B03, S24, 1
B03, Trade, 86277.096, 154, S19, B03, 1
B03, Trade, 86292.096, 155, B03, S22, 1
B03, Trade, 86313.327, 149, B03, S19, 1
B03, Trade, 86338.538, 148, B03, S08, 1
B03, Trade, 86341.519, 151, B03, S12, 1
B03, Trade, 86349.846, 156, B03, S11, 1
B03, Trade, 86363.846, 153, S22, B03, 1
B03, Trade, 86371.154, 154, P01, B03, 1
B03, Trade, 86379.077, 149, B03, S00, 1
B03, Trade, 86393.442, 157, S19, B03, 1
B04, 100
B04, Trade, 85209.769, 156, S06, B04, 1
