B00, 100
B00, Trade, 85031.654, 152, B00, S15, 1
B00, Trade, 85039.269, 157, S12, B00, 1
B00, Trade, 85046.577, 159, B00, S05, 1
B00, Trade, 85064.731, 157, S02, B00, 1
B00, Trade, 85077.750, 154, B00, S23, 1
B00, Trade, 85091.731, 156, S16, B00, 1
B00, Trade, 85101.692, 152, B00, S15, 1
B00, Trade, 85107.769, 145, S03, B00, 1
B00, Trade, 85121.404, 152, B00, S03, 1
B00, Trade, 85131.500, 161, S13, B00, 1
B00, Trade, 85141.500, 155, S15, B00, 1
B00, Trade, 85151.173, 155, B00, S08, 1
B00, Trade, 85157.635, 152, B00, S18, 1
B00, Trade, 85170.115, 155, B00, S08, 1
B00, Trade, 85178.635, 151, B00, S23, 1
B00, Trade, 85199.731, 156, S24, B00, 1
B00, Trade, 85212.327, 154, B00, S08, 1
B00, Trade, 85226.231, 156, B00, S03, 1
B00, Trade, 85226.942, 156, B00, S10, 1
B00, Trade, 85242.885, 158, S00, B00, 1
B00, Trade, 85287.673, 151, B00, S06, 1
B00, Trade, 85297.481, 156, B00, P00, 1
B00, Trade, 85305.885, 157, P00, B00, 1
B00, Trade, 85341.135, 156, S05, B00, 1
B00, Trade, 85353.327, 161, S17, B00, 1
B00, Trade, 85381.942, 152, B00, S00, 1
B00, Trade, 85387.462, 158, S04, B00, 1
B00, Trade, 85399.212, 153, S06, B00, 1
B00, Trade, 85430.808, 158, P00, B00, 1
B00, Trade, 85451.308, 158, P00, B00, 1
B00, Trade, 85455.096, 158, S23, B00, 1
B00, Trade, 85472.154, 156, B00, S17, 1
B00, Trade, 85488.731, 149, B00, S14, 1
B00, Trade, 85509.865, 151, B00, S22, 1
B00, Trade, 85517.442, 161, S21, B00, 1
B00, Trade, 85525.077, 151, S09, B00, 1
B00, Trade, 85539.019, 159, P00, B00, 1
B00, Trade, 85547.135, 150, B00, S11, 1
B00, Trade, 85565.365, 156, B00, S03, 1
B00, Trade, 85580.942, 154, B00, S20, 1
B00, Trade, 85595.038, 158, B00, S04, 1
B00, Trade, 85602.615, 152, B00, S03, 1
B00, Trade, 85609.135, 158, S14, B00, 1
B00, Trade, 85627.635, 152, S21, B00, 1
B00, Trade, 85628.538, 156, S17, B00, 1
B00, Trade, 85639.365, 154, B00, S16, 1
B00, Trade, 85665.250, 147, B00, S24, 1
B00, Trade, 85670.346, 156, S21, B00, 1
B00, Trade, 85680.962, 152, B00, S02, 1
B00, Trade, 85688.769, 154, S20, B00, 1
B00, Trade, 85699.231, 155, S13, B00, 1
B00, Trade, 85723.385, 157, S13, B00, 1
B00, Trade, 85745.538, 150, S24, B00, 1
B00, Trade, 85763.346, 151, B00, S23, 1
B00, Trade, 85769.212, 151, S00, B00, 1
B00, Trade, 85787.269, 154, S12, B00, 1
B00, Trade, 85806.788, 154, B00, S16, 1
B00, Trade, 85809.769, 157, B00, S11, 1
B00, Trade, 85819.577, 156, B00, S10, 1
B00, Trade, 85855.423, 160, S21, B00, 1
B00, Trade, 85872.712, 153, B00, S04, 1
B00, Trade, 85894.423, 154, S15, B00, 1
B00, Trade, 85918.981, 153, B00, S06, 1
B00, Trade, 85922.692, 156, S00, B00, 1
B00, Trade, 85950.885, 160, S21, B00, 1
B00, Trade, 85973.635, 154, B00, S04, 1
B00, Trade, 85998.346, 163, S13, B00, 1
B00, Trade, 86013.327, 151, B00, S04, 1
B00, Trade, 86029.615, 154, B00, S05, 1
B00, Trade, 86042.038, 154, S03, B00, 1
B00, Trade, 86061.192, 149, S24, B00, 1
B00, Trade, 86070.673, 146, B00, S14, 1
B00, Trade, 86079.865, 149, B00, S20, 1
B00, Trade, 86089.577, 147, B00, S15, 1
B00, Trade, 86101.250, 153, S20, B00, 1
B00, Trade, 86110.577, 151, B00, S05, 1
B00, Trade, 86114.519, 153, S03, B00, 1
B00, Trade, 86131.596, 152, B00, S17, 1
B00, Trade, 86137.327, 152, S13, B00, 1
B00, Trade, 86150.673, 154, B00, S10, 1
B00, Trade, 86177.269, 151, B00, S23, 1
B00, Trade, 86183.481, 151, S22, B00, 1
B00, Trade, 86184.885, 153, S11, B00, 1
B00, Trade, 86216.288, 152, S11, B00, 1
B00, Trade, 86234.827, 151, B00, S11, 1
B00, Trade, 86235.654, 156, S07, B00, 1
B00, Trade, 86249.058, 151, B00, S09, 1
B00, Trade, 86259.577, 153, S11, B00, 1
B00, Trade, 86273.673, 153, B00, S14, 1
B00, Trade, 86275.442, 154, B00, S20, 1
B00, Trade, 86289.788, 153, S07, B00, 1
B00, Trade, 86303.346, 151, B00, S19, 1
B00, Trade, 86306.865, 160, S08, B00, 1
B00, Trade, 86325.654, 148, B00, S05, 1
B00, Trade, 86328.673, 149, B00, S02, 1
B00, Trade, 86343.500, 159, S00, B00, 1
B00, Trade, 86349.250, 158, S08, B00, 1
B00, Trade, 86361.635, 150, B00, S20, 1
B00, Trade, 86375.962, 153, S24, B00, 1
B00, Trade, 86393.096, 152, B00, S14, 1
B01, 100
B01, Trade, 83907.077, 160, S09, B01, 1
B01, Trade, 83925.846, 167, S16, B01, 1
B01, Trade, 83930.558, 161, S04, B01, 1
B01, Trade, 83945.154, 163, S06, B01, 1
B01, Trade, 83961.635, 162, B01, S22, 1
B01, Trade, 84002.154, 157, B01, S17, 1
B01, Trade, 84006.019, 165, P00, B01, 1
B01, Trade, 84013.154, 156, B01, S10, 1
B01, Trade, 84041.500, 160, S06, B01, 1
B01, Trade, 84048.808, 154, S13, B01, 1
B01, Trade, 84062.750, 158, S11, B01, 1
B01, Trade, 84063.212, 157, S04, B01, 1
B01, Trade, 84094.269, 153, B01, S07, 1
B01, Trade, 84110.385, 160, S10, B01, 1
B01, Trade, 84162.115, 157, S06, B01, 1
B01, Trade, 84201.750, 165, S22, B01, 1
B01, Trade, 84215.173, 160, S14, B01, 1
B01, Trade, 84254.981, 154, P00, B01, 1
B01, Trade, 84259.308, 154, S07, B01, 1
B01, Trade, 84307.154, 160, S12, B01, 1
B01, Trade, 84372.115, 156, S20, B01, 1
B01, Trade, 84391.385, 162, S03, B01, 1
B01, Trade, 84401.577, 150, B01, S03, 1
B01, Trade, 84442.115, 156, S00, B01, 1
B01, Trade, 84443.288, 157, S19, B01, 1
B01, Trade, 84485.327, 161, S17, B01, 1
B01, Trade, 84517.519, 156, B01, S11, 1
B01, Trade, 84558.731, 158, S15, B01, 1
B01, Trade, 84572.269, 155, S10, B01, 1
