B00, 100
B00, Trade, 85100.269, 153, B00, S20, 1
B00, Trade, 85111.885, 165, B00, S17, 1
B00, Trade, 85154.346, 157, S04, B00, 1
B00, Trade, 85178.519, 159, S21, B00, 1
B00, Trade, 85188.962, 156, B00, S17, 1
B00, Trade, 85198.577, 160, S09, B00, 1
B00, Trade, 85219.788, 154, B00, S18, 1
B00, Trade, 85224.423, 154, B00, S16, 1
B00, Trade, 85234.019, 155, S04, B00, 1
B00, Trade, 85258.000, 159, S00, B00, 1
B00, Trade, 85265.442, 157, B00, S13, 1
B00, Trade, 85284.192, 149, B00, S00, 1
B00, Trade, 85289.692, 156, S01, B00, 1
B00, Trade, 85303.423, 148, B00, S05, 1
B00, Trade, 85310.673, 159, B00, S15, 1
B00, Trade, 85316.788, 154, B00, S21, 1
B00, Trade, 85333.096, 158, B00, S13, 1
B00, Trade, 85336.769, 159, S01, B00, 1
B00, Trade, 85346.404, 159, B00, S05, 1
B00, Trade, 85362.173, 154, P00, B00, 1
B00, Trade, 85373.154, 152, B00, S20, 1
B00, Trade, 85384.846, 158, B00, S22, 1
B00, Trade, 85399.462, 163, S22, B00, 1
B00, Trade, 85415.808, 150, B00, S24, 1
B00, Trade, 85418.269, 152, B00, S18, 1
B00, Trade, 85427.596, 157, S17, B00, 1
B00, Trade, 85439.519, 157, B00, S16, 1
B00, Trade, 85445.731, 155, B00, S24, 1
B00, Trade, 85461.000, 156, S22, B00, 1
B00, Trade, 85465.058, 151, B00, S04, 1
B00, Trade, 85482.308, 151, B00, S13, 1
B00, Trade, 85487.692, 151, B00, S08, 1
B00, Trade, 85493.192, 160, S15, B00, 1
B00, Trade, 85512.500, 153, B00, S09, 1
B00, Trade, 85523.423, 151, B00, S05, 1
B00, Trade, 85531.308, 157, S10, B00, 1
B00, Trade, 85542.904, 154, B00, S12, 1
B00, Trade, 85552.500, 153, B00, S05, 1
B00, Trade, 85559.288, 157, B00, S19, 1
B00, Trade, 85574.365, 155, S12, B00, 1
B00, Trade, 85596.731, 158, S01, B00, 1
B00, Trade, 85624.481, 155, B00, S11, 1
B00, Trade, 85636.577, 165, S17, B00, 1
B00, Trade, 85643.231, 160, S22, B00, 1
B00, Trade, 85672.788, 154, S04, B00, 1
B00, Trade, 85684.269, 156, S21, B00, 1
B00, Trade, 85687.154, 159, S07, B00, 1
B00, Trade, 85706.481, 148, B00, S11, 1
B00, Trade, 85715.962, 153, B00, S08, 1
B00, Trade, 85733.635, 154, S07, B00, 1
B00, Trade, 85754.615, 149, B00, S05, 1
B00, Trade, 85765.442, 148, B00, S08, 1
B00, Trade, 85771.000, 159, S13, B00, 1
B00, Trade, 85780.538, 156, S13, B00, 1
B00, Trade, 85797.231, 155, B00, S12, 1
B00, Trade, 85825.404, 154, S11, B00, 1
B00, Trade, 85841.827, 157, B00, S05, 1
B00, Trade, 85844.846, 160, S20, B00, 1
B00, Trade, 85866.058, 156, B00, S23, 1
B00, Trade, 85871.173, 152, S12, B00, 1
B00, Trade, 85878.885, 157, B00, S16, 1
B00, Trade, 85888.423, 156, S19, B00, 1
B00, Trade, 85901.346, 153, B00, S16, 1
B00, Trade, 85913.558, 150, B00, S10, 1
B00, Trade, 85924.692, 151, B00, S09, 1
B00, Trade, 85933.788, 156, B00, S24, 1
B00, Trade, 85953.577, 155, S19, B00, 1
B00, Trade, 85961.192, 154, B00, S08, 1
B00, Trade, 85969.865, 155, B00, S09, 1
B00, Trade, 85979.942, 156, S11, B00, 1
B00, Trade, 85991.404, 152, B00, S21, 1
B00, Trade, 86000.673, 158, S17, B00, 1
B00, Trade, 86010.500, 150, B00, S12, 1
B00, Trade, 86023.327, 156, B00, S21, 1
B00, Trade, 86031.250, 156, S04, B00, 1
B00, Trade, 86048.885, 153, B00, S13, 1
B00, Trade, 86061.019, 157, S23, B00, 1
B00, Trade, 86069.154, 149, B00, S05, 1
B00, Trade, 86088.038, 151, B00, S19, 1
B00, Trade, 86106.250, 159, S03, B00, 1
B00, Trade, 86121.538, 155, B00, S13, 1
B00, Trade, 86126.750, 154, S16, B00, 1
B00, Trade, 86135.346, 152, B00, S13, 1
B00, Trade, 86150.615, 153, B00, S13, 1
B00, Trade, 86180.596, 154, S12, B00, 1
B00, Trade, 86190.596, 156, B00, S09, 1
B00, Trade, 86193.885, 161, S22, B00, 1
B00, Trade, 86219.346, 155, S07, B00, 1
B00, Trade, 86233.423, 157, S09, B00, 1
B00, Trade, 86237.577, 152, B00, S07, 1
B00, Trade, 86253.865, 154, B00, S24, 1
B00, Trade, 86256.942, 164, S21, B00, 1
B00, Trade, 86268.846, 157, B00, S17, 1
B00, Trade, 86291.038, 153, S08, B00, 1
B00, Trade, 86317.615, 155, B00, S21, 1
B00, Trade, 86319.558, 155, S04, B00, 1
B00, Trade, 86334.885, 150, B00, S12, 1
B00, Trade, 86343.942, 150, B00, S24, 1
B00, Trade, 86355.442, 157, B00, S00, 1
B00, Trade, 86379.327, 149, B00, S08, 1
B01, 100
B01, Trade, 84902.788, 152, B01, S11, 1
B01, Trade, 84917.692, 147, B01, S01, 1
B01, Trade, 84923.827, 151, S00, B01, 1
B01, Trade, 84940.346, 159, S03, B01, 1
B01, Trade, 84946.558, 158, S10, B01, 1
B01, Trade, 84966.769, 152, B01, S16, 1
B01, Trade, 84996.154, 159, S11, B01, 1
B01, Trade, 85010.942, 155, S22, B01, 1
B01, Trade, 85022.519, 156, B01, P01, 1
B01, Trade, 85030.788, 162, S00, B01, 1
B01, Trade, 85052.808, 159, P00, B01, 1
B01, Trade, 85090.154, 148, B01, S21, 1
B01, Trade, 85101.308, 155, S04, B01, 1
B01, Trade, 85112.365, 164, B01, S09, 1
B01, Trade, 85132.385, 153, B01, S12, 1
B01, Trade, 85144.942, 156, S21, B01, 1
B01, Trade, 85184.038, 157, B01, S06, 1
B01, Trade, 85199.231, 162, S01, B01, 1
B01, Trade, 85215.000, 155, S05, B01, 1
B01, Trade, 85233.615, 150, B01, S06, 1
B01, Trade, 85244.058, 157, S08, B01, 1
B01, Trade, 85265.788, 160, S11, B01, 1
B01, Trade, 85279.000, 154, B01, S11, 1
B01, Trade, 85289.942, 158, S11, B01, 1
B01, Trade, 85322.788, 153, B01, S20, 1
