B00, 100
B00, Trade, 83766.923, 166, B00, S16, 1
B00, Trade, 83776.519, 163, S14, B00, 1
B00, Trade, 83799.712, 164, S07, B00, 1
B00, Trade, 83820.673, 160, B00, S13, 1
B00, Trade, 83835.308, 162, S12, B00, 1
B00, Trade, 83850.558, 163, S09, B00, 1
B00, Trade, 83854.942, 158, S10, B00, 1
B00, Trade, 83867.519, 165, S07, B00, 1
B00, Trade, 83877.731, 164, B00, S01, 1
B00, Trade, 83906.769, 157, S20, B00, 1
B00, Trade, 83929.654, 166, S07, B00, 1
B00, Trade, 83944.346, 162, B00, S19, 1
B00, Trade, 84032.365, 157, B00, S02, 1
B00, Trade, 84064.038, 164, S15, B00, 1
B00, Trade, 84083.962, 156, S06, B00, 1
B00, Trade, 84092.096, 162, S08, B00, 1
B00, Trade, 84107.923, 160, S23, B00, 1
B00, Trade, 84159.846, 156, P01, B00, 1
B00, Trade, 84173.135, 157, S16, B00, 1
B00, Trade, 84259.750, 156, P01, B00, 1
B00, Trade, 84341.077, 154, S08, B00, 1
B00, Trade, 84350.423, 156, S13, B00, 1
B00, Trade, 84357.538, 163, S03, B00, 1
B00, Trade, 84361.923, 165, S23, B00, 1
B00, Trade, 84411.654, 157, S15, B00, 1
B00, Trade, 84437.673, 159, S03, B00, 1
B00, Trade, 84443.000, 159, S07, B00, 1
B00, Trade, 84459.212, 154, S10, B00, 1
B00, Trade, 84499.423, 165, S21, B00, 1
B00, Trade, 84504.442, 160, S09, B00, 1
B00, Trade, 84517.904, 159, S12, B00, 1
B00, Trade, 84522.115, 164, S16, B00, 1
B00, Trade, 84544.212, 160, S21, B00, 1
B00, Trade, 84574.346, 161, S20, B00, 1
B00, Trade, 84612.250, 159, S19, B00, 1
B00, Trade, 84670.481, 158, S05, B00, 1
B00, Trade, 84680.365, 165, S15, B00, 1
B00, Trade, 84720.500, 153, S09, B00, 1
B00, Trade, 84736.808, 150, S02, B00, 1
B00, Trade, 84740.385, 161, S03, B00, 1
B00, Trade, 84746.577, 160, S12, B00, 1
B00, Trade, 84766.269, 158, S03, B00, 1
B00, Trade, 84775.750, 159, S16, B00, 1
B00, Trade, 84799.019, 157, B00, S17, 1
B00, Trade, 84850.750, 154, S00, B00, 1
B00, Trade, 84910.962, 157, S08, B00, 1
B00, Trade, 84941.654, 156, B00, S13, 1
B00, Trade, 84958.115, 163, S12, B00, 1
B00, Trade, 84971.250, 156, S06, B00, 1
B00, Trade, 85051.192, 161, S06, B00, 1
B00, Trade, 85066.327, 154, S10, B00, 1
B00, Trade, 85078.288, 151, B00, S11, 1
B00, Trade, 85122.192, 155, S05, B00, 1
B00, Trade, 85147.750, 155, B00, S06, 1
B00, Trade, 85178.077, 165, S05, B00, 1
B00, Trade, 85195.712, 156, B00, S13, 1
B00, Trade, 85199.154, 156, B00, S11, 1
B00, Trade, 85248.788, 148, B00, P01, 1
B00, Trade, 85259.885, 160, S05, B00, 1
B00, Trade, 85273.654, 151, S10, B00, 1
B00, Trade, 85301.673, 154, S16, B00, 1
B00, Trade, 85328.481, 152, S09, B00, 1
B00, Trade, 85353.212, 155, B00, S06, 1
B00, Trade, 85361.135, 160, P01, B00, 1
B00, Trade, 85381.692, 155, S03, B00, 1
B00, Trade, 85402.577, 158, S19, B00, 1
B00, Trade, 85422.577, 152, S06, B00, 1
B00, Trade, 85446.846, 153, S24, B00, 1
B00, Trade, 85481.038, 158, S03, B00, 1
B00, Trade, 85491.173, 151, B00, S16, 1
B00, Trade, 85496.750, 149, S07, B00, 1
B00, Trade, 85521.115, 152, S07, B00, 1
B00, Trade, 85551.442, 155, S12, B00, 1
B00, Trade, 85573.750, 154, B00, S03, 1
B00, Trade, 85593.596, 154, S16, B00, 1
B00, Trade, 85614.346, 172, S12, B00, 1
B00, Trade, 85655.962, 152, B00, S23, 1
B00, Trade, 85742.423, 157, B00, S16, 1
B00, Trade, 85772.577, 153, S21, B00, 1
B00, Trade, 85777.212, 162, S16, B00, 1
B00, Trade, 85794.231, 151, B00, S23, 1
B00, Trade, 85805.000, 151, P01, B00, 1
B00, Trade, 85834.231, 158, S03, B00, 1
B00, Trade, 85868.577, 155, S03, B00, 1
B00, Trade, 85886.308, 153, S01, B00, 1
B00, Trade, 85897.731, 152, B00, S12, 1
B00, Trade, 85909.692, 155, S14, B00, 1
B00, Trade, 85937.481, 163, P01, B00, 1
B00, Trade, 85954.538, 156, S06, B00, 1
B00, Trade, 85970.500, 153, B00, S10, 1
B00, Trade, 86050.154, 156, S22, B00, 1
B00, Trade, 86073.212, 161, S06, B00, 1
B00, Trade, 86139.923, 158, S04, B00, 1
B00, Trade, 86193.077, 157, B00, S19, 1
B00, Trade, 86212.827, 157, B00, S10, 1
B00, Trade, 86259.558, 150, S13, B00, 1
B00, Trade, 86327.096, 161, S14, B00, 1
B00, Trade, 86358.231, 153, S02, B00, 1
B00, Trade, 86388.654, 157, S00, B00, 1
B00, Trade, 86397.462, 154, B00, S05, 1
B01, 100
B01, Trade, 85011.481, 163, S07, B01, 1
B01, Trade, 85019.788, 154, B01, S04, 1
B01, Trade, 85029.731, 151, B01, S24, 1
B01, Trade, 85033.442, 158, S22, B01, 1
B01, Trade, 85054.923, 161, S19, B01, 1
B01, Trade, 85067.212, 152, B01, S03, 1
B01, Trade, 85082.058, 156, B01, S24, 1
B01, Trade, 85101.173, 153, B01, S11, 1
B01, Trade, 85116.058, 157, S23, B01, 1
B01, Trade, 85138.404, 162, S07, B01, 1
B01, Trade, 85151.269, 155, B01, S11, 1
B01, Trade, 85169.769, 154, S17, B01, 1
B01, Trade, 85184.135, 156, S24, B01, 1
B01, Trade, 85206.288, 149, B01, S01, 1
B01, Trade, 85211.231, 153, S08, B01, 1
B01, Trade, 85217.462, 157, B01, S14, 1
B01, Trade, 85232.365, 155, B01, S07, 1
B01, Trade, 85238.558, 160, S15, B01, 1
B01, Trade, 85255.712, 153, B01, S13, 1
B01, Trade, 85259.019, 150, S08, B01, 1
B01, Trade, 85265.904, 160, S10, B01, 1
B01, Trade, 85276.654, 150, S00, B01, 1
B01, Trade, 85284.673, 155, S09, B01, 1
B01, Trade, 85315.731, 149, B01, S01, 1
B01, Trade, 85326.308, 149, B01, S19, 1
B01, Trade, 85344.827, 160, S14, B01, 1
B01, Trade, 85358.231, 160, B01, S07, 1
B01, Trade, 85375.577, 156, S01, B01, 1
B01, Trade, 85393.750, 151, B01, S16, 1
B01, Trade, 85400.154, 162, S13, B01, 1
B01, Trade, 85410.673, 157, S12, B01, 1
B01, Trade, 85426.904, 152, S19, B01, 1
B01, Trade, 85440.192, 159, S10, B01, 1
B01, Trade, 85455.096, 155, B01, S24, 1
B01, Trade, 85463.154, 158, B01, S12, 1
B01, Trade, 85493.577, 146, S01, B01, 1
B01, Trade, 85504.750, 155, B01, S00, 1
B01, Trade, 85517.096, 156, B01, S08, 1
B01, Trade, 85529.192, 151, S10, B01, 1
B01, Trade, 85542.577, 153, P01, B01, 1
