B00, 100
B00, Trade, 85138.481, 106, B00, S07, 1
B00, Trade, 85149.500, 104, B00, S13, 1
B00, Trade, 85167.923, 107, B00, S12, 1
B00, Trade, 85177.346, 105, B00, S08, 1
B00, Trade, 85187.365, 103, S18, B00, 1
B00, Trade, 85199.115, 105, S19, B00, 1
B00, Trade, 85203.673, 108, B00, S24, 1
B00, Trade, 85213.135, 102, S22, B00, 1
B00, Trade, 85233.519, 104, S17, B00, 1
B00, Trade, 85250.923, 108, S18, B00, 1
B00, Trade, 85255.731, 105, B00, S17, 1
B00, Trade, 85272.942, 106, S19, B00, 1
B00, Trade, 85277.558, 101, B00, S02, 1
B00, Trade, 85299.923, 108, B00, S04, 1
B00, Trade, 85307.231, 102, S05, B00, 1
B00, Trade, 85320.481, 110, B00, S24, 1
B00, Trade, 85329.788, 108, B00, S20, 1
B00, Trade, 85336.962, 110, B00, S18, 1
B00, Trade, 85358.962, 110, S24, B00, 1
B00, Trade, 85368.481, 105, B00, S06, 1
B00, Trade, 85384.173, 113, S09, B00, 1
B00, Trade, 85390.365, 106, B00, S00, 1
B00, Trade, 85399.750, 109, B00, S10, 1
B00, Trade, 85411.981, 110, B00, S20, 1
B00, Trade, 85424.231, 106, B00, S20, 1
B00, Trade, 85430.635, 103, B00, S14, 1
B00, Trade, 85438.885, 110, B00, S19, 1
B00, Trade, 85452.308, 105, B00, S19, 1
B00, Trade, 85471.635, 108, B00, S14, 1
B00, Trade, 85475.904, 102, B00, S08, 1
B00, Trade, 85495.769, 102, B00, S18, 1
B00, Trade, 85506.635, 105, S15, B00, 1
B00, Trade, 85522.865, 110, B00, S01, 1
B00, Trade, 85528.865, 105, B00, S02, 1
B00, Trade, 85547.269, 104, B00, S23, 1
B00, Trade, 85572.673, 103, B00, S19, 1
B00, Trade, 85588.923, 109, B00, S08, 1
B00, Trade, 85597.423, 108, B00, S08, 1
B00, Trade, 85605.885, 106, B00, S10, 1
B00, Trade, 85620.712, 109, B00, S06, 1
B00, Trade, 85623.269, 110, B00, S14, 1
B00, Trade, 85651.288, 110, S19, B00, 1
B00, Trade, 85661.904, 110, B00, S08, 1
B00, Trade, 85669.865, 111, B00, S19, 1
B00, Trade, 85680.058, 108, B00, S02, 1
B00, Trade, 85687.750, 113, B00, S09, 1
B00, Trade, 85701.212, 109, B00, S14, 1
B00, Trade, 85723.462, 104, B00, S19, 1
B00, Trade, 85726.808, 110, B00, S00, 1
B00, Trade, 85735.481, 109, B00, S04, 1
B00, Trade, 85750.173, 105, S22, B00, 1
B00, Trade, 85758.288, 110, B00, S02, 1
B00, Trade, 85768.462, 105, B00, S08, 1
B00, Trade, 85775.885, 106, B00, S08, 1
B00, Trade, 85790.865, 104, S15, B00, 1
B00, Trade, 85796.538, 105, B00, S11, 1
B00, Trade, 85817.442, 102, B00, S08, 1
B00, Trade, 85838.019, 101, B00, S20, 1
B00, Trade, 85851.865, 92, B00, S08, 1
B00, Trade, 85875.058, 91, B00, S04, 1
B00, Trade, 85882.865, 99, B00, S14, 1
B00, Trade, 85892.308, 101, P01, B00, 1
B00, Trade, 85900.558, 101, B00, S13, 1
B00, Trade, 85915.731, 93, B00, S02, 1
B00, Trade, 85918.442, 103, B00, S05, 1
B00, Trade, 85939.923, 101, B00, S08, 1
B00, Trade, 85946.558, 100, B00, S04, 1
B00, Trade, 85965.827, 93, B00, S06, 1
B00, Trade, 85979.692, 106, B00, S03, 1
B00, Trade, 85995.077, 109, S19, B00, 1
B00, Trade, 86015.750, 95, S18, B00, 1
B00, Trade, 86031.750, 104, S13, B00, 1
B00, Trade, 86043.365, 102, B00, S01, 1
B00, Trade, 86061.462, 95, B00, S02, 1
B00, Trade, 86069.442, 95, B00, S01, 1
B00, Trade, 86088.385, 98, B00, S21, 1
B00, Trade, 86095.981, 95, B00, S10, 1
B00, Trade, 86102.615, 97, B00, S24, 1
B00, Trade, 86109.135, 98, B00, S01, 1
B00, Trade, 86133.481, 99, B00, S13, 1
B00, Trade, 86166.212, 102, S15, B00, 1
B00, Trade, 86180.000, 98, S22, B00, 1
B00, Trade, 86205.327, 94, B00, S01, 1
B00, Trade, 86213.038, 94, B00, S13, 1
B00, Trade, 86223.462, 100, S22, B00, 1
B00, Trade, 86233.615, 99, B00, S03, 1
B00, Trade, 86241.385, 102, B00, S24, 1
B00, Trade, 86253.192, 96, B00, S01, 1
B00, Trade, 86259.365, 101, B00, S16, 1
B00, Trade, 86283.577, 98, B00, S23, 1
B00, Trade, 86287.635, 105, B00, S21, 1
B00, Trade, 86298.654, 104, B00, S04, 1
B00, Trade, 86315.192, 100, B00, S04, 1
B00, Trade, 86321.519, 96, B00, S12, 1
B00, Trade, 86327.808, 102, B00, S20, 1
B00, Trade, 86345.462, 98, B00, S20, 1
B00, Trade, 86363.154, 99, B00, S08, 1
B00, Trade, 86376.865, 103, S22, B00, 1
B00, Trade, 86383.000, 100, B00, S24, 1
B00, Trade, 86391.212, 100, B00, S02, 1
B01, 100
B01, Trade, 85196.250, 105, B01, S06, 1
B01, Trade, 85203.712, 109, S05, B01, 1
B01, Trade, 85223.212, 102, B01, S12, 1
B01, Trade, 85232.038, 104, B01, S07, 1
B01, Trade, 85250.442, 108, B01, S00, 1
B01, Trade, 85274.615, 101, B01, S00, 1
B01, Trade, 85293.942, 113, B01, S15, 1
B01, Trade, 85301.481, 102, B01, S19, 1
B01, Trade, 85312.212, 109, B01, S17, 1
B01, Trade, 85317.038, 111, B01, S02, 1
B01, Trade, 85337.231, 110, B01, S02, 1
B01, Trade, 85355.769, 109, B01, S01, 1
B01, Trade, 85364.385, 110, B01, S20, 1
B01, Trade, 85382.462, 109, B01, S20, 1
B01, Trade, 85384.981, 111, B01, S08, 1
B01, Trade, 85403.288, 108, B01, S23, 1
B01, Trade, 85409.154, 113, B01, S19, 1
B01, Trade, 85416.692, 106, B01, S17, 1
B01, Trade, 85432.481, 103, B01, S12, 1
B01, Trade, 85438.404, 109, S04, B01, 1
B01, Trade, 85450.404, 111, S02, B01, 1
B01, Trade, 85452.692, 104, B01, S17, 1
B01, Trade, 85472.058, 107, B01, S08, 1
B01, Trade, 85477.904, 105, B01, S06, 1
B01, Trade, 85489.250, 112, S17, B01, 1
B01, Trade, 85503.788, 102, B01, S08, 1
B01, Trade, 85513.846, 105, B01, S08, 1
B01, Trade, 85523.635, 109, B01, S20, 1
B01, Trade, 85539.365, 113, B01, S17, 1
B01, Trade, 85545.788, 105, B01, S20, 1
B01, Trade, 85561.212, 109, B01, S05, 1
B01, Trade, 85571.442, 106, B01, S11, 1
B01, Trade, 85579.788, 107, B01, S18, 1
B01, Trade, 85590.731, 107, B01, S10, 1
B01, Trade, 85596.962, 108, B01, S02, 1
B01, Trade, 85602.923, 101, B01, S05, 1
B01, Trade, 85621.442, 107, B01, S24, 1
B01, Trade, 85632.788, 109, B01, S07, 1
B01, Trade, 85634.058, 106, B01, S24, 1
B01, Trade, 85649.538, 107, B01, S21, 1
B01, Trade, 85659.404, 112, B01, S22, 1
B01, Trade, 85674.038, 109, B01, S12, 1
B01, Trade, 85695.596, 109, B01, S08, 1
B01, Trade, 85701.192, 109, B01, S18, 1
B01, Trade, 85704.615, 106, B01, S20, 1
B01, Trade, 85720.962, 103, B01, S08, 1
B01, Trade, 85731.385, 105, B01, S02, 1
B01, Trade, 85743.615, 108, S11, B01, 1
B01, Trade, 85746.500, 108, P01, B01, 1
B01, Trade, 85760.731, 103, B01, S04, 1
B01, Trade, 85777.769, 107, B01, S02, 1
B01, Trade, 85795.404, 105, B01, S20, 1
B01, Trade, 85803.423, 105, B01, S21, 1
B01, Trade, 85814.904, 101, B01, S15, 1
B01, Trade, 85830.538, 103, B01, S24, 1
B01, Trade, 85839.615, 102, B01, S13, 1
B01, Trade, 85853.404, 92, B01, S16, 1
B01, Trade, 85864.442, 102, B01, S07, 1
B01, Trade, 85883.673, 103, S17, B01, 1
B01, Trade, 85890.577, 101, B01, S12, 1
B01, Trade, 85895.731, 99, B01, S03, 1
B01, Trade, 85912.827, 99, B01, S06, 1
B01, Trade, 85922.808, 105, B01, S24, 1
B01, Trade, 85933.654, 96, B01, S12, 1
B01, Trade, 85934.981, 99, S00, B01, 1
B01, Trade, 85948.346, 95, B01, S12, 1
B01, Trade, 85962.096, 99, S21, B01, 1
B01, Trade, 85976.173, 107, B01, S01, 1
B01, Trade, 85984.096, 107, S18, B01, 1
B01, Trade, 85993.962, 106, B01, S12, 1
B01, Trade, 86002.154, 102, S16, B01, 1
B01, Trade, 86011.481, 98, B01, S08, 1
B01, Trade, 86017.673, 93, B01, S03, 1
B01, Trade, 86033.712, 102, B01, S15, 1
B01, Trade, 86057.865, 103, B01, S10, 1
B01, Trade, 86069.885, 95, B01, S08, 1
B01, Trade, 86075.865, 95, B01, S15, 1
B01, Trade, 86086.288, 101, B01, S00, 1
B01, Trade, 86102.596, 99, S22, B01, 1
B01, Trade, 86119.788, 98, B01, S13, 1
B01, Trade, 86132.231, 95, B01, S04, 1
B01, Trade, 86142.365, 103, B01, S17, 1
B01, Trade, 86149.308, 96, B01, S12, 1
B01, Trade, 86166.308, 101, B01, S19, 1
B01, Trade, 86178.673, 95, B01, S08, 1
B01, Trade, 86183.731, 99, S07, B01, 1
B01, Trade, 86203.808, 95, B01, S20, 1
B01, Trade, 86224.404, 102, B01, S00, 1
B01, Trade, 86231.462, 98, S17, B01, 1
B01, Trade, 86254.500, 91, B01, S02, 1
B01, Trade, 86272.500, 105, B01, S17, 1
B01, Trade, 86277.692, 93, B01, S14, 1
B01, Trade, 86289.385, 106, S04, B01, 1
B01, Trade, 86308.788, 96, B01, S12, 1
B01, Trade, 86316.442, 99, B01, S20, 1
B01, Trade, 86341.212, 99, S06, B01, 1
B01, Trade, 86355.096, 104, B01, S11, 1
B01, Trade, 86356.404, 102, B01, S18, 1
B01, Trade, 86379.712, 100, B01, S09, 1
B01, Trade, 86398.269, 93, B01, S03, 1
B02, 100
B02, Trade, 85222.346, 104, S08, B02, 1
B02, Trade, 85244.327, 103, B02, S17, 1
B02, Trade, 85260.942, 108, B02, S15, 1
B02, Trade, 85262.212, 109, S22, B02, 1
B02, Trade, 85280.615, 103, S14, B02, 1
B02, Trade, 85284.423, 108, S00, B02, 1
B02, Trade, 85292.846, 111, S21, B02, 1
B02, Trade, 85304.077, 109, P01, B02, 1
B02, Trade, 85323.692, 107, S05, B02, 1
B02, Trade, 85326.635, 108, S24, B02, 1
B02, Trade, 85335.019, 105, S15, B02, 1
B02, Trade, 85346.500, 100, S09, B02, 1
B02, Trade, 85366.250, 107, S17, B02, 1
B02, Trade, 85376.135, 112, P01, B02, 1
B02, Trade, 85392.308, 103, B02, S15, 1
B02, Trade, 85405.096, 112, B02, S20, 1
B02, Trade, 85414.077, 109, B02, S00, 1
B02, Trade, 85421.385, 115, S24, B02, 1
B02, Trade, 85430.077, 105, S05, B02, 1
B02, Trade, 85448.365, 108, S01, B02, 1
B02, Trade, 85457.750, 114, S04, B02, 1
B02, Trade, 85467.923, 109, S11, B02, 1
B02, Trade, 85483.827, 106, B02, S02, 1
B02, Trade, 85495.327, 104, B02, S22, 1
B02, Trade, 85503.750, 108, P01, B02, 1
B02, Trade, 85511.423, 107, B02, S14, 1
B02, Trade, 85515.788, 106, P01, B02, 1
B02, Trade, 85527.731, 108, P01, B02, 1
B02, Trade, 85541.173, 114, S12, B02, 1
B02, Trade, 85547.096, 106, S14, B02, 1
B02, Trade, 85564.615, 107, B02, S24, 1
B02, Trade, 85574.423, 107, P01, B02, 1
B02, Trade, 85584.288, 109, S12, B02, 1
B02, Trade, 85603.404, 106, S23, B02, 1
B02, Trade, 85610.808, 105, B02, S20, 1
B02, Trade, 85625.212, 108, S22, B02, 1
B02, Trade, 85645.135, 105, B02, S01, 1
