B00, 100
B00, Trade, 84993.000, 130, B00, S08, 1
B00, Trade, 85010.269, 132, B00, S17, 1
B00, Trade, 85017.038, 133, S07, B00, 1
B00, Trade, 85032.500, 128, B00, S24, 1
B00, Trade, 85036.096, 126, B00, S08, 1
B00, Trade, 85058.558, 125, P01, B00, 1
B00, Trade, 85067.212, 134, S08, B00, 1
B00, Trade, 85076.212, 127, B00, S17, 1
B00, Trade, 85099.673, 133, S16, B00, 1
B00, Trade, 85110.923, 132, S00, B00, 1
B00, Trade, 85127.365, 131, S16, B00, 1
B00, Trade, 85143.404, 130, B00, S12, 1
B00, Trade, 85150.865, 129, B00, S10, 1
B00, Trade, 85164.019, 128, B00, S08, 1
B00, Trade, 85177.577, 130, S13, B00, 1
B00, Trade, 85200.231, 128, B00, S08, 1
B00, Trade, 85205.404, 133, B00, S12, 1
B00, Trade, 85216.885, 127, S17, B00, 1
B00, Trade, 85239.712, 126, B00, S12, 1
B00, Trade, 85241.577, 128, S18, B00, 1
B00, Trade, 85249.904, 136, S05, B00, 1
B00, Trade, 85285.538, 130, B00, S21, 1
B00, Trade, 85301.288, 132, B00, S12, 1
B00, Trade, 85310.038, 125, B00, S08, 1
B00, Trade, 85318.038, 126, B00, S20, 1
B00, Trade, 85330.212, 131, P01, B00, 1
B00, Trade, 85350.077, 125, B00, S18, 1
B00, Trade, 85359.596, 129, S00, B00, 1
B00, Trade, 85376.231, 124, B00, S02, 1
B00, Trade, 85400.962, 134, S02, B00, 1
B00, Trade, 85415.500, 139, S07, B00, 1
B00, Trade, 85443.058, 124, B00, S17, 1
B00, Trade, 85450.481, 123, S12, B00, 1
B00, Trade, 85453.692, 129, S10, B00, 1
B00, Trade, 85469.115, 129, B00, S20, 1
B00, Trade, 85479.212, 125, B00, S10, 1
B00, Trade, 85487.212, 125, S04, B00, 1
B00, Trade, 85531.596, 127, B00, S16, 1
B00, Trade, 85535.788, 133, S12, B00, 1
B00, Trade, 85556.635, 128, B00, S20, 1
B00, Trade, 85559.231, 127, S19, B00, 1
B00, Trade, 85582.981, 125, B00, S16, 1
B00, Trade, 85587.365, 131, B00, S08, 1
B00, Trade, 85597.865, 131, B00, S11, 1
B00, Trade, 85618.365, 127, B00, S09, 1
B00, Trade, 85624.192, 133, B00, S10, 1
B00, Trade, 85640.962, 132, S06, B00, 1
B00, Trade, 85659.058, 134, S20, B00, 1
B00, Trade, 85666.885, 127, B00, S09, 1
B00, Trade, 85684.308, 121, B00, S18, 1
B00, Trade, 85694.154, 134, S07, B00, 1
B00, Trade, 85701.135, 127, B00, S06, 1
B00, Trade, 85703.673, 128, S18, B00, 1
B00, Trade, 85718.865, 128, B00, S16, 1
B00, Trade, 85732.712, 130, S13, B00, 1
B00, Trade, 85747.096, 134, P01, B00, 1
B00, Trade, 85762.154, 123, B00, S00, 1
B00, Trade, 85771.769, 123, B00, S18, 1
B00, Trade, 85773.096, 124, S04, B00, 1
B00, Trade, 85787.577, 125, B00, S24, 1
B00, Trade, 85808.538, 121, B00, S01, 1
B00, Trade, 85810.192, 128, S06, B00, 1
B00, Trade, 85822.058, 128, B00, S02, 1
B00, Trade, 85854.231, 128, S12, B00, 1
B00, Trade, 85874.462, 129, S13, B00, 1
B00, Trade, 85898.000, 127, B00, S03, 1
B00, Trade, 85910.385, 132, S18, B00, 1
B00, Trade, 85923.615, 128, B00, S21, 1
B00, Trade, 85933.827, 127, B00, S13, 1
B00, Trade, 85964.846, 125, B00, S19, 1
B00, Trade, 85980.558, 132, S13, B00, 1
B00, Trade, 85988.538, 129, B00, S21, 1
B00, Trade, 86002.846, 126, B00, S09, 1
B00, Trade, 86028.096, 125, B00, S20, 1
B00, Trade, 86039.692, 131, S23, B00, 1
