B00, 100
B00, Trade, 85184.731, 110, S06, B00, 1
B00, Trade, 85192.769, 109, S08, B00, 1
B00, Trade, 85214.192, 106, S03, B00, 1
B00, Trade, 85226.096, 110, S14, B00, 1
B00, Trade, 85234.231, 100, B00, S16, 1
B00, Trade, 85244.596, 110, P00, B00, 1
B00, Trade, 85254.385, 108, S16, B00, 1
B00, Trade, 85277.635, 104, B00, S20, 1
B00, Trade, 85280.173, 105, S11, B00, 1
B00, Trade, 85292.154, 108, S07, B00, 1
B00, Trade, 85295.596, 111, S21, B00, 1
B00, Trade, 85304.327, 103, B00, S14, 1
B00, Trade, 85332.923, 110, P00, B00, 1
B00, Trade, 85352.538, 109, S09, B00, 1
B00, Trade, 85363.712, 112, S05, B00, 1
B00, Trade, 85385.635, 104, S10, B00, 1
B00, Trade, 85398.808, 107, B00, S03, 1
B00, Trade, 85410.288, 107, S14, B00, 1
B00, Trade, 85421.500, 102, S10, B00, 1
B00, Trade, 85434.827, 106, S11, B00, 1
B00, Trade, 85436.115, 109, S12, B00, 1
B00, Trade, 85445.885, 110, S06, B00, 1
B00, Trade, 85466.135, 101, S24, B00, 1
B00, Trade, 85469.308, 108, B00, S19, 1
B00, Trade, 85483.442, 107, B00, S18, 1
B00, Trade, 85492.808, 107, S07, B00, 1
B00, Trade, 85501.135, 109, S22, B00, 1
B00, Trade, 85516.231, 101, B00, S02, 1
B00, Trade, 85518.481, 111, S21, B00, 1
B00, Trade, 85529.692, 108, S01, B00, 1
B00, Trade, 85538.365, 109, B00, S13, 1
B00, Trade, 85566.231, 109, B00, S03, 1
B00, Trade, 85569.731, 114, S08, B00, 1
B00, Trade, 85575.058, 107, S04, B00, 1
B00, Trade, 85591.865, 111, S18, B00, 1
B00, Trade, 85601.615, 110, B00, S06, 1
B00, Trade, 85621.385, 108, S02, B00, 1
B00, Trade, 85630.500, 109, S14, B00, 1
B00, Trade, 85645.712, 111, B00, S05, 1
B00, Trade, 85658.346, 107, S00, B00, 1
B00, Trade, 85673.462, 111, S01, B00, 1
B00, Trade, 85683.212, 107, S24, B00, 1
B00, Trade, 85692.481, 110, S01, B00, 1
B00, Trade, 85714.731, 112, S15, B00, 1
B00, Trade, 85728.692, 107, S04, B00, 1
B00, Trade, 85734.500, 112, S07, B00, 1
B00, Trade, 85751.596, 108, S12, B00, 1
B00, Trade, 85756.692, 107, S13, B00, 1
B00, Trade, 85767.981, 109, S21, B00, 1
B00, Trade, 85786.750, 106, S12, B00, 1
B00, Trade, 85796.596, 111, S04, B00, 1
B00, Trade, 85814.673, 103, S00, B00, 1
B00, Trade, 85840.154, 106, S21, B00, 1
B00, Trade, 85852.846, 98, S06, B00, 1
B00, Trade, 85858.596, 107, S19, B00, 1
B00, Trade, 85871.942, 103, S19, B00, 1
B00, Trade, 85889.942, 107, S03, B00, 1
B00, Trade, 85895.962, 106, S00, B00, 1
B00, Trade, 85904.019, 102, S06, B00, 1
B00, Trade, 85915.115, 108, S00, B00, 1
B00, Trade, 85932.404, 102, B00, S01, 1
B00, Trade, 85956.827, 101, S15, B00, 1
B00, Trade, 85983.308, 97, S07, B00, 1
B00, Trade, 85985.481, 99, S24, B00, 1
B00, Trade, 85997.000, 104, B00, S01, 1
B00, Trade, 86012.327, 99, S10, B00, 1
B00, Trade, 86020.135, 96, B00, S18, 1
B00, Trade, 86027.077, 105, S07, B00, 1
B00, Trade, 86035.173, 103, B00, S09, 1
B00, Trade, 86047.288, 110, S06, B00, 1
B00, Trade, 86055.019, 105, S01, B00, 1
B00, Trade, 86071.577, 107, S22, B00, 1
B00, Trade, 86080.923, 98, S12, B00, 1
B00, Trade, 86086.019, 102, B00, S08, 1
B00, Trade, 86103.077, 100, S05, B00, 1
