B00, 100
B00, Trade, 84977.000, 108, B00, S05, 1
B00, Trade, 84987.673, 107, S09, B00, 1
B00, Trade, 85019.346, 110, B00, S08, 1
B00, Trade, 85027.019, 115, S00, B00, 1
B00, Trade, 85042.442, 104, B00, S01, 1
B00, Trade, 85068.385, 103, B00, S22, 1
B00, Trade, 85068.904, 108, S13, B00, 1
B00, Trade, 85081.827, 103, B00, S15, 1
B00, Trade, 85092.212, 107, B00, S06, 1
B00, Trade, 85106.077, 101, B00, S02, 1
B00, Trade, 85119.712, 113, S13, B00, 1
B00, Trade, 85135.712, 107, S12, B00, 1
B00, Trade, 85141.654, 112, S00, B00, 1
B00, Trade, 85156.135, 108, B00, S20, 1
B00, Trade, 85170.308, 108, B00, S19, 1
B00, Trade, 85179.442, 106, B00, S01, 1
B00, Trade, 85194.462, 108, B00, S13, 1
B00, Trade, 85201.846, 114, B00, S14, 1
B00, Trade, 85221.038, 108, S02, B00, 1
B00, Trade, 85223.865, 101, B00, S11, 1
B00, Trade, 85246.250, 105, B00, S11, 1
B00, Trade, 85255.769, 105, S19, B00, 1
B00, Trade, 85272.000, 103, P00, B00, 1
B00, Trade, 85290.635, 109, S24, B00, 1
B00, Trade, 85292.673, 111, S23, B00, 1
B00, Trade, 85311.442, 103, B00, S03, 1
B00, Trade, 85320.558, 108, P00, B00, 1
B00, Trade, 85325.115, 110, P00, B00, 1
B00, Trade, 85350.500, 109, B00, S01, 1
B00, Trade, 85366.000, 97, B00, S11, 1
B00, Trade, 85370.942, 101, S18, B00, 1
B00, Trade, 85386.731, 107, B00, S10, 1
B00, Trade, 85388.115, 107, B00, S13, 1
B00, Trade, 85409.000, 103, B00, S03, 1
B00, Trade, 85409.750, 105, S09, B00, 1
B00, Trade, 85420.519, 100, B00, S11, 1
B00, Trade, 85428.135, 106, S10, B00, 1
B00, Trade, 85442.923, 106, S21, B00, 1
B00, Trade, 85466.885, 100, B00, S01, 1
B00, Trade, 85481.673, 106, S03, B00, 1
B00, Trade, 85491.981, 107, S07, B00, 1
B00, Trade, 85502.865, 102, B00, S04, 1
B00, Trade, 85517.346, 101, S17, B00, 1
B00, Trade, 85549.885, 95, B00, S11, 1
B00, Trade, 85560.500, 110, S00, B00, 1
B00, Trade, 85565.846, 103, B00, S24, 1
B00, Trade, 85583.904, 97, B00, S05, 1
B00, Trade, 85602.192, 105, P00, B00, 1
B00, Trade, 85610.846, 104, S05, B00, 1
B00, Trade, 85621.846, 102, B00, S08, 1
B00, Trade, 85647.712, 105, B00, S03, 1
B00, Trade, 85649.635, 107, S18, B00, 1
B00, Trade, 85662.500, 108, S20, B00, 1
B00, Trade, 85709.885, 108, S11, B00, 1
B00, Trade, 85724.808, 103, B00, S07, 1
B00, Trade, 85737.538, 109, S19, B00, 1
B00, Trade, 85771.942, 104, S12, B00, 1
B00, Trade, 85789.077, 103, S10, B00, 1
B00, Trade, 85804.750, 112, S22, B00, 1
B00, Trade, 85822.827, 109, B00, S07, 1
B00, Trade, 85829.500, 109, B00, S11, 1
B00, Trade, 85835.615, 107, S22, B00, 1
B00, Trade, 85880.538, 101, S24, B00, 1
B00, Trade, 85892.192, 106, S18, B00, 1
B00, Trade, 85893.462, 112, B00, S22, 1
B00, Trade, 85911.885, 99, B00, S21, 1
B00, Trade, 85916.000, 101, S11, B00, 1
B00, Trade, 85939.442, 104, B00, S19, 1
B00, Trade, 85943.827, 108, B00, S23, 1
B00, Trade, 85958.135, 100, B00, S24, 1
B00, Trade, 85969.423, 106, B00, S12, 1
B00, Trade, 85970.654, 107, S15, B00, 1
B00, Trade, 85991.596, 103, B00, S24, 1
B00, Trade, 86005.385, 109, S20, B00, 1
B00, Trade, 86013.481, 108, B00, S01, 1
B00, Trade, 86021.000, 108, S16, B00, 1
B00, Trade, 86039.904, 101, B00, S21, 1
B00, Trade, 86043.346, 107, S09, B00, 1
B00, Trade, 86056.577, 112, S10, B00, 1
B00, Trade, 86078.423, 107, S18, B00, 1
B00, Trade, 86095.173, 108, S14, B00, 1
B00, Trade, 86110.942, 103, B00, S07, 1
B00, Trade, 86127.558, 105, B00, S22, 1
B00, Trade, 86149.923, 104, S00, B00, 1
B00, Trade, 86166.769, 101, B00, S05, 1
B00, Trade, 86174.096, 109, S00, B00, 1
B00, Trade, 86189.192, 111, S12, B00, 1
B00, Trade, 86194.962, 104, S05, B00, 1
B00, Trade, 86235.231, 102, B00, S15, 1
B00, Trade, 86253.462, 113, S00, B00, 1
B00, Trade, 86263.654, 104, B00, S05, 1
B00, Trade, 86265.942, 105, S09, B00, 1
B00, Trade, 86294.596, 106, S05, B00, 1
B00, Trade, 86314.942, 100, B00, S03, 1
B00, Trade, 86320.885, 112, S20, B00, 1
B00, Trade, 86337.846, 99, B00, S20, 1
B00, Trade, 86338.692, 101, S00, B00, 1
B00, Trade, 86353.865, 113, S00, B00, 1
B00, Trade, 86369.654, 103, B00, S24, 1
B00, Trade, 86390.154, 113, S12, B00, 1
B01, 100
B01, Trade, 85205.250, 107, B01, S24, 1
B01, Trade, 85223.750, 101, B01, S04, 1
B01, Trade, 85244.558, 98, B01, S14, 1
B01, Trade, 85262.865, 99, B01, S06, 1
B01, Trade, 85266.827, 105, B01, S16, 1
B01, Trade, 85276.038, 101, S15, B01, 1
B01, Trade, 85291.192, 107, B01, S21, 1
B01, Trade, 85293.308, 109, S17, B01, 1
B01, Trade, 85317.654, 105, B01, S11, 1
B01, Trade, 85330.212, 108, B01, S11, 1
B01, Trade, 85340.135, 98, B01, S15, 1
B01, Trade, 85348.808, 110, B01, S20, 1
B01, Trade, 85355.346, 109, B01, S05, 1
B01, Trade, 85370.442, 101, B01, S10, 1
