B00, 100
B00, Trade, 85024.269, 108, B00, S02, 1
B00, Trade, 85038.942, 109, B00, S16, 1
B00, Trade, 85057.250, 109, B00, S11, 1
B00, Trade, 85075.212, 108, S08, B00, 1
B00, Trade, 85085.673, 98, B00, S16, 1
B00, Trade, 85099.269, 107, B00, S02, 1
B00, Trade, 85105.788, 108, B00, S19, 1
B00, Trade, 85119.615, 114, P00, B00, 1
B00, Trade, 85125.269, 100, B00, S04, 1
B00, Trade, 85141.231, 107, B00, S10, 1
B00, Trade, 85154.962, 108, S08, B00, 1
B00, Trade, 85171.654, 105, S23, B00, 1
B00, Trade, 85173.231, 107, S12, B00, 1
B00, Trade, 85194.635, 109, S22, B00, 1
B00, Trade, 85212.481, 111, S09, B00, 1
B00, Trade, 85221.212, 113, S16, B00, 1
B00, Trade, 85237.115, 101, B00, S10, 1
B00, Trade, 85249.712, 109, S22, B00, 1
B00, Trade, 85256.731, 106, B00, S14, 1
B00, Trade, 85281.942, 101, B00, S02, 1
B00, Trade, 85285.654, 102, S12, B00, 1
B00, Trade, 85307.212, 108, B00, S03, 1
B00, Trade, 85310.154, 113, S12, B00, 1
B00, Trade, 85323.942, 110, B00, S04, 1
B00, Trade, 85327.154, 114, S14, B00, 1
B00, Trade, 85337.635, 106, B00, S00, 1
B00, Trade, 85349.692, 112, B00, S16, 1
B00, Trade, 85365.885, 107, S16, B00, 1
B00, Trade, 85383.250, 114, S19, B00, 1
B00, Trade, 85402.231, 111, P00, B00, 1
B00, Trade, 85422.058, 110, B00, S18, 1
B00, Trade, 85448.442, 102, S00, B00, 1
B00, Trade, 85464.827, 102, B00, S23, 1
B00, Trade, 85470.346, 110, S08, B00, 1
B00, Trade, 85483.558, 112, S23, B00, 1
B00, Trade, 85499.173, 104, B00, S05, 1
B00, Trade, 85512.000, 111, S06, B00, 1
B00, Trade, 85526.981, 113, S13, B00, 1
B00, Trade, 85541.712, 107, B00, S01, 1
B00, Trade, 85563.769, 108, S18, B00, 1
B00, Trade, 85564.923, 107, S19, B00, 1
B00, Trade, 85586.212, 102, B00, S15, 1
B00, Trade, 85602.481, 116, S09, B00, 1
B00, Trade, 85611.000, 114, B00, S12, 1
B00, Trade, 85621.308, 106, B00, S03, 1
B00, Trade, 85641.865, 105, B00, S17, 1
B00, Trade, 85652.385, 113, S16, B00, 1
B00, Trade, 85667.135, 106, S24, B00, 1
B00, Trade, 85682.654, 113, S07, B00, 1
B00, Trade, 85692.827, 108, S01, B00, 1
B00, Trade, 85702.442, 104, B00, S01, 1
B00, Trade, 85703.538, 103, P00, B00, 1
B00, Trade, 85717.769, 102, B00, S15, 1
B00, Trade, 85735.423, 114, S00, B00, 1
B00, Trade, 85765.288, 117, S10, B00, 1
B00, Trade, 85776.904, 104, B00, S14, 1
B00, Trade, 85788.500, 109, B00, S14, 1
B00, Trade, 85801.865, 99, B00, S03, 1
B00, Trade, 85805.750, 104, B00, S00, 1
B00, Trade, 85827.692, 102, B00, S24, 1
B00, Trade, 85840.769, 98, B00, S16, 1
B00, Trade, 85849.596, 104, B00, S04, 1
B00, Trade, 85855.558, 107, B00, S19, 1
B00, Trade, 85870.423, 104, S13, B00, 1
B00, Trade, 85886.981, 101, S16, B00, 1
B00, Trade, 85908.173, 104, S22, B00, 1
B00, Trade, 85925.673, 101, S24, B00, 1
B00, Trade, 85945.942, 99, B00, S18, 1
B00, Trade, 85949.673, 100, S13, B00, 1
B00, Trade, 85967.865, 97, S22, B00, 1
B00, Trade, 85983.635, 105, P00, B00, 1
B00, Trade, 85997.038, 99, B00, S10, 1
B00, Trade, 86022.750, 104, S22, B00, 1
B00, Trade, 86031.981, 102, S14, B00, 1
B00, Trade, 86047.038, 95, S06, B00, 1
B00, Trade, 86072.096, 101, S23, B00, 1
B00, Trade, 86104.673, 101, S06, B00, 1
B00, Trade, 86126.096, 92, B00, S17, 1
B00, Trade, 86133.288, 97, S10, B00, 1
B00, Trade, 86141.058, 106, S19, B00, 1
B00, Trade, 86163.731, 95, B00, S15, 1
B00, Trade, 86171.212, 102, S16, B00, 1
B00, Trade, 86184.058, 103, S13, B00, 1
B00, Trade, 86203.750, 92, B00, S10, 1
B00, Trade, 86213.231, 103, B00, S12, 1
B00, Trade, 86221.769, 106, B00, S01, 1
B00, Trade, 86235.500, 105, S06, B00, 1
B00, Trade, 86263.942, 105, S06, B00, 1
B00, Trade, 86276.077, 95, B00, S00, 1
B00, Trade, 86289.423, 97, S04, B00, 1
B00, Trade, 86307.519, 96, B00, S10, 1
B00, Trade, 86310.538, 99, S13, B00, 1
B00, Trade, 86323.058, 99, B00, S09, 1
B00, Trade, 86347.577, 96, B00, S09, 1
B00, Trade, 86351.558, 101, S19, B00, 1
B00, Trade, 86355.885, 102, B00, S08, 1
B00, Trade, 86370.058, 100, B00, S02, 1
B00, Trade, 86376.269, 98, S18, B00, 1
B00, Trade, 86394.250, 99, B00, S10, 1
B00, Trade, 86398.250, 95, B00, S11, 1
B01, 100
B01, Trade, 84130.615, 122, S15, B01, 1
B01, Trade, 84149.135, 119, S09, B01, 1
B01, Trade, 84193.885, 115, S22, B01, 1
B01, Trade, 84221.269, 117, S22, B01, 1
B01, Trade, 84240.115, 114, S06, B01, 1
B01, Trade, 84245.038, 116, B01, S06, 1
B01, Trade, 84273.442, 120, B01, S17, 1
B01, Trade, 84303.904, 113, B01, S15, 1
B01, Trade, 84344.327, 109, S21, B01, 1
B01, Trade, 84420.481, 117, S02, B01, 1
B01, Trade, 84503.712, 127, B01, S02, 1
B01, Trade, 84515.250, 105, S18, B01, 1
B01, Trade, 84533.250, 105, S22, B01, 1
B01, Trade, 84596.154, 110, B01, S04, 1
B01, Trade, 84610.788, 107, B01, S18, 1
B01, Trade, 84626.788, 119, S18, B01, 1
B01, Trade, 84633.942, 108, S13, B01, 1
B01, Trade, 84652.404, 112, P00, B01, 1
B01, Trade, 84672.404, 115, S06, B01, 1
B01, Trade, 84684.173, 115, S02, B01, 1
B01, Trade, 84740.865, 109, P00, B01, 1
B01, Trade, 84746.385, 104, P00, B01, 1
B01, Trade, 84786.865, 108, S19, B01, 1
B01, Trade, 84797.692, 115, S19, B01, 1
B01, Trade, 84809.135, 103, B01, S13, 1
B01, Trade, 84811.750, 106, S12, B01, 1
B01, Trade, 84823.673, 118, S13, B01, 1
B01, Trade, 84835.712, 104, B01, S20, 1
B01, Trade, 84857.135, 115, B01, S05, 1
B01, Trade, 84883.808, 111, P00, B01, 1
B01, Trade, 84885.692, 110, S24, B01, 1
B01, Trade, 84911.346, 110, B01, S00, 1
B01, Trade, 84922.346, 108, S06, B01, 1
B01, Trade, 84939.404, 113, S17, B01, 1
B01, Trade, 84963.904, 107, S12, B01, 1
B01, Trade, 85081.635, 111, S06, B01, 1
B01, Trade, 85089.346, 106, S00, B01, 1
B01, Trade, 85126.827, 103, S14, B01, 1
B01, Trade, 85133.250, 111, B01, S09, 1
B01, Trade, 85144.288, 109, S13, B01, 1
B01, Trade, 85171.577, 104, S08, B01, 1
B01, Trade, 85201.404, 105, S01, B01, 1
B01, Trade, 85210.962, 115, S14, B01, 1
B01, Trade, 85242.365, 101, S08, B01, 1
B01, Trade, 85252.750, 108, S01, B01, 1
B01, Trade, 85274.538, 108, S02, B01, 1
B01, Trade, 85282.462, 108, S17, B01, 1
B01, Trade, 85290.942, 104, S06, B01, 1
B01, Trade, 85300.712, 106, P00, B01, 1
B01, Trade, 85342.692, 108, S16, B01, 1
B01, Trade, 85370.115, 108, S07, B01, 1
B01, Trade, 85392.654, 110, S01, B01, 1
B01, Trade, 85398.154, 114, S19, B01, 1
B01, Trade, 85406.654, 111, S18, B01, 1
B01, Trade, 85448.808, 113, S09, B01, 1
B01, Trade, 85528.712, 107, S16, B01, 1
B01, Trade, 85559.538, 111, S13, B01, 1
B01, Trade, 85571.519, 106, S24, B01, 1
B01, Trade, 85588.981, 107, S24, B01, 1
B01, Trade, 85606.231, 109, P00, B01, 1
B01, Trade, 85619.077, 109, S08, B01, 1
B01, Trade, 85634.173, 109, S24, B01, 1
B01, Trade, 85648.212, 111, S08, B01, 1
B01, Trade, 85672.962, 109, S15, B01, 1
B01, Trade, 85676.981, 123, B01, S10, 1
B01, Trade, 85712.019, 105, S01, B01, 1
B01, Trade, 85723.308, 112, S22, B01, 1
B01, Trade, 85733.365, 114, S14, B01, 1
B01, Trade, 85743.712, 110, S22, B01, 1
B01, Trade, 85758.827, 102, B01, S14, 1
B01, Trade, 85770.904, 108, S13, B01, 1
B01, Trade, 85783.615, 107, B01, S09, 1
B01, Trade, 85789.250, 109, B01, S12, 1
B01, Trade, 85802.865, 103, S13, B01, 1
B01, Trade, 85822.346, 104, S17, B01, 1
B01, Trade, 85836.808, 105, P00, B01, 1
B01, Trade, 85880.635, 96, B01, S24, 1
B01, Trade, 85893.904, 106, S18, B01, 1
B01, Trade, 85908.731, 101, B01, S15, 1
B01, Trade, 85925.192, 99, S16, B01, 1
B01, Trade, 85948.404, 94, B01, S14, 1
B01, Trade, 85990.173, 102, S08, B01, 1
B01, Trade, 86005.750, 104, S18, B01, 1
B01, Trade, 86011.442, 103, S11, B01, 1
B01, Trade, 86053.712, 100, B01, S16, 1
B01, Trade, 86115.885, 102, S00, B01, 1
B01, Trade, 86132.327, 93, S09, B01, 1
B01, Trade, 86140.192, 100, S22, B01, 1
B01, Trade, 86145.808, 100, B01, S16, 1
B01, Trade, 86163.096, 98, S12, B01, 1
B01, Trade, 86208.654, 104, B01, S13, 1
B01, Trade, 86225.712, 108, P00, B01, 1
B01, Trade, 86236.692, 105, B01, S08, 1
B01, Trade, 86244.635, 104, S17, B01, 1
B01, Trade, 86262.769, 98, S08, B01, 1
B01, Trade, 86286.019, 104, S08, B01, 1
B01, Trade, 86309.038, 99, S19, B01, 1
B01, Trade, 86326.058, 101, S00, B01, 1
B01, Trade, 86388.750, 101, S10, B01, 1
B01, Trade, 86398.481, 102, S09, B01, 1
B02, 100
B02, Trade, 85087.577, 104, S13, B02, 1
B02, Trade, 85098.808, 102, B02, S14, 1
B02, Trade, 85115.096, 103, B02, S10, 1
B02, Trade, 85117.596, 111, S12, B02, 1
B02, Trade, 85122.846, 99, B02, S23, 1
B02, Trade, 85136.596, 104, B02, S03, 1
B02, Trade, 85153.269, 108, B02, S19, 1
B02, Trade, 85163.231, 97, B02, S18, 1
B02, Trade, 85175.942, 109, P00, B02, 1
B02, Trade, 85200.250, 104, B02, S17, 1
B02, Trade, 85212.808, 114, S05, B02, 1
B02, Trade, 85222.750, 104, B02, S15, 1
B02, Trade, 85247.462, 114, S11, B02, 1
B02, Trade, 85264.596, 104, S19, B02, 1
B02, Trade, 85278.423, 112, P00, B02, 1
B02, Trade, 85295.923, 102, B02, S00, 1
B02, Trade, 85303.135, 111, S11, B02, 1
B02, Trade, 85314.096, 109, S09, B02, 1
B02, Trade, 85329.115, 112, B02, S01, 1
B02, Trade, 85346.077, 105, B02, S09, 1
B02, Trade, 85360.846, 109, B02, S11, 1
B02, Trade, 85370.635, 110, S08, B02, 1
B02, Trade, 85386.308, 111, B02, S09, 1
B02, Trade, 85389.365, 111, B02, S02, 1
B02, Trade, 85395.000, 110, S23, B02, 1
B02, Trade, 85412.442, 106, B02, S20, 1
B02, Trade, 85422.596, 109, B02, S10, 1
B02, Trade, 85437.962, 107, B02, S22, 1
B02, Trade, 85442.346, 108, S01, B02, 1
B02, Trade, 85446.019, 113, S02, B02, 1
B02, Trade, 85470.615, 102, B02, S00, 1
B02, Trade, 85481.635, 112, S05, B02, 1
B02, Trade, 85485.731, 106, B02, S15, 1
B02, Trade, 85498.096, 102, B02, S15, 1
B02, Trade, 85503.942, 101, S19, B02, 1
B02, Trade, 85514.865, 109, S05, B02, 1
B02, Trade, 85529.423, 101, B02, S15, 1
B02, Trade, 85534.308, 107, P00, B02, 1
B02, Trade, 85554.538, 112, S06, B02, 1
B02, Trade, 85575.346, 110, S23, B02, 1
B02, Trade, 85592.308, 102, B02, S06, 1
B02, Trade, 85606.462, 108, B02, S23, 1
B02, Trade, 85629.308, 112, S22, B02, 1
B02, Trade, 85639.192, 106, B02, S07, 1
B02, Trade, 85652.096, 107, B02, S04, 1
B02, Trade, 85667.250, 105, B02, S18, 1
B02, Trade, 85684.365, 108, B02, S19, 1
B02, Trade, 85693.115, 104, B02, S03, 1
B02, Trade, 85707.096, 107, S14, B02, 1
B02, Trade, 85725.769, 105, B02, S11, 1
B02, Trade, 85726.558, 107, S22, B02, 1
B02, Trade, 85745.058, 110, P00, B02, 1
B02, Trade, 85762.404, 109, S16, B02, 1
B02, Trade, 85782.615, 110, S09, B02, 1
B02, Trade, 85789.500, 105, B02, S17, 1
B02, Trade, 85798.077, 101, S19, B02, 1
B02, Trade, 85807.212, 99, B02, S04, 1
B02, Trade, 85850.558, 109, S12, B02, 1
B02, Trade, 85859.250, 107, B02, S13, 1
B02, Trade, 85875.019, 102, B02, S19, 1
B02, Trade, 85883.769, 98, S13, B02, 1
B02, Trade, 85900.904, 101, B02, S02, 1
B02, Trade, 85915.654, 106, S09, B02, 1
B02, Trade, 85921.308, 104, S07, B02, 1
B02, Trade, 85929.288, 93, B02, S24, 1
B02, Trade, 85942.673, 98, B02, S18, 1
B02, Trade, 85952.827, 98, B02, S00, 1
B02, Trade, 85958.404, 103, B02, S11, 1
B02, Trade, 85973.962, 101, S07, B02, 1
B02, Trade, 85983.423, 101, B02, S01, 1
B02, Trade, 85994.538, 96, B02, S04, 1
