B00, 100
B00, Trade, 85149.731, 114, S13, B00, 1
B00, Trade, 85151.904, 114, S16, B00, 1
B00, Trade, 85164.231, 111, B00, S21, 1
B00, Trade, 85174.000, 106, S13, B00, 1
B00, Trade, 85183.481, 107, S16, B00, 1
B00, Trade, 85193.212, 110, S24, B00, 1
B00, Trade, 85211.635, 112, S17, B00, 1
B00, Trade, 85219.654, 107, B00, S05, 1
B00, Trade, 85225.885, 112, S03, B00, 1
B00, Trade, 85251.596, 108, S12, B00, 1
B00, Trade, 85282.308, 114, S20, B00, 1
B00, Trade, 85299.962, 106, S16, B00, 1
B00, Trade, 85312.212, 110, B00, S01, 1
B00, Trade, 85339.731, 103, B00, S16, 1
B00, Trade, 85351.308, 107, S16, B00, 1
B00, Trade, 85361.750, 102, P00, B00, 1
B00, Trade, 85363.635, 108, S10, B00, 1
B00, Trade, 85376.712, 103, S16, B00, 1
B00, Trade, 85393.462, 107, P00, B00, 1
B00, Trade, 85402.173, 112, P00, B00, 1
B00, Trade, 85414.558, 110, B00, S13, 1
B00, Trade, 85430.096, 99, B00, S02, 1
B00, Trade, 85435.327, 107, S07, B00, 1
B00, Trade, 85443.423, 106, S16, B00, 1
B00, Trade, 85462.385, 103, S24, B00, 1
B00, Trade, 85470.019, 106, S17, B00, 1
B00, Trade, 85481.904, 107, S04, B00, 1
B00, Trade, 85495.173, 107, S00, B00, 1
B00, Trade, 85504.481, 112, S06, B00, 1
B00, Trade, 85513.327, 113, S00, B00, 1
B00, Trade, 85528.096, 102, B00, S00, 1
B00, Trade, 85538.442, 105, S17, B00, 1
B00, Trade, 85549.231, 108, B00, S24, 1
B00, Trade, 85564.038, 109, S13, B00, 1
B00, Trade, 85579.250, 115, S21, B00, 1
B00, Trade, 85590.615, 106, B00, S06, 1
B00, Trade, 85593.827, 104, P00, B00, 1
B00, Trade, 85611.346, 108, S24, B00, 1
B00, Trade, 85615.096, 116, S19, B00, 1
B00, Trade, 85628.712, 106, S19, B00, 1
B00, Trade, 85637.346, 113, S16, B00, 1
B00, Trade, 85654.462, 112, S13, B00, 1
B00, Trade, 85669.769, 109, S05, B00, 1
B00, Trade, 85676.423, 110, P00, B00, 1
B00, Trade, 85710.019, 104, B00, S22, 1
B00, Trade, 85710.577, 109, P00, B00, 1
B00, Trade, 85717.519, 110, S03, B00, 1
B00, Trade, 85742.115, 109, S24, B00, 1
B00, Trade, 85747.885, 101, S07, B00, 1
B00, Trade, 85753.173, 106, S10, B00, 1
B00, Trade, 85772.115, 107, S12, B00, 1
B00, Trade, 85775.135, 104, S04, B00, 1
B00, Trade, 85792.788, 114, P00, B00, 1
B00, Trade, 85807.096, 95, B00, S00, 1
B00, Trade, 85808.500, 100, S10, B00, 1
B00, Trade, 85818.365, 102, S14, B00, 1
B00, Trade, 85829.346, 104, B00, S00, 1
B00, Trade, 85837.077, 102, B00, S16, 1
B00, Trade, 85847.712, 98, S07, B00, 1
B00, Trade, 85855.365, 99, S11, B00, 1
B00, Trade, 85869.308, 97, S14, B00, 1
B00, Trade, 85877.212, 104, S15, B00, 1
B00, Trade, 85889.769, 102, S00, B00, 1
B00, Trade, 85900.346, 99, S07, B00, 1
B00, Trade, 85907.173, 104, S04, B00, 1
B00, Trade, 85946.808, 99, S12, B00, 1
B00, Trade, 85963.846, 101, P00, B00, 1
B00, Trade, 85985.885, 100, S00, B00, 1
B00, Trade, 85998.212, 100, B00, S06, 1
B00, Trade, 86016.250, 109, S10, B00, 1
B00, Trade, 86031.596, 106, B00, S05, 1
B00, Trade, 86036.077, 95, S00, B00, 1
B00, Trade, 86046.750, 98, S03, B00, 1
B00, Trade, 86059.327, 105, S16, B00, 1
B00, Trade, 86064.077, 106, S20, B00, 1
B00, Trade, 86082.115, 102, S19, B00, 1
B00, Trade, 86085.115, 95, S16, B00, 1
B00, Trade, 86100.385, 102, S00, B00, 1
B00, Trade, 86112.192, 109, S07, B00, 1
B00, Trade, 86127.462, 99, B00, S06, 1
B00, Trade, 86141.096, 100, B00, S17, 1
B00, Trade, 86150.404, 103, S24, B00, 1
B00, Trade, 86157.788, 94, S13, B00, 1
B00, Trade, 86174.981, 99, S18, B00, 1
B00, Trade, 86195.538, 94, S07, B00, 1
B00, Trade, 86202.288, 102, S04, B00, 1
B00, Trade, 86206.712, 97, B00, S06, 1
B00, Trade, 86224.846, 107, S11, B00, 1
B00, Trade, 86251.308, 108, P00, B00, 1
B00, Trade, 86259.462, 97, S11, B00, 1
B00, Trade, 86284.558, 99, S22, B00, 1
B00, Trade, 86304.019, 102, S14, B00, 1
B00, Trade, 86313.135, 92, B00, S04, 1
B00, Trade, 86313.808, 99, S14, B00, 1
B00, Trade, 86332.635, 106, S14, B00, 1
B00, Trade, 86337.096, 98, S18, B00, 1
B00, Trade, 86350.212, 96, S18, B00, 1
B00, Trade, 86370.865, 98, B00, S18, 1
B00, Trade, 86375.731, 98, P00, B00, 1
B00, Trade, 86387.038, 103, B00, S23, 1
B01, 100
B01, Trade, 85148.519, 112, B01, S09, 1
B01, Trade, 85174.019, 105, B01, S05, 1
B01, Trade, 85187.827, 110, B01, S19, 1
B01, Trade, 85198.481, 108, B01, S24, 1
B01, Trade, 85209.385, 105, B01, S20, 1
B01, Trade, 85222.096, 105, B01, S04, 1
B01, Trade, 85233.135, 106, S10, B01, 1
B01, Trade, 85242.173, 104, B01, S04, 1
B01, Trade, 85287.673, 104, B01, S02, 1
B01, Trade, 85299.673, 104, B01, S23, 1
B01, Trade, 85312.442, 101, B01, S05, 1
B01, Trade, 85317.500, 113, S00, B01, 1
B01, Trade, 85327.365, 108, B01, S19, 1
B01, Trade, 85350.058, 104, B01, S02, 1
B01, Trade, 85359.058, 98, B01, S21, 1
B01, Trade, 85389.269, 109, B01, S03, 1
B01, Trade, 85401.885, 109, B01, S13, 1
B01, Trade, 85405.231, 105, B01, S11, 1
B01, Trade, 85413.077, 105, B01, S21, 1
B01, Trade, 85431.346, 97, S00, B01, 1
B01, Trade, 85433.192, 96, B01, S09, 1
B01, Trade, 85451.942, 102, B01, S05, 1
B01, Trade, 85453.115, 104, S09, B01, 1
B01, Trade, 85471.404, 103, B01, S00, 1
B01, Trade, 85475.558, 104, B01, S21, 1
B01, Trade, 85496.250, 107, B01, S01, 1
B01, Trade, 85508.769, 110, P00, B01, 1
B01, Trade, 85527.154, 111, B01, S18, 1
B01, Trade, 85547.846, 107, B01, S00, 1
B01, Trade, 85551.538, 106, S13, B01, 1
B01, Trade, 85558.942, 109, B01, S21, 1
B01, Trade, 85571.904, 109, S07, B01, 1
B01, Trade, 85581.038, 107, B01, S20, 1
B01, Trade, 85596.250, 101, B01, S13, 1
B01, Trade, 85613.865, 110, B01, S04, 1
B01, Trade, 85616.558, 106, B01, S06, 1
B01, Trade, 85626.135, 107, B01, S09, 1
B01, Trade, 85641.173, 105, B01, S17, 1
B01, Trade, 85651.038, 111, S12, B01, 1
B01, Trade, 85669.558, 108, B01, S06, 1
B01, Trade, 85678.385, 113, S07, B01, 1
B01, Trade, 85683.865, 119, B01, S06, 1
B01, Trade, 85693.981, 105, B01, S24, 1
B01, Trade, 85719.192, 105, B01, S11, 1
B01, Trade, 85727.212, 108, B01, S09, 1
B01, Trade, 85743.077, 107, B01, S06, 1
B01, Trade, 85757.462, 103, S07, B01, 1
B01, Trade, 85771.115, 105, B01, S05, 1
B01, Trade, 85791.750, 104, B01, S23, 1
B01, Trade, 85803.404, 97, B01, S05, 1
B01, Trade, 85813.192, 96, S07, B01, 1
B01, Trade, 85816.365, 97, B01, S03, 1
B01, Trade, 85834.250, 98, B01, S01, 1
B01, Trade, 85835.635, 98, B01, S07, 1
B01, Trade, 85844.885, 101, B01, S09, 1
B01, Trade, 85856.096, 99, S13, B01, 1
B01, Trade, 85877.231, 95, B01, S09, 1
B01, Trade, 85880.288, 96, B01, S03, 1
B01, Trade, 85887.596, 100, S03, B01, 1
B01, Trade, 85908.519, 104, B01, S07, 1
B01, Trade, 85918.442, 106, S10, B01, 1
B01, Trade, 85934.865, 103, S07, B01, 1
B01, Trade, 85942.212, 103, S09, B01, 1
B01, Trade, 85946.096, 96, B01, S11, 1
B01, Trade, 85963.231, 97, B01, S06, 1
B01, Trade, 85970.192, 96, B01, S09, 1
B01, Trade, 85983.192, 99, B01, S24, 1
B01, Trade, 85989.788, 102, B01, S14, 1
B01, Trade, 86008.365, 106, B01, S20, 1
B01, Trade, 86027.385, 98, S23, B01, 1
B01, Trade, 86042.115, 99, B01, S01, 1
B01, Trade, 86048.596, 96, B01, S24, 1
B01, Trade, 86062.385, 103, B01, S06, 1
B01, Trade, 86077.981, 96, S18, B01, 1
B01, Trade, 86096.288, 95, B01, S18, 1
B01, Trade, 86115.173, 101, B01, S03, 1
B01, Trade, 86116.115, 103, S04, B01, 1
B01, Trade, 86132.058, 101, B01, S15, 1
B01, Trade, 86142.462, 101, B01, S15, 1
B01, Trade, 86149.846, 94, B01, S07, 1
B01, Trade, 86173.269, 99, B01, S06, 1
B01, Trade, 86180.192, 96, B01, S08, 1
B01, Trade, 86192.538, 93, S21, B01, 1
B01, Trade, 86201.923, 97, B01, S16, 1
B01, Trade, 86212.404, 102, B01, S14, 1
B01, Trade, 86220.000, 96, B01, S10, 1
B01, Trade, 86234.423, 96, B01, S13, 1
B01, Trade, 86245.154, 100, S17, B01, 1
B01, Trade, 86246.596, 101, S10, B01, 1
B01, Trade, 86277.115, 95, S10, B01, 1
B01, Trade, 86287.808, 101, S12, B01, 1
B01, Trade, 86298.519, 95, B01, S23, 1
B01, Trade, 86314.654, 94, B01, S11, 1
B01, Trade, 86324.827, 104, S07, B01, 1
B01, Trade, 86334.288, 101, B01, S22, 1
B01, Trade, 86345.577, 95, B01, S00, 1
B01, Trade, 86364.173, 99, S22, B01, 1
B01, Trade, 86374.769, 94, B01, S09, 1
B01, Trade, 86385.077, 104, B01, S05, 1
B01, Trade, 86392.923, 104, B01, S21, 1
B02, 100
B02, Trade, 85066.788, 117, S20, B02, 1
B02, Trade, 85075.038, 108, B02, S07, 1
B02, Trade, 85083.096, 109, S09, B02, 1
B02, Trade, 85101.827, 108, B02, S03, 1
B02, Trade, 85120.615, 108, S06, B02, 1
B02, Trade, 85121.500, 110, S09, B02, 1
B02, Trade, 85135.731, 101, B02, S00, 1
B02, Trade, 85146.327, 110, B02, S00, 1
B02, Trade, 85166.192, 115, S23, B02, 1
B02, Trade, 85184.519, 105, B02, S15, 1
B02, Trade, 85211.192, 108, S13, B02, 1
B02, Trade, 85213.577, 108, S12, B02, 1
B02, Trade, 85231.558, 106, B02, S24, 1
B02, Trade, 85241.173, 109, S09, B02, 1
B02, Trade, 85252.635, 103, B02, S02, 1
B02, Trade, 85258.769, 109, S12, B02, 1
B02, Trade, 85262.808, 113, B02, S05, 1
B02, Trade, 85298.077, 104, S11, B02, 1
B02, Trade, 85311.462, 111, B02, S04, 1
B02, Trade, 85318.173, 112, B02, S10, 1
B02, Trade, 85332.173, 107, S19, B02, 1
B02, Trade, 85342.538, 106, B02, S20, 1
B02, Trade, 85349.577, 106, S13, B02, 1
B02, Trade, 85361.846, 88, B02, S16, 1
B02, Trade, 85367.462, 113, S06, B02, 1
B02, Trade, 85391.019, 110, S11, B02, 1
B02, Trade, 85394.808, 106, S19, B02, 1
B02, Trade, 85415.788, 109, B02, S19, 1
B02, Trade, 85423.885, 106, B02, S20, 1
B02, Trade, 85437.115, 104, B02, S21, 1
B02, Trade, 85445.885, 112, S01, B02, 1
B02, Trade, 85463.115, 101, B02, S19, 1
B02, Trade, 85476.346, 103, B02, S16, 1
B02, Trade, 85479.519, 102, S10, B02, 1
B02, Trade, 85494.692, 105, B02, S08, 1
B02, Trade, 85498.115, 110, S05, B02, 1
B02, Trade, 85506.769, 108, B02, S23, 1
B02, Trade, 85516.885, 108, B02, S10, 1
B02, Trade, 85530.615, 103, B02, S06, 1
B02, Trade, 85536.904, 100, B02, S23, 1
B02, Trade, 85556.635, 106, S18, B02, 1
B02, Trade, 85565.788, 111, S14, B02, 1
B02, Trade, 85590.404, 112, B02, S18, 1
B02, Trade, 85603.212, 108, S10, B02, 1
B02, Trade, 85620.423, 107, B02, S11, 1
B02, Trade, 85629.019, 107, S08, B02, 1
B02, Trade, 85645.154, 104, S06, B02, 1
B02, Trade, 85662.558, 109, B02, S17, 1
B02, Trade, 85671.654, 110, P00, B02, 1
B02, Trade, 85681.596, 121, B02, S24, 1
B02, Trade, 85700.192, 113, B02, S15, 1
B02, Trade, 85702.019, 114, S18, B02, 1
