B00, 100
B00, Trade, 85200.750, 173, S22, B00, 1
B00, Trade, 85211.615, 173, S13, B00, 1
B00, Trade, 85216.115, 176, B00, S21, 1
B00, Trade, 85227.365, 166, B00, S15, 1
B00, Trade, 85234.904, 177, S14, B00, 1
B00, Trade, 85250.712, 176, S15, B00, 1
B00, Trade, 85264.481, 179, S05, B00, 1
B00, Trade, 85278.288, 172, S12, B00, 1
B00, Trade, 85286.423, 173, S24, B00, 1
B00, Trade, 85308.712, 177, S21, B00, 1
B00, Trade, 85318.692, 168, S11, B00, 1
B00, Trade, 85327.846, 178, S04, B00, 1
B00, Trade, 85340.365, 171, S15, B00, 1
B00, Trade, 85349.538, 173, S02, B00, 1
B00, Trade, 85355.808, 174, B00, S03, 1
B00, Trade, 85374.308, 171, S05, B00, 1
B00, Trade, 85388.865, 171, S00, B00, 1
B00, Trade, 85401.173, 170, B00, S10, 1
B00, Trade, 85403.692, 174, P01, B00, 1
B00, Trade, 85412.635, 174, S12, B00, 1
B00, Trade, 85427.731, 173, B00, S08, 1
B00, Trade, 85435.827, 174, S01, B00, 1
B00, Trade, 85446.577, 175, S10, B00, 1
B00, Trade, 85455.827, 172, S08, B00, 1
B00, Trade, 85472.250, 175, S16, B00, 1
B00, Trade, 85485.923, 174, P01, B00, 1
B00, Trade, 85501.077, 180, S18, B00, 1
B00, Trade, 85505.019, 178, S00, B00, 1
B00, Trade, 85517.865, 172, S04, B00, 1
B00, Trade, 85527.692, 176, B00, S00, 1
B00, Trade, 85547.404, 175, B00, S21, 1
B00, Trade, 85562.846, 172, S12, B00, 1
B00, Trade, 85564.615, 173, S24, B00, 1
B00, Trade, 85580.385, 177, S16, B00, 1
B00, Trade, 85592.788, 171, B00, S24, 1
B00, Trade, 85602.519, 171, B00, S15, 1
B00, Trade, 85612.231, 175, S16, B00, 1
B00, Trade, 85623.385, 177, B00, S03, 1
B00, Trade, 85626.135, 177, S10, B00, 1
B00, Trade, 85651.000, 172, S00, B00, 1
B00, Trade, 85672.135, 175, S03, B00, 1
B00, Trade, 85675.365, 174, S16, B00, 1
B00, Trade, 85684.769, 175, S10, B00, 1
B00, Trade, 85701.942, 171, S13, B00, 1
B00, Trade, 85706.692, 177, P01, B00, 1
B00, Trade, 85723.981, 177, S01, B00, 1
B00, Trade, 85738.673, 175, S12, B00, 1
B00, Trade, 85750.288, 176, S21, B00, 1
B00, Trade, 85770.942, 183, S08, B00, 1
B00, Trade, 85784.885, 175, B00, S09, 1
B00, Trade, 85788.077, 178, S22, B00, 1
B00, Trade, 85804.962, 176, S04, B00, 1
B00, Trade, 85833.038, 176, S04, B00, 1
B00, Trade, 85836.135, 165, B00, S11, 1
B00, Trade, 85852.654, 177, S20, B00, 1
B00, Trade, 85860.500, 173, B00, S10, 1
B00, Trade, 85868.788, 174, S13, B00, 1
B00, Trade, 85873.481, 175, S00, B00, 1
B00, Trade, 85890.154, 174, B00, S08, 1
B00, Trade, 85894.942, 174, S01, B00, 1
B00, Trade, 85912.692, 171, S10, B00, 1
B00, Trade, 85925.019, 168, B00, S16, 1
B00, Trade, 85926.865, 171, S15, B00, 1
