B00, 100
B00, Trade, 83821.404, 176, S14, B00, 1
B00, Trade, 83843.192, 177, S21, B00, 1
B00, Trade, 83859.231, 173, S18, B00, 1
B00, Trade, 83870.115, 173, S16, B00, 1
B00, Trade, 83889.269, 171, S01, B00, 1
B00, Trade, 83931.538, 169, P00, B00, 1
B00, Trade, 83958.885, 172, S16, B00, 1
B00, Trade, 84014.365, 167, S02, B00, 1
B00, Trade, 84033.673, 169, S01, B00, 1
B00, Trade, 84067.327, 170, B00, S11, 1
B00, Trade, 84079.923, 164, S06, B00, 1
B00, Trade, 84139.981, 168, S14, B00, 1
B00, Trade, 84155.192, 166, B00, S24, 1
B00, Trade, 84176.481, 171, S09, B00, 1
B00, Trade, 84219.135, 165, S00, B00, 1
B00, Trade, 84229.750, 168, S02, B00, 1
B00, Trade, 84276.577, 165, S23, B00, 1
B00, Trade, 84321.038, 171, S04, B00, 1
B00, Trade, 84398.365, 167, S09, B00, 1
B00, Trade, 84414.327, 177, S14, B00, 1
B00, Trade, 84474.077, 169, S14, B00, 1
B00, Trade, 84493.269, 167, B00, S03, 1
B00, Trade, 84496.250, 170, S15, B00, 1
B00, Trade, 84529.000, 172, S20, B00, 1
B00, Trade, 84535.692, 171, S10, B00, 1
B00, Trade, 84566.019, 174, S17, B00, 1
B00, Trade, 84578.577, 174, S16, B00, 1
B00, Trade, 84597.212, 173, S16, B00, 1
B00, Trade, 84610.000, 180, S06, B00, 1
B00, Trade, 84638.212, 173, S08, B00, 1
B00, Trade, 84683.288, 173, S13, B00, 1
B00, Trade, 84687.942, 176, S08, B00, 1
B00, Trade, 84753.577, 173, S02, B00, 1
B00, Trade, 84788.058, 178, S20, B00, 1
B00, Trade, 84866.808, 172, S21, B00, 1
B00, Trade, 84884.788, 176, S18, B00, 1
B00, Trade, 84907.769, 170, S17, B00, 1
B00, Trade, 84919.212, 171, P00, B00, 1
B00, Trade, 84928.712, 172, S13, B00, 1
B00, Trade, 84951.981, 167, P00, B00, 1
B00, Trade, 84967.942, 178, S15, B00, 1
B00, Trade, 85008.788, 179, S02, B00, 1
B00, Trade, 85024.904, 175, S20, B00, 1
B00, Trade, 85028.885, 173, S15, B00, 1
B00, Trade, 85034.058, 171, S11, B00, 1
B00, Trade, 85050.481, 169, S00, B00, 1
B00, Trade, 85068.731, 173, S10, B00, 1
B00, Trade, 85132.269, 174, S22, B00, 1
B00, Trade, 85135.731, 170, B00, S00, 1
B00, Trade, 85147.404, 180, S02, B00, 1
B00, Trade, 85166.635, 179, S20, B00, 1
B00, Trade, 85200.962, 175, S19, B00, 1
B00, Trade, 85235.038, 177, S02, B00, 1
B00, Trade, 85253.096, 174, S02, B00, 1
B00, Trade, 85258.788, 175, S21, B00, 1
B00, Trade, 85273.712, 176, S13, B00, 1
B00, Trade, 85302.596, 174, B00, S23, 1
B00, Trade, 85317.654, 173, S10, B00, 1
B00, Trade, 85324.442, 174, S15, B00, 1
B00, Trade, 85333.058, 176, B00, S18, 1
B00, Trade, 85400.500, 175, S09, B00, 1
B00, Trade, 85420.077, 175, B00, S18, 1
B00, Trade, 85440.135, 177, S15, B00, 1
B00, Trade, 85450.788, 173, S12, B00, 1
B00, Trade, 85460.346, 170, S02, B00, 1
B00, Trade, 85469.096, 168, S14, B00, 1
B00, Trade, 85483.923, 161, B00, S16, 1
B00, Trade, 85503.712, 177, S07, B00, 1
B00, Trade, 85529.038, 171, S12, B00, 1
B00, Trade, 85531.346, 173, B00, S07, 1
B00, Trade, 85573.827, 175, B00, S18, 1
B00, Trade, 85584.019, 170, S10, B00, 1
B00, Trade, 85625.904, 177, S06, B00, 1
B00, Trade, 85654.058, 181, S15, B00, 1
B00, Trade, 85752.192, 174, B00, S00, 1
B00, Trade, 85771.635, 173, S02, B00, 1
B00, Trade, 85775.365, 175, P00, B00, 1
B00, Trade, 85800.250, 165, B00, S12, 1
B00, Trade, 85847.654, 177, S18, B00, 1
B00, Trade, 85868.885, 173, S23, B00, 1
B00, Trade, 85880.731, 180, S15, B00, 1
B00, Trade, 85894.788, 172, B00, S14, 1
B00, Trade, 85899.404, 172, S13, B00, 1
B00, Trade, 85923.019, 170, S20, B00, 1
B00, Trade, 85972.385, 175, S09, B00, 1
B00, Trade, 85977.596, 176, S23, B00, 1
B00, Trade, 86029.635, 170, S13, B00, 1
B00, Trade, 86065.519, 175, S10, B00, 1
B00, Trade, 86088.769, 172, B00, S19, 1
B00, Trade, 86092.173, 180, S15, B00, 1
B00, Trade, 86149.192, 179, S09, B00, 1
B00, Trade, 86182.519, 174, S23, B00, 1
B00, Trade, 86207.385, 170, S01, B00, 1
B00, Trade, 86216.846, 175, B00, S04, 1
B00, Trade, 86225.885, 170, S02, B00, 1
B00, Trade, 86305.558, 168, P00, B00, 1
B00, Trade, 86324.654, 173, S17, B00, 1
B00, Trade, 86330.019, 172, P00, B00, 1
B00, Trade, 86343.481, 173, S09, B00, 1
B00, Trade, 86382.154, 172, B00, S03, 1
B01, 100
B01, Trade, 85160.558, 168, B01, S04, 1
B01, Trade, 85170.481, 176, S23, B01, 1
B01, Trade, 85178.269, 173, B01, S01, 1
B01, Trade, 85194.962, 170, B01, S10, 1
B01, Trade, 85200.135, 173, S18, B01, 1
B01, Trade, 85213.154, 170, B01, S24, 1
B01, Trade, 85230.019, 176, S06, B01, 1
B01, Trade, 85240.923, 171, B01, S22, 1
B01, Trade, 85242.981, 178, S16, B01, 1
B01, Trade, 85256.692, 172, B01, S10, 1
B01, Trade, 85267.231, 175, S07, B01, 1
B01, Trade, 85282.519, 171, B01, S12, 1
B01, Trade, 85294.615, 170, S12, B01, 1
B01, Trade, 85306.731, 170, B01, S11, 1
B01, Trade, 85315.115, 174, S20, B01, 1
B01, Trade, 85328.750, 174, B01, S03, 1
B01, Trade, 85343.769, 177, S21, B01, 1
B01, Trade, 85367.846, 170, B01, S22, 1
B01, Trade, 85375.808, 168, B01, S08, 1
B01, Trade, 85385.173, 176, S21, B01, 1
B01, Trade, 85400.154, 174, P00, B01, 1
B01, Trade, 85409.692, 170, B01, S16, 1
B01, Trade, 85416.731, 174, S14, B01, 1
B01, Trade, 85434.346, 171, B01, S22, 1
B01, Trade, 85443.750, 177, S04, B01, 1
B01, Trade, 85454.788, 169, B01, S08, 1
B01, Trade, 85481.327, 172, S17, B01, 1
B01, Trade, 85483.000, 170, S15, B01, 1
B01, Trade, 85502.058, 170, B01, S06, 1
B01, Trade, 85522.538, 170, S16, B01, 1
B01, Trade, 85537.558, 178, B01, S05, 1
B01, Trade, 85544.481, 168, B01, S08, 1
B01, Trade, 85547.904, 174, S14, B01, 1
B01, Trade, 85562.442, 166, B01, S08, 1
B01, Trade, 85582.058, 172, P00, B01, 1
B01, Trade, 85585.404, 169, B01, S07, 1
B01, Trade, 85599.712, 171, B01, S13, 1
B01, Trade, 85609.250, 166, B01, S01, 1
B01, Trade, 85622.673, 174, S06, B01, 1
B01, Trade, 85638.365, 178, B01, S17, 1
B01, Trade, 85652.885, 179, S21, B01, 1
B01, Trade, 85658.962, 179, S12, B01, 1
B01, Trade, 85670.288, 171, B01, S19, 1
B01, Trade, 85678.788, 173, B01, S18, 1
B01, Trade, 85688.846, 172, S09, B01, 1
B01, Trade, 85696.673, 183, S00, B01, 1
B01, Trade, 85717.404, 183, S14, B01, 1
B01, Trade, 85736.038, 169, B01, S19, 1
B01, Trade, 85748.519, 170, B01, S16, 1
B01, Trade, 85773.500, 171, B01, S21, 1
B01, Trade, 85774.404, 173, B01, S00, 1
B01, Trade, 85797.404, 177, B01, S23, 1
B01, Trade, 85807.481, 178, S07, B01, 1
B01, Trade, 85825.212, 167, B01, S06, 1
B01, Trade, 85829.519, 181, S20, B01, 1
B01, Trade, 85845.500, 175, B01, S11, 1
B01, Trade, 85857.173, 171, S20, B01, 1
B01, Trade, 85877.538, 169, B01, S22, 1
B01, Trade, 85880.404, 180, S08, B01, 1
B01, Trade, 85893.365, 174, S09, B01, 1
B01, Trade, 85904.885, 171, B01, S21, 1
B01, Trade, 85913.904, 172, B01, S13, 1
B01, Trade, 85923.750, 169, S07, B01, 1
B01, Trade, 85943.654, 172, S17, B01, 1
B01, Trade, 85951.058, 170, B01, S19, 1
B01, Trade, 85962.769, 171, B01, S09, 1
B01, Trade, 85990.962, 168, B01, S12, 1
B01, Trade, 85993.962, 172, B01, P00, 1
B01, Trade, 85998.923, 174, B01, S17, 1
B01, Trade, 86014.865, 172, S18, B01, 1
B01, Trade, 86041.077, 180, S17, B01, 1
B01, Trade, 86060.423, 171, B01, S19, 1
B01, Trade, 86062.250, 172, B01, S23, 1
B01, Trade, 86076.942, 170, B01, S22, 1
B01, Trade, 86083.962, 176, S21, B01, 1
B01, Trade, 86089.288, 175, S23, B01, 1
B01, Trade, 86096.192, 174, B01, S22, 1
B01, Trade, 86125.058, 169, B01, S06, 1
B01, Trade, 86139.808, 166, B01, S23, 1
B01, Trade, 86143.481, 179, S09, B01, 1
B01, Trade, 86149.462, 176, B01, S08, 1
B01, Trade, 86167.885, 168, B01, S23, 1
B01, Trade, 86182.442, 174, S09, B01, 1
B01, Trade, 86186.731, 174, S02, B01, 1
B01, Trade, 86206.577, 168, B01, S16, 1
B01, Trade, 86216.231, 175, B01, S20, 1
B01, Trade, 86229.000, 171, P00, B01, 1
B01, Trade, 86244.962, 169, B01, S10, 1
B01, Trade, 86250.769, 169, S09, B01, 1
B01, Trade, 86266.808, 176, S09, B01, 1
B01, Trade, 86279.923, 173, P00, B01, 1
B01, Trade, 86291.981, 169, B01, S13, 1
B01, Trade, 86300.981, 173, S14, B01, 1
B01, Trade, 86307.231, 166, B01, S09, 1
B01, Trade, 86326.115, 165, S00, B01, 1
B01, Trade, 86339.538, 171, B01, S04, 1
B01, Trade, 86360.135, 171, B01, S21, 1
B01, Trade, 86364.500, 169, S20, B01, 1
B01, Trade, 86385.673, 166, B01, S22, 1
B01, Trade, 86393.692, 172, B01, S23, 1
B02, 100
B02, Trade, 85205.096, 170, S06, B02, 1
B02, Trade, 85209.250, 171, B02, S23, 1
B02, Trade, 85223.250, 174, S16, B02, 1
B02, Trade, 85223.827, 174, S12, B02, 1
B02, Trade, 85246.596, 178, S14, B02, 1
B02, Trade, 85255.635, 175, S05, B02, 1
B02, Trade, 85265.712, 175, S12, B02, 1
B02, Trade, 85278.173, 178, S21, B02, 1
B02, Trade, 85291.019, 169, S18, B02, 1
B02, Trade, 85295.154, 170, S22, B02, 1
B02, Trade, 85305.115, 176, B02, S08, 1
B02, Trade, 85320.212, 175, S07, B02, 1
B02, Trade, 85327.212, 178, S06, B02, 1
B02, Trade, 85335.788, 178, S14, B02, 1
B02, Trade, 85347.077, 176, B02, S18, 1
B02, Trade, 85361.577, 172, S23, B02, 1
B02, Trade, 85366.154, 174, S03, B02, 1
B02, Trade, 85393.346, 178, B02, P00, 1
B02, Trade, 85407.212, 176, S16, B02, 1
B02, Trade, 85420.846, 174, S00, B02, 1
B02, Trade, 85424.692, 174, S21, B02, 1
B02, Trade, 85434.788, 173, P00, B02, 1
B02, Trade, 85452.808, 164, B02, S10, 1
B02, Trade, 85455.058, 171, P00, B02, 1
