B00, 100
B00, Trade, 85183.442, 169, S13, B00, 1
B00, Trade, 85197.673, 173, S06, B00, 1
B00, Trade, 85212.904, 170, S15, B00, 1
B00, Trade, 85223.500, 172, S17, B00, 1
B00, Trade, 85240.596, 166, S12, B00, 1
B00, Trade, 85242.077, 165, S23, B00, 1
B00, Trade, 85259.846, 167, B00, S01, 1
B00, Trade, 85271.365, 172, S13, B00, 1
B00, Trade, 85282.519, 172, S05, B00, 1
B00, Trade, 85299.308, 182, B00, S04, 1
B00, Trade, 85308.577, 170, S14, B00, 1
B00, Trade, 85317.000, 172, S01, B00, 1
B00, Trade, 85331.635, 171, S18, B00, 1
B00, Trade, 85341.346, 174, S17, B00, 1
B00, Trade, 85342.173, 175, P01, B00, 1
B00, Trade, 85368.365, 170, S14, B00, 1
B00, Trade, 85375.096, 170, B00, S19, 1
B00, Trade, 85394.135, 177, B00, S11, 1
B00, Trade, 85401.808, 174, S15, B00, 1
B00, Trade, 85416.442, 171, B00, S02, 1
B00, Trade, 85417.788, 175, S12, B00, 1
B00, Trade, 85439.346, 176, S17, B00, 1
B00, Trade, 85443.865, 178, S14, B00, 1
B00, Trade, 85454.096, 172, S18, B00, 1
B00, Trade, 85463.135, 172, S23, B00, 1
B00, Trade, 85478.346, 176, S00, B00, 1
B00, Trade, 85486.096, 179, S12, B00, 1
B00, Trade, 85500.808, 176, S09, B00, 1
B00, Trade, 85507.077, 169, S18, B00, 1
B00, Trade, 85519.385, 179, S06, B00, 1
B00, Trade, 85526.827, 168, B00, S09, 1
B00, Trade, 85535.212, 173, S17, B00, 1
B00, Trade, 85552.635, 171, S14, B00, 1
B00, Trade, 85570.192, 179, S21, B00, 1
B00, Trade, 85573.827, 173, S10, B00, 1
B00, Trade, 85606.788, 175, B00, S07, 1
B00, Trade, 85619.808, 180, S17, B00, 1
B00, Trade, 85632.481, 172, S16, B00, 1
B00, Trade, 85639.808, 176, S15, B00, 1
B00, Trade, 85651.077, 174, S17, B00, 1
B00, Trade, 85662.404, 169, B00, S00, 1
B00, Trade, 85674.231, 173, B00, S16, 1
B00, Trade, 85690.846, 171, B00, S05, 1
B00, Trade, 85705.000, 176, S24, B00, 1
B00, Trade, 85718.808, 176, S13, B00, 1
B00, Trade, 85726.846, 175, P01, B00, 1
B00, Trade, 85741.058, 179, S18, B00, 1
B00, Trade, 85755.135, 173, B00, S21, 1
B00, Trade, 85758.096, 169, S03, B00, 1
B00, Trade, 85768.769, 173, P01, B00, 1
B00, Trade, 85778.000, 174, S14, B00, 1
B00, Trade, 85788.962, 178, S05, B00, 1
B00, Trade, 85799.981, 175, B00, S07, 1
B00, Trade, 85802.962, 176, S15, B00, 1
B00, Trade, 85817.846, 176, S20, B00, 1
B00, Trade, 85829.096, 177, S18, B00, 1
B00, Trade, 85842.962, 172, S19, B00, 1
B00, Trade, 85847.750, 166, B00, S23, 1
B00, Trade, 85878.308, 168, B00, S12, 1
B00, Trade, 85882.846, 198, B00, S19, 1
B00, Trade, 85886.788, 182, S15, B00, 1
B00, Trade, 85894.712, 178, S20, B00, 1
B00, Trade, 85912.788, 173, S16, B00, 1
B00, Trade, 85919.462, 172, S07, B00, 1
B00, Trade, 85937.173, 169, B00, S13, 1
B00, Trade, 85946.346, 175, S03, B00, 1
B00, Trade, 85958.500, 182, S18, B00, 1
B00, Trade, 85970.327, 172, P01, B00, 1
B00, Trade, 85975.135, 169, B00, S13, 1
B00, Trade, 85990.231, 171, B00, S04, 1
B00, Trade, 86004.692, 173, S11, B00, 1
B00, Trade, 86019.154, 172, S15, B00, 1
B00, Trade, 86035.154, 175, B00, S13, 1
B00, Trade, 86060.981, 169, S14, B00, 1
B00, Trade, 86069.615, 174, S20, B00, 1
B00, Trade, 86076.192, 175, S06, B00, 1
B00, Trade, 86092.731, 177, B00, S24, 1
B00, Trade, 86095.231, 173, S05, B00, 1
B00, Trade, 86114.077, 172, B00, S09, 1
B00, Trade, 86133.173, 172, B00, S17, 1
B00, Trade, 86138.038, 173, B00, S22, 1
B00, Trade, 86149.846, 169, S13, B00, 1
B00, Trade, 86163.788, 169, S00, B00, 1
B00, Trade, 86176.808, 167, B00, S24, 1
B00, Trade, 86181.269, 171, S17, B00, 1
B00, Trade, 86190.962, 171, S19, B00, 1
B00, Trade, 86201.885, 172, S00, B00, 1
B00, Trade, 86205.942, 178, S13, B00, 1
B00, Trade, 86215.288, 167, S01, B00, 1
B00, Trade, 86243.538, 166, B00, S16, 1
B00, Trade, 86252.442, 166, S06, B00, 1
B00, Trade, 86261.269, 172, S08, B00, 1
B00, Trade, 86278.923, 170, S20, B00, 1
B00, Trade, 86292.673, 168, B00, S21, 1
B00, Trade, 86305.827, 172, S11, B00, 1
B00, Trade, 86334.962, 170, S08, B00, 1
B00, Trade, 86344.981, 174, S16, B00, 1
B00, Trade, 86357.462, 170, S06, B00, 1
B00, Trade, 86365.635, 166, S15, B00, 1
B00, Trade, 86377.500, 176, S18, B00, 1
B01, 100
B01, Trade, 85182.288, 167, B01, S22, 1
B01, Trade, 85189.115, 169, S00, B01, 1
B01, Trade, 85197.173, 173, S00, B01, 1
B01, Trade, 85220.269, 168, S12, B01, 1
B01, Trade, 85231.096, 169, B01, S15, 1
B01, Trade, 85245.519, 164, B01, S24, 1
B01, Trade, 85256.038, 176, B01, S03, 1
B01, Trade, 85267.673, 168, B01, S05, 1
B01, Trade, 85282.558, 168, B01, S03, 1
B01, Trade, 85286.692, 170, S08, B01, 1
B01, Trade, 85301.442, 180, B01, S09, 1
B01, Trade, 85306.769, 171, B01, S24, 1
B01, Trade, 85319.481, 166, B01, S20, 1
B01, Trade, 85332.462, 170, B01, S23, 1
B01, Trade, 85348.058, 172, S12, B01, 1
B01, Trade, 85360.365, 173, B01, S13, 1
B01, Trade, 85369.981, 170, B01, S07, 1
B01, Trade, 85384.462, 172, B01, S04, 1
B01, Trade, 85390.404, 179, B01, S20, 1
B01, Trade, 85396.404, 176, B01, S01, 1
B01, Trade, 85406.692, 171, B01, S22, 1
B01, Trade, 85433.077, 175, B01, S14, 1
B01, Trade, 85440.212, 173, B01, S04, 1
B01, Trade, 85447.212, 170, B01, S23, 1
B01, Trade, 85466.981, 176, B01, S03, 1
B01, Trade, 85477.538, 170, B01, S24, 1
B01, Trade, 85492.712, 168, S03, B01, 1
B01, Trade, 85495.731, 171, B01, S13, 1
B01, Trade, 85510.558, 171, S03, B01, 1
B01, Trade, 85526.692, 169, B01, S20, 1
B01, Trade, 85530.808, 171, S22, B01, 1
B01, Trade, 85541.462, 170, B01, S09, 1
B01, Trade, 85548.481, 170, S13, B01, 1
B01, Trade, 85557.769, 175, S04, B01, 1
B01, Trade, 85573.173, 176, S20, B01, 1
B01, Trade, 85576.731, 177, B01, S04, 1
B01, Trade, 85593.212, 177, B01, S16, 1
B01, Trade, 85595.308, 177, B01, S21, 1
B01, Trade, 85608.077, 177, B01, S17, 1
B01, Trade, 85616.288, 179, S13, B01, 1
B01, Trade, 85639.000, 175, B01, S05, 1
B01, Trade, 85647.692, 172, B01, S13, 1
B01, Trade, 85660.577, 173, B01, S16, 1
B01, Trade, 85665.096, 174, B01, S23, 1
B01, Trade, 85700.058, 176, S18, B01, 1
B01, Trade, 85710.192, 176, B01, S01, 1
B01, Trade, 85721.481, 174, S06, B01, 1
B01, Trade, 85725.519, 171, B01, S08, 1
B01, Trade, 85732.788, 174, S09, B01, 1
B01, Trade, 85744.712, 175, B01, S12, 1
B01, Trade, 85763.346, 169, B01, S14, 1
B01, Trade, 85792.442, 172, B01, S00, 1
B01, Trade, 85798.615, 178, S08, B01, 1
B01, Trade, 85815.577, 174, S15, B01, 1
B01, Trade, 85830.865, 176, B01, S16, 1
B01, Trade, 85839.923, 174, S11, B01, 1
B01, Trade, 85859.981, 174, B01, S11, 1
B01, Trade, 85872.250, 174, B01, S21, 1
B01, Trade, 85876.250, 173, B01, S16, 1
B01, Trade, 85891.692, 175, B01, S07, 1
B01, Trade, 85907.962, 173, S13, B01, 1
B01, Trade, 85916.212, 172, B01, S01, 1
B01, Trade, 85930.750, 171, B01, S14, 1
B01, Trade, 85944.500, 174, B01, S10, 1
B01, Trade, 85960.327, 175, S14, B01, 1
B01, Trade, 85969.538, 171, B01, S03, 1
B01, Trade, 85983.365, 173, B01, S09, 1
B01, Trade, 85990.096, 172, S19, B01, 1
B01, Trade, 85999.712, 174, B01, S07, 1
B01, Trade, 86025.058, 170, B01, S04, 1
