B01, Trade, 85462.673, 169, B01, S08, 1
B01, Trade, 85466.558, 171, P00, B01, 1
B01, Trade, 85489.962, 174, S18, B01, 1
B01, Trade, 85502.500, 172, S23, B01, 1
B01, Trade, 85509.615, 171, B01, S19, 1
B01, Trade, 85515.769, 169, S15, B01, 1
B01, Trade, 85537.615, 169, B01, S02, 1
B01, Trade, 85541.231, 170, B01, S15, 1
B01, Trade, 85546.154, 174, S19, B01, 1
B01, Trade, 85569.269, 171, B01, S18, 1
B01, Trade, 85582.827, 167, S24, B01, 1
B01, Trade, 85588.942, 163, B01, S21, 1
B01, Trade, 85597.135, 171, S03, B01, 1
B01, Trade, 85604.558, 171, B01, S08, 1
B01, Trade, 85621.904, 169, B01, S02, 1
B01, Trade, 85632.731, 167, B01, S20, 1
B01, Trade, 85638.942, 171, S19, B01, 1
B01, Trade, 85645.519, 167, B01, S23, 1
B01, Trade, 85660.462, 172, B01, S18, 1
B01, Trade, 85672.923, 167, B01, S05, 1
B01, Trade, 85683.692, 164, B01, S21, 1
B01, Trade, 85690.692, 164, P00, B01, 1
B01, Trade, 85701.308, 176, B01, S06, 1
B01, Trade, 85711.019, 170, B01, S12, 1
B01, Trade, 85714.808, 171, S17, B01, 1
B01, Trade, 85735.692, 167, B01, S19, 1
B01, Trade, 85747.596, 179, S23, B01, 1
B01, Trade, 85774.769, 167, S02, B01, 1
B01, Trade, 85789.750, 171, B01, S20, 1
B01, Trade, 85800.192, 172, B01, S19, 1
B01, Trade, 85819.654, 171, S02, B01, 1
B01, Trade, 85832.558, 165, B01, S07, 1
B01, Trade, 85845.019, 172, S08, B01, 1
B01, Trade, 85870.077, 174, S04, B01, 1
B01, Trade, 85878.673, 176, S01, B01, 1
B01, Trade, 85886.865, 171, S08, B01, 1
B01, Trade, 85912.923, 174, S01, B01, 1
B01, Trade, 85927.058, 171, S10, B01, 1
B01, Trade, 85940.942, 174, B01, S17, 1
B01, Trade, 85947.788, 175, B01, S00, 1
B01, Trade, 85962.923, 171, B01, S05, 1
B01, Trade, 85968.712, 173, S10, B01, 1
B01, Trade, 85980.942, 166, B01, S18, 1
B01, Trade, 85997.250, 171, S21, B01, 1
B01, Trade, 86017.962, 172, B01, S21, 1
B01, Trade, 86021.404, 169, B01, S05, 1
B01, Trade, 86026.077, 176, S12, B01, 1
B01, Trade, 86043.769, 172, B01, S16, 1
B01, Trade, 86061.096, 173, S15, B01, 1
B01, Trade, 86076.500, 170, B01, S12, 1
B01, Trade, 86079.154, 173, P00, B01, 1
B01, Trade, 86093.058, 174, S04, B01, 1
B01, Trade, 86105.596, 171, B01, S12, 1
B01, Trade, 86113.519, 171, B01, S15, 1
B01, Trade, 86128.231, 172, B01, S04, 1
B01, Trade, 86147.558, 172, S09, B01, 1
B01, Trade, 86160.577, 167, S12, B01, 1
B01, Trade, 86171.404, 167, B01, S21, 1
B01, Trade, 86200.865, 179, S13, B01, 1
B01, Trade, 86214.769, 175, B01, S14, 1
B01, Trade, 86224.346, 170, S17, B01, 1
B01, Trade, 86240.615, 170, S00, B01, 1
B01, Trade, 86257.538, 168, B01, S00, 1
B01, Trade, 86270.596, 165, B01, S04, 1
B01, Trade, 86279.981, 172, S24, B01, 1
B01, Trade, 86294.885, 173, S08, B01, 1
B01, Trade, 86302.596, 168, B01, S18, 1
B01, Trade, 86320.462, 169, B01, S16, 1
B01, Trade, 86327.385, 169, S07, B01, 1
B01, Trade, 86339.385, 167, B01, S02, 1
B01, Trade, 86364.346, 171, S20, B01, 1
B01, Trade, 86393.692, 172, S21, B01, 1
B01, Trade, 86396.404, 169, B01, S14, 1
B02, 100
B02, Trade, 85280.808, 170, B02, S22, 1
B02, Trade, 85291.596, 174, B02, S16, 1
B02, Trade, 85298.019, 174, S06, B02, 1
B02, Trade, 85311.596, 172, B02, S08, 1
B02, Trade, 85320.500, 168, S00, B02, 1
B02, Trade, 85333.346, 167, B02, S16, 1
B02, Trade, 85337.385, 168, B02, S06, 1
B02, Trade, 85344.519, 166, B02, S09, 1
B02, Trade, 85358.000, 176, S20, B02, 1
B02, Trade, 85364.000, 178, B02, S05, 1
B02, Trade, 85384.558, 174, S23, B02, 1
B02, Trade, 85395.827, 166, B02, S18, 1
B02, Trade, 85409.115, 170, B02, S17, 1
B02, Trade, 85422.462, 172, B02, S20, 1
B02, Trade, 85426.481, 172, S06, B02, 1
B02, Trade, 85435.942, 170, B02, S17, 1
B02, Trade, 85452.288, 173, B02, S22, 1
B02, Trade, 85454.673, 173, S15, B02, 1
B02, Trade, 85468.635, 169, B02, S18, 1
B02, Trade, 85486.673, 175, S00, B02, 1
B02, Trade, 85490.000, 173, B02, S01, 1
B02, Trade, 85494.519, 175, B02, S03, 1
B02, Trade, 85522.519, 175, B02, S11, 1
B02, Trade, 85530.135, 173, B02, S22, 1
B02, Trade, 85536.712, 173, P00, B02, 1
B02, Trade, 85550.192, 162, B02, S24, 1
B02, Trade, 85556.077, 164, B02, S13, 1
B02, Trade, 85565.615, 173, B02, S14, 1
B02, Trade, 85576.827, 176, S20, B02, 1
B02, Trade, 85592.827, 168, B02, S19, 1
B02, Trade, 85603.654, 163, B02, S02, 1
B02, Trade, 85609.019, 174, S13, B02, 1
B02, Trade, 85614.538, 174, B02, S01, 1
B02, Trade, 85645.192, 168, S08, B02, 1
B02, Trade, 85650.115, 168, B02, S21, 1
B02, Trade, 85661.115, 175, B02, S21, 1
B02, Trade, 85669.442, 169, S09, B02, 1
B02, Trade, 85675.077, 166, B02, S08, 1
B02, Trade, 85689.750, 162, S10, B02, 1
B02, Trade, 85703.077, 175, B02, S00, 1
B02, Trade, 85709.019, 175, B02, S21, 1
B02, Trade, 85720.423, 168, B02, S19, 1
B02, Trade, 85729.615, 167, S15, B02, 1
B02, Trade, 85738.019, 179, B02, S22, 1
B02, Trade, 85745.250, 175, B02, S04, 1
B02, Trade, 85761.558, 172, B02, S01, 1
B02, Trade, 85769.750, 166, S02, B02, 1
B02, Trade, 85777.115, 169, B02, S07, 1
B02, Trade, 85788.385, 172, B02, S03, 1
B02, Trade, 85797.058, 171, B02, S04, 1
B02, Trade, 85816.288, 175, S04, B02, 1
B02, Trade, 85835.942, 167, S10, B02, 1
B02, Trade, 85843.212, 170, S06, B02, 1
B02, Trade, 85850.212, 169, B02, S19, 1
B02, Trade, 85857.173, 170, S15, B02, 1
B02, Trade, 85883.250, 172, B02, S05, 1
B02, Trade, 85892.904, 169, B02, S13, 1
B02, Trade, 85899.462, 167, B02, S05, 1
B02, Trade, 85907.596, 169, B02, S08, 1
B02, Trade, 85921.423, 169, B02, S14, 1
B02, Trade, 85936.942, 172, B02, S09, 1
B02, Trade, 85941.981, 173, B02, S09, 1
B02, Trade, 85951.788, 177, B02, S15, 1
B02, Trade, 85962.077, 171, B02, S10, 1
B02, Trade, 85967.135, 170, B02, S15, 1
B02, Trade, 85979.288, 168, S02, B02, 1
B02, Trade, 85986.731, 175, B02, S00, 1
B02, Trade, 85996.000, 167, P00, B02, 1
B02, Trade, 86010.846, 176, P00, B02, 1
B02, Trade, 86024.923, 174, B02, S06, 1
B02, Trade, 86029.500, 180, S13, B02, 1
B02, Trade, 86037.481, 174, B02, S22, 1
B02, Trade, 86045.808, 171, B02, S04, 1
B02, Trade, 86064.038, 173, B02, S20, 1
B02, Trade, 86083.019, 172, S10, B02, 1
B02, Trade, 86086.058, 172, B02, S01, 1
B02, Trade, 86095.365, 171, B02, S08, 1
B02, Trade, 86109.288, 174, B02, S07, 1
B02, Trade, 86122.865, 172, S13, B02, 1
B02, Trade, 86142.404, 168, B02, S18, 1
B02, Trade, 86145.115, 173, B02, S16, 1
B02, Trade, 86175.731, 164, B02, S02, 1
B02, Trade, 86182.269, 172, B02, S17, 1
B02, Trade, 86194.596, 169, B02, S06, 1
B02, Trade, 86211.269, 174, B02, S19, 1
B02, Trade, 86221.423, 162, B02, S21, 1
B02, Trade, 86236.731, 168, B02, S03, 1
B02, Trade, 86247.269, 173, S07, B02, 1
B02, Trade, 86263.462, 163, B02, S22, 1
B02, Trade, 86266.077, 166, B02, S17, 1
B02, Trade, 86282.827, 169, B02, S13, 1
B02, Trade, 86292.212, 172, B02, S19, 1
B02, Trade, 86302.346, 167, B02, S08, 1
B02, Trade, 86317.154, 171, B02, S01, 1
B02, Trade, 86332.308, 169, B02, S18, 1
B02, Trade, 86341.000, 168, S01, B02, 1
B02, Trade, 86351.096, 171, P00, B02, 1
B02, Trade, 86355.731, 167, B02, S07, 1
B02, Trade, 86371.673, 172, B02, S05, 1
B02, Trade, 86381.865, 172, B02, S13, 1
B03, 100
B03, Trade, 85199.327, 172, B03, S03, 1
B03, Trade, 85214.154, 170, B03, S21, 1
B03, Trade, 85218.827, 172, B03, S16, 1
B03, Trade, 85228.000, 169, S00, B03, 1
B03, Trade, 85253.827, 170, B03, S22, 1
B03, Trade, 85256.865, 169, B03, S13, 1
B03, Trade, 85270.462, 168, B03, S14, 1
B03, Trade, 85282.154, 173, B03, S20, 1
B03, Trade, 85292.077, 174, B03, S07, 1
B03, Trade, 85294.442, 175, S15, B03, 1
B03, Trade, 85320.212, 167, B03, S15, 1
B03, Trade, 85329.404, 168, B03, S21, 1
B03, Trade, 85345.519, 165, B03, S01, 1
B03, Trade, 85351.962, 174, B03, S03, 1
B03, Trade, 85369.269, 169, B03, S22, 1
B03, Trade, 85378.519, 171, S01, B03, 1
B03, Trade, 85395.288, 167, B03, S21, 1
B03, Trade, 85405.654, 164, B03, S10, 1
B03, Trade, 85424.481, 174, B03, S11, 1
B03, Trade, 85430.077, 177, B03, S10, 1
B03, Trade, 85444.596, 167, B03, S19, 1
B03, Trade, 85455.231, 173, B03, S10, 1
B03, Trade, 85472.058, 173, S01, B03, 1
B03, Trade, 85475.865, 178, S10, B03, 1
B03, Trade, 85491.673, 170, B03, S22, 1
B03, Trade, 85502.462, 167, B03, S17, 1
B03, Trade, 85505.154, 172, B03, S07, 1
B03, Trade, 85516.173, 167, S00, B03, 1
B03, Trade, 85525.154, 180, B03, S15, 1
B03, Trade, 85535.423, 171, B03, S20, 1
B03, Trade, 85552.538, 165, S02, B03, 1
B03, Trade, 85557.538, 167, B03, S07, 1
B03, Trade, 85567.885, 168, B03, S17, 1
B03, Trade, 85581.942, 166, B03, S12, 1
B03, Trade, 85592.250, 168, B03, S21, 1
B03, Trade, 85595.673, 168, B03, S20, 1
B03, Trade, 85617.000, 173, B03, S12, 1
B03, Trade, 85632.481, 168, B03, S19, 1
B03, Trade, 85636.827, 168, B03, S21, 1
B03, Trade, 85648.885, 169, S01, B03, 1
B03, Trade, 85660.115, 173, B03, S22, 1
B03, Trade, 85670.712, 169, S01, B03, 1
B03, Trade, 85684.192, 163, B03, S04, 1
B03, Trade, 85695.135, 167, B03, S17, 1
B03, Trade, 85701.250, 176, B03, S03, 1
B03, Trade, 85714.904, 167, B03, S05, 1
B03, Trade, 85721.385, 168, B03, S16, 1
B03, Trade, 85734.654, 168, B03, S17, 1
B03, Trade, 85743.519, 175, B03, S06, 1
B03, Trade, 85749.769, 172, B03, S13, 1
B03, Trade, 85760.365, 174, B03, S06, 1
B03, Trade, 85764.269, 169, B03, S21, 1
B03, Trade, 85790.000, 169, B03, S22, 1
B03, Trade, 85805.423, 163, B03, S22, 1
B03, Trade, 85818.404, 171, B03, S17, 1
B03, Trade, 85827.019, 168, B03, S21, 1
B03, Trade, 85847.846, 171, B03, S17, 1
B03, Trade, 85856.846, 170, S19, B03, 1
B03, Trade, 85884.654, 166, B03, S07, 1
B03, Trade, 85891.750, 169, B03, S24, 1
B03, Trade, 85903.154, 169, S08, B03, 1
B03, Trade, 85918.635, 174, P00, B03, 1
B03, Trade, 85932.769, 176, B03, S17, 1
B03, Trade, 85944.442, 177, B03, S18, 1
B03, Trade, 85954.231, 174, B03, S04, 1
B03, Trade, 85971.558, 165, S08, B03, 1
B03, Trade, 85975.077, 165, S15, B03, 1
B03, Trade, 85988.423, 173, B03, S03, 1
B03, Trade, 85998.308, 166, B03, S21, 1
B03, Trade, 86003.769, 174, P00, B03, 1
B03, Trade, 86021.712, 171, B03, S23, 1
B03, Trade, 86025.365, 174, B03, S05, 1
B03, Trade, 86034.923, 171, B03, S18, 1
B03, Trade, 86049.558, 169, B03, S13, 1
B03, Trade, 86073.346, 171, B03, S02, 1
B03, Trade, 86080.558, 170, B03, S24, 1
B03, Trade, 86091.019, 171, B03, S06, 1
B03, Trade, 86103.942, 174, B03, S23, 1
B03, Trade, 86108.000, 175, B03, S00, 1
B03, Trade, 86122.038, 172, B03, S19, 1
B03, Trade, 86128.077, 173, S15, B03, 1
B03, Trade, 86147.212, 171, B03, S14, 1
B03, Trade, 86174.404, 164, B03, S15, 1
B03, Trade, 86178.288, 164, B03, S05, 1
B03, Trade, 86199.750, 176, B03, S22, 1
B03, Trade, 86208.154, 174, B03, S02, 1
B03, Trade, 86218.750, 170, B03, S02, 1
B03, Trade, 86234.212, 174, B03, S13, 1
B03, Trade, 86242.635, 170, S23, B03, 1
B03, Trade, 86259.192, 171, B03, S08, 1
B03, Trade, 86272.692, 165, S01, B03, 1
B03, Trade, 86279.038, 174, S10, B03, 1
B03, Trade, 86289.846, 170, B03, S05, 1
B03, Trade, 86311.212, 166, B03, S23, 1
B03, Trade, 86324.846, 166, B03, S10, 1
B03, Trade, 86328.981, 167, B03, S22, 1
B03, Trade, 86336.038, 171, S17, B03, 1
B03, Trade, 86353.769, 168, B03, S22, 1
B03, Trade, 86373.923, 177, S03, B03, 1
B03, Trade, 86382.577, 168, B03, S17, 1
B04, 100
B04, Trade, 85111.731, 167, S22, B04, 1
B04, Trade, 85132.327, 165, B04, S24, 1
B04, Trade, 85134.692, 179, S06, B04, 1
B04, Trade, 85148.981, 171, S08, B04, 1
B04, Trade, 85161.000, 170, B04, S21, 1
B04, Trade, 85172.577, 175, S00, B04, 1
B04, Trade, 85200.404, 170, B04, S05, 1
B04, Trade, 85207.846, 179, S23, B04, 1
B04, Trade, 85231.519, 168, B04, S23, 1
B04, Trade, 85238.212, 174, S01, B04, 1
B04, Trade, 85250.538, 173, B04, S20, 1
B04, Trade, 85254.154, 174, S19, B04, 1
B04, Trade, 85272.808, 165, B04, S21, 1
B04, Trade, 85281.808, 176, S16, B04, 1
