B00, 100
B00, Trade, 85291.962, 172, B00, S19, 1
B00, Trade, 85306.846, 167, B00, S15, 1
B00, Trade, 85314.808, 175, B00, S14, 1
B00, Trade, 85329.058, 170, B00, S03, 1
B00, Trade, 85343.615, 168, S22, B00, 1
B00, Trade, 85355.538, 173, B00, S23, 1
B00, Trade, 85367.692, 167, B00, S09, 1
B00, Trade, 85380.538, 172, B00, S10, 1
B00, Trade, 85386.135, 175, B00, S17, 1
B00, Trade, 85395.750, 175, B00, S20, 1
B00, Trade, 85409.904, 174, B00, S23, 1
B00, Trade, 85422.865, 167, S14, B00, 1
B00, Trade, 85430.500, 173, B00, S24, 1
B00, Trade, 85435.538, 169, S23, B00, 1
B00, Trade, 85447.308, 173, B00, S15, 1
B00, Trade, 85460.019, 171, B00, S07, 1
B00, Trade, 85474.692, 183, B00, S09, 1
B00, Trade, 85487.654, 172, B00, S20, 1
B00, Trade, 85500.385, 170, B00, S12, 1
B00, Trade, 85507.558, 176, S19, B00, 1
B00, Trade, 85521.077, 174, B00, S07, 1
B00, Trade, 85524.135, 174, B00, S01, 1
B00, Trade, 85538.500, 173, B00, S20, 1
B00, Trade, 85562.212, 175, B00, S06, 1
B00, Trade, 85575.096, 178, S15, B00, 1
B00, Trade, 85585.250, 173, B00, S02, 1
B00, Trade, 85586.923, 180, S19, B00, 1
B00, Trade, 85600.154, 174, B00, S21, 1
B00, Trade, 85608.269, 172, B00, S01, 1
B00, Trade, 85612.827, 172, S24, B00, 1
B00, Trade, 85627.481, 174, B00, S09, 1
B00, Trade, 85642.750, 173, B00, S04, 1
B00, Trade, 85646.038, 174, B00, S22, 1
B00, Trade, 85657.942, 173, S08, B00, 1
B00, Trade, 85674.558, 174, B00, S02, 1
B00, Trade, 85692.038, 179, S19, B00, 1
B00, Trade, 85695.731, 176, B00, S11, 1
B00, Trade, 85711.365, 172, B00, S20, 1
B00, Trade, 85715.731, 175, B00, S03, 1
B00, Trade, 85726.865, 170, B00, S23, 1
B00, Trade, 85737.692, 180, B00, S22, 1
B00, Trade, 85745.904, 177, S03, B00, 1
B00, Trade, 85755.596, 173, B00, S07, 1
B00, Trade, 85763.000, 172, B00, S03, 1
B00, Trade, 85776.096, 176, B00, P00, 1
B00, Trade, 85793.231, 172, B00, S09, 1
B00, Trade, 85797.827, 169, B00, S10, 1
B00, Trade, 85805.058, 169, S13, B00, 1
B00, Trade, 85823.269, 167, B00, S05, 1
B00, Trade, 85835.365, 173, B00, S19, 1
B00, Trade, 85836.346, 172, B00, S13, 1
B00, Trade, 85861.558, 175, B00, S11, 1
B00, Trade, 85871.865, 169, P01, B00, 1
B00, Trade, 85883.077, 176, B00, S19, 1
B00, Trade, 85890.154, 170, B00, S04, 1
B00, Trade, 85899.942, 170, B00, S15, 1
B00, Trade, 85916.962, 169, S17, B00, 1
B00, Trade, 85924.596, 172, B00, S02, 1
B00, Trade, 85938.654, 170, B00, S00, 1
B00, Trade, 85973.577, 171, B00, S05, 1
B00, Trade, 85983.558, 170, S00, B00, 1
B00, Trade, 85991.385, 173, S18, B00, 1
B00, Trade, 86000.769, 172, P01, B00, 1
B00, Trade, 86006.000, 174, S06, B00, 1
B00, Trade, 86020.404, 173, S24, B00, 1
B00, Trade, 86029.308, 168, B00, S07, 1
B00, Trade, 86047.769, 171, B00, S19, 1
B00, Trade, 86063.808, 172, B00, S02, 1
B00, Trade, 86071.923, 178, S06, B00, 1
B00, Trade, 86086.462, 174, B00, S03, 1
B00, Trade, 86102.750, 168, B00, S18, 1
B00, Trade, 86103.308, 168, S12, B00, 1
B00, Trade, 86113.462, 166, B00, S08, 1
B00, Trade, 86122.750, 170, B00, S06, 1
B00, Trade, 86126.904, 169, B00, S07, 1
B00, Trade, 86145.096, 169, B00, S13, 1
B00, Trade, 86155.712, 166, S12, B00, 1
B00, Trade, 86160.019, 165, B00, S21, 1
B00, Trade, 86166.962, 171, B00, S03, 1
B00, Trade, 86183.654, 171, B00, S15, 1
B00, Trade, 86186.769, 175, B00, S09, 1
B00, Trade, 86203.288, 170, B00, S15, 1
B00, Trade, 86213.308, 168, S24, B00, 1
B00, Trade, 86219.596, 168, B00, S04, 1
B00, Trade, 86231.654, 169, B00, S00, 1
B00, Trade, 86242.981, 171, S24, B00, 1
B00, Trade, 86251.423, 171, B00, S18, 1
B00, Trade, 86264.423, 167, B00, S21, 1
B00, Trade, 86267.635, 172, B00, S18, 1
B00, Trade, 86282.635, 170, S17, B00, 1
B00, Trade, 86284.962, 171, B00, S04, 1
B00, Trade, 86299.962, 166, B00, S05, 1
B00, Trade, 86312.885, 175, S19, B00, 1
B00, Trade, 86319.115, 167, B00, S07, 1
B00, Trade, 86332.385, 167, B00, S19, 1
B00, Trade, 86337.250, 165, S05, B00, 1
B00, Trade, 86355.250, 169, B00, S00, 1
B00, Trade, 86365.481, 175, B00, S07, 1
B00, Trade, 86377.481, 174, B00, S20, 1
B00, Trade, 86390.327, 168, B00, S08, 1
B01, 100
B01, Trade, 85158.558, 163, B01, S20, 1
B01, Trade, 85167.173, 169, S19, B01, 1
B01, Trade, 85178.135, 174, B01, S08, 1
B01, Trade, 85186.596, 174, S21, B01, 1
B01, Trade, 85213.115, 169, B01, S15, 1
B01, Trade, 85220.904, 174, S18, B01, 1
B01, Trade, 85232.519, 170, B01, S10, 1
B01, Trade, 85234.788, 174, S16, B01, 1
B01, Trade, 85247.923, 172, B01, S18, 1
B01, Trade, 85264.596, 179, S24, B01, 1
B01, Trade, 85273.788, 170, B01, S22, 1
B01, Trade, 85290.731, 178, S18, B01, 1
B01, Trade, 85306.423, 166, B01, S05, 1
B01, Trade, 85313.731, 176, P01, B01, 1
B01, Trade, 85336.712, 171, B01, S10, 1
B01, Trade, 85340.769, 173, S15, B01, 1
B01, Trade, 85359.558, 175, S01, B01, 1
B01, Trade, 85386.269, 176, S14, B01, 1
B01, Trade, 85399.019, 177, S18, B01, 1
B01, Trade, 85416.327, 169, B01, S07, 1
B01, Trade, 85431.462, 172, B01, S05, 1
B01, Trade, 85443.712, 177, S00, B01, 1
B01, Trade, 85463.212, 172, S16, B01, 1
B01, Trade, 85490.654, 172, B01, S04, 1
B01, Trade, 85498.038, 174, S15, B01, 1
B01, Trade, 85516.250, 172, B01, S20, 1
B01, Trade, 85521.519, 177, S24, B01, 1
B01, Trade, 85528.481, 175, S12, B01, 1
B01, Trade, 85542.058, 173, B01, S09, 1
B01, Trade, 85553.077, 174, B01, S09, 1
B01, Trade, 85562.885, 172, B01, S06, 1
B01, Trade, 85569.846, 182, S10, B01, 1
B01, Trade, 85574.500, 180, S13, B01, 1
B01, Trade, 85593.981, 177, S21, B01, 1
B01, Trade, 85615.904, 171, B01, S09, 1
B01, Trade, 85620.923, 179, S19, B01, 1
B01, Trade, 85633.769, 175, B01, S17, 1
B01, Trade, 85640.481, 174, B01, S18, 1
B01, Trade, 85647.135, 179, B01, S18, 1
B01, Trade, 85661.192, 174, B01, S05, 1
B01, Trade, 85671.577, 178, B01, S14, 1
B01, Trade, 85681.385, 169, B01, S05, 1
B01, Trade, 85689.654, 174, S21, B01, 1
B01, Trade, 85706.923, 171, B01, S09, 1
B01, Trade, 85715.173, 176, S21, B01, 1
B01, Trade, 85727.635, 172, P01, B01, 1
B01, Trade, 85738.788, 180, B01, S13, 1
B01, Trade, 85765.058, 177, S05, B01, 1
B01, Trade, 85785.096, 172, S06, B01, 1
B01, Trade, 85798.731, 170, B01, S24, 1
B01, Trade, 85813.058, 167, B01, S09, 1
B01, Trade, 85822.654, 174, S11, B01, 1
B01, Trade, 85833.019, 172, B01, S07, 1
B01, Trade, 85842.327, 174, B01, S02, 1
B01, Trade, 85846.692, 169, B01, S03, 1
B01, Trade, 85859.865, 174, B01, S22, 1
B01, Trade, 85872.673, 174, S03, B01, 1
B01, Trade, 85885.000, 171, B01, S05, 1
B01, Trade, 85900.038, 169, B01, S18, 1
B01, Trade, 85909.346, 173, S08, B01, 1
B01, Trade, 85932.423, 169, B01, S12, 1
B01, Trade, 85936.731, 172, S06, B01, 1
B01, Trade, 85943.346, 174, S23, B01, 1
B01, Trade, 85963.596, 173, B01, S12, 1
B01, Trade, 85979.981, 167, B01, S18, 1
B01, Trade, 85984.519, 169, B01, S05, 1
B01, Trade, 85990.173, 171, S15, B01, 1
B01, Trade, 86008.288, 172, B01, S23, 1
B01, Trade, 86019.519, 174, P01, B01, 1
B01, Trade, 86033.192, 165, B01, S13, 1
B01, Trade, 86045.058, 177, S10, B01, 1
B01, Trade, 86062.981, 179, B01, S19, 1
B01, Trade, 86072.096, 177, B01, S14, 1
B01, Trade, 86074.673, 176, S11, B01, 1
B01, Trade, 86094.077, 175, B01, S07, 1
B01, Trade, 86104.615, 172, P01, B01, 1
B01, Trade, 86115.731, 174, S13, B01, 1
B01, Trade, 86136.115, 166, B01, S00, 1
B01, Trade, 86146.462, 170, B01, S00, 1
B01, Trade, 86153.288, 164, B01, S23, 1
B01, Trade, 86173.019, 172, B01, S11, 1
B01, Trade, 86180.019, 174, S22, B01, 1
B01, Trade, 86194.038, 174, S08, B01, 1
B01, Trade, 86196.635, 174, S15, B01, 1
B01, Trade, 86215.231, 167, B01, S11, 1
B01, Trade, 86226.096, 172, B01, S14, 1
B01, Trade, 86233.615, 169, B01, S22, 1
B01, Trade, 86246.442, 175, S14, B01, 1
B01, Trade, 86264.096, 166, B01, S15, 1
B01, Trade, 86270.962, 170, B01, S24, 1
B01, Trade, 86275.519, 169, S11, B01, 1
B01, Trade, 86288.731, 173, S10, B01, 1
B01, Trade, 86311.942, 173, B01, S09, 1
B01, Trade, 86327.115, 168, B01, S13, 1
B01, Trade, 86335.423, 160, B01, S21, 1
B01, Trade, 86338.596, 170, P01, B01, 1
B01, Trade, 86358.788, 166, B01, S05, 1
B01, Trade, 86363.135, 170, S24, B01, 1
B01, Trade, 86372.827, 176, B01, S18, 1
B01, Trade, 86384.442, 170, S11, B01, 1
B02, 100
B02, Trade, 83807.673, 163, B02, S02, 1
B02, Trade, 83828.404, 166, S22, B02, 1
B02, Trade, 83872.269, 171, S06, B02, 1
B02, Trade, 83879.250, 170, S08, B02, 1
B02, Trade, 83892.231, 170, S24, B02, 1
B02, Trade, 83930.115, 170, S06, B02, 1
B02, Trade, 83948.788, 176, S17, B02, 1
B02, Trade, 84032.308, 166, S13, B02, 1
B02, Trade, 84042.327, 169, S11, B02, 1
B02, Trade, 84064.308, 173, S14, B02, 1
B02, Trade, 84072.981, 166, S05, B02, 1
B02, Trade, 84092.250, 162, P01, B02, 1
B02, Trade, 84093.788, 163, S00, B02, 1
B02, Trade, 84118.288, 172, B02, S00, 1
B02, Trade, 84128.942, 173, S11, B02, 1
B02, Trade, 84142.058, 169, S18, B02, 1
B02, Trade, 84157.423, 162, P01, B02, 1
B02, Trade, 84183.827, 166, P01, B02, 1
B02, Trade, 84198.404, 159, S21, B02, 1
B02, Trade, 84209.846, 167, S15, B02, 1
B02, Trade, 84251.500, 174, S21, B02, 1
B02, Trade, 84296.731, 176, S21, B02, 1
B02, Trade, 84328.250, 168, S12, B02, 1
B02, Trade, 84352.673, 177, S06, B02, 1
B02, Trade, 84360.558, 177, S10, B02, 1
B02, Trade, 84378.904, 174, S21, B02, 1
B02, Trade, 84391.577, 171, S21, B02, 1
B02, Trade, 84424.596, 172, S15, B02, 1
B02, Trade, 84440.615, 170, S12, B02, 1
B02, Trade, 84456.538, 179, S17, B02, 1
B02, Trade, 84474.462, 160, B02, S23, 1
B02, Trade, 84478.827, 166, P01, B02, 1
B02, Trade, 84489.019, 176, B02, S00, 1
B02, Trade, 84533.385, 174, S00, B02, 1
B02, Trade, 84561.192, 175, S15, B02, 1
B02, Trade, 84568.250, 171, S11, B02, 1
B02, Trade, 84636.577, 175, S17, B02, 1
B02, Trade, 84704.192, 176, S03, B02, 1
B02, Trade, 84709.654, 174, S03, B02, 1
B02, Trade, 84718.750, 175, S06, B02, 1
B02, Trade, 84750.750, 175, B02, S11, 1
B02, Trade, 84784.558, 172, S06, B02, 1
B02, Trade, 84812.846, 174, S08, B02, 1
B02, Trade, 84825.423, 179, B02, S19, 1
B02, Trade, 84867.712, 174, S18, B02, 1
B02, Trade, 84982.923, 171, S16, B02, 1
B02, Trade, 85020.327, 171, S17, B02, 1
B02, Trade, 85030.115, 174, P01, B02, 1
B02, Trade, 85045.692, 168, S08, B02, 1
B02, Trade, 85060.827, 172, S16, B02, 1
B02, Trade, 85068.404, 172, P01, B02, 1
B02, Trade, 85082.135, 178, S23, B02, 1
B02, Trade, 85083.231, 177, S14, B02, 1
B02, Trade, 85102.615, 170, S11, B02, 1
B02, Trade, 85129.423, 166, S10, B02, 1
B02, Trade, 85152.923, 169, S11, B02, 1
B02, Trade, 85159.519, 169, B02, S10, 1
B02, Trade, 85185.827, 163, B02, S16, 1
B02, Trade, 85215.058, 176, S00, B02, 1
B02, Trade, 85236.827, 181, S06, B02, 1
B02, Trade, 85332.192, 169, S14, B02, 1
B02, Trade, 85407.500, 169, S11, B02, 1
B02, Trade, 85453.750, 171, S18, B02, 1
B02, Trade, 85478.000, 178, S16, B02, 1
B02, Trade, 85491.519, 171, B02, S23, 1
B02, Trade, 85507.865, 178, S24, B02, 1
B02, Trade, 85513.442, 173, B02, S09, 1
B02, Trade, 85515.596, 180, S03, B02, 1
B02, Trade, 85538.923, 174, S21, B02, 1
B02, Trade, 85566.269, 173, S11, B02, 1
B02, Trade, 85584.192, 178, S08, B02, 1
B02, Trade, 85615.962, 175, S24, B02, 1
B02, Trade, 85636.519, 175, S15, B02, 1
B02, Trade, 85659.712, 175, B02, S20, 1
B02, Trade, 85691.327, 176, S03, B02, 1
B02, Trade, 85701.000, 175, S01, B02, 1
B02, Trade, 85725.558, 171, S12, B02, 1
B02, Trade, 85764.808, 170, S18, B02, 1
B02, Trade, 85853.019, 171, S16, B02, 1
B02, Trade, 85855.269, 174, S17, B02, 1
B02, Trade, 85880.942, 169, P01, B02, 1
B02, Trade, 85894.481, 172, S13, B02, 1
B02, Trade, 85936.558, 172, S16, B02, 1
B02, Trade, 85953.654, 183, S11, B02, 1
B02, Trade, 85958.692, 174, B02, S13, 1
B02, Trade, 85968.288, 180, S09, B02, 1
B02, Trade, 85976.769, 172, S01, B02, 1
B02, Trade, 86001.615, 171, B02, S18, 1
B02, Trade, 86011.981, 173, S14, B02, 1
B02, Trade, 86040.423, 171, S14, B02, 1
B02, Trade, 86058.288, 170, S11, B02, 1
B02, Trade, 86084.558, 175, S05, B02, 1
B02, Trade, 86109.731, 176, S17, B02, 1
B02, Trade, 86158.712, 167, S11, B02, 1
B02, Trade, 86198.404, 173, S14, B02, 1
B02, Trade, 86218.712, 170, S16, B02, 1
B02, Trade, 86245.000, 165, B02, S04, 1
B02, Trade, 86268.462, 173, S06, B02, 1
B02, Trade, 86337.519, 165, S00, B02, 1
B02, Trade, 86355.654, 170, S10, B02, 1
B03, 100
B03, Trade, 84849.173, 177, S16, B03, 1
B03, Trade, 84860.365, 165, B03, S23, 1
B03, Trade, 84869.096, 174, B03, S20, 1
B03, Trade, 84881.231, 171, B03, S23, 1
B03, Trade, 84893.365, 164, B03, S09, 1
B03, Trade, 84918.019, 173, B03, S18, 1
B03, Trade, 84927.885, 179, S14, B03, 1
B03, Trade, 84939.288, 171, B03, S05, 1
B03, Trade, 84959.096, 166, B03, S07, 1
B03, Trade, 84970.962, 172, S06, B03, 1
B03, Trade, 84988.635, 171, S15, B03, 1
B03, Trade, 84999.538, 170, B03, S20, 1
B03, Trade, 85012.904, 169, B03, S12, 1
B03, Trade, 85034.423, 172, B03, S11, 1
B03, Trade, 85053.442, 173, S24, B03, 1
B03, Trade, 85073.712, 168, B03, S13, 1
B03, Trade, 85077.788, 172, S17, B03, 1
B03, Trade, 85094.135, 176, B03, S06, 1
B03, Trade, 85109.308, 184, B03, S16, 1
B03, Trade, 85129.981, 167, S14, B03, 1
B03, Trade, 85152.115, 170, S06, B03, 1
B03, Trade, 85181.404, 170, S12, B03, 1
B03, Trade, 85206.308, 172, S01, B03, 1
B03, Trade, 85227.808, 171, B03, S03, 1
B03, Trade, 85232.769, 167, B03, S07, 1
B03, Trade, 85253.077, 175, B03, S01, 1
B03, Trade, 85270.654, 173, S24, B03, 1
B03, Trade, 85284.846, 176, S15, B03, 1
B03, Trade, 85303.250, 166, B03, S02, 1
B03, Trade, 85308.077, 173, S23, B03, 1
B03, Trade, 85329.808, 168, B03, S19, 1
B03, Trade, 85360.423, 175, P01, B03, 1
B03, Trade, 85377.423, 176, S03, B03, 1
B03, Trade, 85403.000, 172, B03, S16, 1
B03, Trade, 85415.731, 173, S00, B03, 1
B03, Trade, 85424.058, 172, B03, S21, 1
B03, Trade, 85452.519, 172, S24, B03, 1
B03, Trade, 85469.712, 168, B03, S02, 1
B03, Trade, 85491.577, 176, P01, B03, 1
B03, Trade, 85503.808, 170, B03, S09, 1
B03, Trade, 85511.885, 178, S21, B03, 1
B03, Trade, 85525.615, 179, S16, B03, 1
B03, Trade, 85552.269, 175, P01, B03, 1
