B00, 100
B00, Trade, 85241.692, 181, B00, S09, 1
B00, Trade, 85250.192, 179, S05, B00, 1
B00, Trade, 85254.269, 173, S00, B00, 1
B00, Trade, 85263.712, 166, S05, B00, 1
B00, Trade, 85281.923, 167, S02, B00, 1
B00, Trade, 85288.365, 177, B00, S16, 1
B00, Trade, 85295.577, 168, P00, B00, 1
B00, Trade, 85310.981, 171, S12, B00, 1
B00, Trade, 85317.788, 172, S15, B00, 1
B00, Trade, 85322.673, 175, S08, B00, 1
B00, Trade, 85346.327, 181, S07, B00, 1
B00, Trade, 85353.635, 172, B00, S09, 1
B00, Trade, 85371.462, 177, S21, B00, 1
B00, Trade, 85376.596, 178, S18, B00, 1
B00, Trade, 85388.269, 175, S23, B00, 1
B00, Trade, 85401.865, 172, B00, S22, 1
B00, Trade, 85410.942, 171, S22, B00, 1
B00, Trade, 85421.827, 172, S18, B00, 1
B00, Trade, 85435.500, 174, S19, B00, 1
B00, Trade, 85448.712, 166, S20, B00, 1
B00, Trade, 85457.231, 174, S02, B00, 1
B00, Trade, 85466.923, 179, S00, B00, 1
B00, Trade, 85482.231, 169, S07, B00, 1
B00, Trade, 85488.231, 167, S14, B00, 1
B00, Trade, 85496.769, 168, S08, B00, 1
B00, Trade, 85507.327, 172, S16, B00, 1
B00, Trade, 85514.212, 172, S15, B00, 1
B00, Trade, 85530.135, 173, S18, B00, 1
B00, Trade, 85533.096, 176, B00, S15, 1
B00, Trade, 85543.500, 173, S21, B00, 1
B00, Trade, 85553.308, 171, S19, B00, 1
B00, Trade, 85565.327, 172, S00, B00, 1
B00, Trade, 85576.385, 171, P00, B00, 1
B00, Trade, 85595.596, 170, S22, B00, 1
B00, Trade, 85597.712, 171, S18, B00, 1
B00, Trade, 85610.231, 175, S17, B00, 1
B00, Trade, 85629.038, 168, P00, B00, 1
B00, Trade, 85643.962, 168, B00, S01, 1
B00, Trade, 85646.981, 170, S05, B00, 1
B00, Trade, 85668.365, 176, P00, B00, 1
B00, Trade, 85686.808, 168, S23, B00, 1
B00, Trade, 85705.423, 168, B00, S08, 1
B00, Trade, 85722.942, 171, S15, B00, 1
B00, Trade, 85724.654, 169, S21, B00, 1
B00, Trade, 85738.596, 166, S13, B00, 1
B00, Trade, 85754.404, 173, B00, S07, 1
B00, Trade, 85773.750, 172, S01, B00, 1
B00, Trade, 85795.865, 169, S19, B00, 1
B00, Trade, 85806.769, 166, B00, S05, 1
B00, Trade, 85810.942, 170, S06, B00, 1
B00, Trade, 85826.365, 170, B00, S11, 1
B00, Trade, 85843.000, 174, S11, B00, 1
B00, Trade, 85846.500, 173, S15, B00, 1
B00, Trade, 85861.981, 169, S09, B00, 1
B00, Trade, 85867.558, 173, P00, B00, 1
B00, Trade, 85877.538, 172, S07, B00, 1
B00, Trade, 85884.635, 177, S09, B00, 1
B00, Trade, 85911.577, 171, B00, S11, 1
B00, Trade, 85920.712, 173, S01, B00, 1
B00, Trade, 85926.692, 173, S02, B00, 1
B00, Trade, 85935.673, 174, S07, B00, 1
B00, Trade, 85950.481, 171, P00, B00, 1
B00, Trade, 85956.038, 166, S15, B00, 1
B00, Trade, 85970.827, 177, S23, B00, 1
B00, Trade, 85982.788, 178, S22, B00, 1
B00, Trade, 85985.423, 172, P00, B00, 1
B00, Trade, 86000.404, 172, B00, S00, 1
B00, Trade, 86009.769, 174, S05, B00, 1
B00, Trade, 86022.327, 169, B00, S22, 1
B00, Trade, 86028.385, 171, S00, B00, 1
B00, Trade, 86038.615, 166, S13, B00, 1
B00, Trade, 86050.827, 170, S08, B00, 1
B00, Trade, 86068.462, 174, S21, B00, 1
B00, Trade, 86077.981, 163, S19, B00, 1
B00, Trade, 86090.308, 180, S09, B00, 1
B00, Trade, 86098.500, 174, S23, B00, 1
B00, Trade, 86118.981, 176, S15, B00, 1
B00, Trade, 86131.923, 173, S05, B00, 1
B00, Trade, 86140.308, 169, S23, B00, 1
B00, Trade, 86147.923, 165, S02, B00, 1
B00, Trade, 86160.000, 180, S18, B00, 1
B00, Trade, 86169.615, 162, P00, B00, 1
B00, Trade, 86175.019, 169, S05, B00, 1
B00, Trade, 86192.096, 173, S08, B00, 1
B00, Trade, 86193.865, 173, S17, B00, 1
B00, Trade, 86244.173, 171, S23, B00, 1
B00, Trade, 86249.481, 171, B00, S24, 1
