B01, Trade, 85583.827, 158, B01, S14, 1
B01, Trade, 85587.288, 158, S09, B01, 1
B01, Trade, 85595.481, 171, B01, S02, 1
B01, Trade, 85605.904, 168, B01, S05, 1
B01, Trade, 85630.327, 162, B01, S11, 1
B01, Trade, 85643.615, 170, B01, S24, 1
B01, Trade, 85646.327, 169, S01, B01, 1
B01, Trade, 85656.750, 158, B01, S13, 1
B01, Trade, 85670.577, 165, S14, B01, 1
B01, Trade, 85686.288, 161, B01, S18, 1
B01, Trade, 85690.538, 169, S00, B01, 1
B01, Trade, 85704.077, 165, B01, S19, 1
B01, Trade, 85708.654, 165, B01, S23, 1
B01, Trade, 85723.269, 167, B01, S17, 1
B01, Trade, 85730.365, 164, B01, S11, 1
B01, Trade, 85734.462, 164, B01, S23, 1
B01, Trade, 85748.500, 168, B01, S01, 1
B01, Trade, 85760.692, 164, B01, S23, 1
B01, Trade, 85767.885, 164, B01, S18, 1
B01, Trade, 85784.038, 168, S19, B01, 1
B01, Trade, 85785.596, 163, S00, B01, 1
B01, Trade, 85803.558, 168, B01, S15, 1
B01, Trade, 85822.558, 165, B01, S10, 1
B01, Trade, 85839.615, 169, B01, S23, 1
B01, Trade, 85843.519, 165, S18, B01, 1
B01, Trade, 85855.250, 166, B01, S11, 1
B01, Trade, 85872.731, 159, B01, S16, 1
B01, Trade, 85878.654, 165, B01, S23, 1
B01, Trade, 85899.692, 167, B01, S24, 1
B01, Trade, 85907.885, 165, B01, S03, 1
B01, Trade, 85916.327, 164, B01, S09, 1
B01, Trade, 85926.942, 162, B01, S01, 1
B01, Trade, 85955.000, 168, B01, S07, 1
B01, Trade, 85965.327, 171, B01, S15, 1
B01, Trade, 85979.865, 167, B01, S11, 1
B01, Trade, 85989.692, 165, B01, S02, 1
B01, Trade, 86001.192, 164, B01, S13, 1
B01, Trade, 86013.154, 162, S23, B01, 1
B01, Trade, 86022.942, 171, B01, S20, 1
B01, Trade, 86031.731, 161, B01, S09, 1
B01, Trade, 86036.808, 155, S01, B01, 1
B01, Trade, 86048.846, 156, B01, S09, 1
B01, Trade, 86062.135, 167, B01, S12, 1
B01, Trade, 86067.481, 168, B01, S09, 1
B01, Trade, 86077.885, 167, S17, B01, 1
B01, Trade, 86093.288, 163, S16, B01, 1
B01, Trade, 86103.904, 164, B01, S20, 1
B01, Trade, 86106.481, 168, S07, B01, 1
B01, Trade, 86122.750, 166, B01, S05, 1
B01, Trade, 86132.558, 169, S18, B01, 1
B01, Trade, 86141.250, 169, B01, S09, 1
B01, Trade, 86151.462, 167, B01, S23, 1
B01, Trade, 86163.173, 168, B01, S09, 1
B01, Trade, 86175.442, 160, B01, S18, 1
B01, Trade, 86177.500, 169, B01, S05, 1
B01, Trade, 86186.346, 169, B01, S12, 1
B01, Trade, 86202.923, 168, B01, S08, 1
B01, Trade, 86205.038, 171, B01, S22, 1
B01, Trade, 86221.442, 169, S10, B01, 1
B01, Trade, 86228.712, 163, B01, S00, 1
B01, Trade, 86265.154, 168, B01, S09, 1
B01, Trade, 86273.500, 167, B01, S04, 1
B01, Trade, 86282.135, 171, S01, B01, 1
B01, Trade, 86295.385, 170, B01, S21, 1
B01, Trade, 86299.558, 165, B01, S12, 1
B01, Trade, 86309.673, 169, B01, S16, 1
B01, Trade, 86327.173, 168, S13, B01, 1
B01, Trade, 86333.212, 169, B01, S23, 1
B01, Trade, 86340.827, 166, B01, S17, 1
B01, Trade, 86349.327, 165, B01, S11, 1
B01, Trade, 86360.885, 161, B01, S19, 1
B01, Trade, 86373.231, 163, B01, S07, 1
B01, Trade, 86385.846, 167, B01, S01, 1
B02, 100
B02, Trade, 84906.981, 166, S16, B02, 1
B02, Trade, 84918.077, 160, B02, S09, 1
B02, Trade, 84928.385, 164, S15, B02, 1
B02, Trade, 84938.577, 166, P01, B02, 1
B02, Trade, 84963.442, 168, S00, B02, 1
B02, Trade, 84977.269, 163, B02, S00, 1
B02, Trade, 84992.885, 166, B02, S07, 1
B02, Trade, 84996.885, 165, B02, S18, 1
B02, Trade, 85009.481, 172, S08, B02, 1
B02, Trade, 85020.577, 163, S18, B02, 1
B02, Trade, 85036.308, 161, B02, S20, 1
B02, Trade, 85066.096, 168, P01, B02, 1
B02, Trade, 85079.635, 166, B02, S00, 1
B02, Trade, 85094.596, 165, B02, S19, 1
B02, Trade, 85116.019, 172, B02, S16, 1
B02, Trade, 85121.692, 167, B02, S04, 1
B02, Trade, 85136.692, 163, B02, S15, 1
B02, Trade, 85171.154, 162, B02, S21, 1
B02, Trade, 85173.096, 164, B02, S01, 1
B02, Trade, 85200.481, 172, B02, S01, 1
B02, Trade, 85204.462, 170, P01, B02, 1
B02, Trade, 85240.250, 172, S04, B02, 1
B02, Trade, 85255.519, 171, S15, B02, 1
B02, Trade, 85275.904, 164, B02, P00, 1
B02, Trade, 85291.462, 169, S15, B02, 1
B02, Trade, 85303.192, 171, S09, B02, 1
B02, Trade, 85336.519, 170, S18, B02, 1
B02, Trade, 85372.288, 164, B02, S10, 1
B02, Trade, 85376.212, 168, S08, B02, 1
B02, Trade, 85387.654, 166, B02, S04, 1
B02, Trade, 85408.750, 163, S13, B02, 1
B02, Trade, 85428.788, 173, S19, B02, 1
B02, Trade, 85451.327, 157, B02, S11, 1
B02, Trade, 85461.135, 168, B02, S20, 1
B02, Trade, 85464.462, 168, S15, B02, 1
B02, Trade, 85472.231, 167, S09, B02, 1
B02, Trade, 85493.519, 164, B02, S13, 1
B02, Trade, 85501.846, 164, S03, B02, 1
B02, Trade, 85504.942, 164, S10, B02, 1
B02, Trade, 85529.288, 167, B02, S01, 1
B02, Trade, 85540.269, 164, S03, B02, 1
B02, Trade, 85545.365, 167, S17, B02, 1
B02, Trade, 85568.000, 164, B02, S22, 1
B02, Trade, 85583.942, 157, B02, S19, 1
B02, Trade, 85588.481, 160, S14, B02, 1
B02, Trade, 85599.442, 169, B02, S07, 1
B02, Trade, 85616.019, 165, B02, S12, 1
B02, Trade, 85621.923, 172, S04, B02, 1
B02, Trade, 85634.365, 165, B02, S01, 1
B02, Trade, 85647.212, 169, P01, B02, 1
B02, Trade, 85654.942, 166, S03, B02, 1
B02, Trade, 85674.000, 162, B02, S20, 1
B02, Trade, 85677.923, 167, P01, B02, 1
B02, Trade, 85706.865, 164, B02, S22, 1
B02, Trade, 85712.308, 164, B02, S01, 1
B02, Trade, 85731.615, 163, B02, S18, 1
B02, Trade, 85733.904, 166, S05, B02, 1
B02, Trade, 85746.615, 167, S11, B02, 1
B02, Trade, 85773.308, 167, S14, B02, 1
B02, Trade, 85789.712, 163, S19, B02, 1
