B00, 100
B00, Trade, 85019.981, 186, B00, S13, 1
B00, Trade, 85030.404, 166, P01, B00, 1
B00, Trade, 85034.096, 167, S15, B00, 1
B00, Trade, 85052.135, 169, B00, S15, 1
B00, Trade, 85085.365, 172, P01, B00, 1
B00, Trade, 85108.000, 170, B00, S15, 1
B00, Trade, 85116.308, 172, B00, S14, 1
B00, Trade, 85138.846, 176, S02, B00, 1
B00, Trade, 85149.212, 171, B00, S03, 1
B00, Trade, 85164.769, 165, B00, S16, 1
B00, Trade, 85166.558, 179, B00, S19, 1
B00, Trade, 85182.923, 167, B00, S02, 1
B00, Trade, 85191.346, 173, S24, B00, 1
B00, Trade, 85212.577, 171, B00, S01, 1
B00, Trade, 85215.308, 168, S11, B00, 1
B00, Trade, 85232.962, 170, B00, S05, 1
B00, Trade, 85242.346, 166, B00, S23, 1
B00, Trade, 85257.904, 170, B00, S13, 1
B00, Trade, 85266.058, 175, P01, B00, 1
B00, Trade, 85281.577, 169, B00, S21, 1
B00, Trade, 85288.019, 165, B00, S07, 1
B00, Trade, 85304.731, 169, B00, S21, 1
B00, Trade, 85322.038, 173, S15, B00, 1
B00, Trade, 85325.308, 169, S11, B00, 1
B00, Trade, 85344.019, 167, B00, S02, 1
B00, Trade, 85352.942, 167, B00, S03, 1
B00, Trade, 85361.846, 174, S11, B00, 1
B00, Trade, 85374.481, 168, S02, B00, 1
B00, Trade, 85395.654, 179, S11, B00, 1
B00, Trade, 85424.788, 171, S23, B00, 1
B00, Trade, 85436.885, 177, S05, B00, 1
B00, Trade, 85453.154, 170, B00, S01, 1
B00, Trade, 85453.904, 172, S23, B00, 1
B00, Trade, 85473.250, 174, B00, S00, 1
B00, Trade, 85490.154, 165, B00, S13, 1
B00, Trade, 85491.481, 169, S23, B00, 1
B00, Trade, 85496.365, 168, B00, S07, 1
B00, Trade, 85512.481, 168, B00, S14, 1
B00, Trade, 85522.000, 171, S15, B00, 1
B00, Trade, 85534.500, 166, B00, S03, 1
B00, Trade, 85552.442, 173, B00, S10, 1
B00, Trade, 85557.981, 169, B00, S06, 1
B00, Trade, 85583.731, 171, B00, S14, 1
B00, Trade, 85590.173, 172, S09, B00, 1
B00, Trade, 85595.231, 173, S13, B00, 1
B00, Trade, 85621.308, 165, B00, S15, 1
B00, Trade, 85650.788, 168, S07, B00, 1
B00, Trade, 85661.846, 171, P01, B00, 1
B00, Trade, 85683.365, 175, S07, B00, 1
B00, Trade, 85699.904, 171, B00, S23, 1
B00, Trade, 85710.808, 169, B00, S15, 1
B00, Trade, 85720.346, 165, B00, S21, 1
B00, Trade, 85736.269, 172, S23, B00, 1
B00, Trade, 85759.692, 169, S11, B00, 1
B00, Trade, 85780.192, 167, B00, S03, 1
B00, Trade, 85792.750, 166, B00, S15, 1
B00, Trade, 85802.635, 174, S05, B00, 1
B00, Trade, 85813.538, 167, S06, B00, 1
B00, Trade, 85834.885, 174, S24, B00, 1
B00, Trade, 85858.923, 165, B00, S10, 1
B00, Trade, 85870.577, 169, B00, S12, 1
B00, Trade, 85880.654, 173, B00, S00, 1
B00, Trade, 85893.808, 176, B00, S24, 1
B00, Trade, 85911.904, 169, S05, B00, 1
B00, Trade, 85926.058, 178, S14, B00, 1
B00, Trade, 85937.885, 174, B00, S22, 1
B00, Trade, 85939.385, 170, S07, B00, 1
B00, Trade, 85953.962, 173, P01, B00, 1
B00, Trade, 85969.673, 165, B00, S01, 1
B00, Trade, 85988.327, 172, B00, S06, 1
B00, Trade, 85991.558, 174, S23, B00, 1
B00, Trade, 86009.827, 167, B00, S18, 1
B00, Trade, 86025.654, 170, P01, B00, 1
B00, Trade, 86040.365, 174, S06, B00, 1
B00, Trade, 86051.904, 174, B00, S07, 1
B00, Trade, 86077.462, 172, B00, S12, 1
B00, Trade, 86084.288, 172, S24, B00, 1
B00, Trade, 86092.038, 172, S01, B00, 1
B00, Trade, 86110.846, 173, B00, S13, 1
B00, Trade, 86123.519, 170, B00, S08, 1
B00, Trade, 86135.538, 167, B00, S08, 1
B00, Trade, 86148.827, 173, S24, B00, 1
B00, Trade, 86171.596, 163, B00, S19, 1
B00, Trade, 86181.500, 179, S10, B00, 1
B00, Trade, 86185.462, 170, B00, S14, 1
B00, Trade, 86196.885, 169, S08, B00, 1
B00, Trade, 86224.173, 166, B00, S05, 1
B00, Trade, 86240.808, 177, S07, B00, 1
B00, Trade, 86263.346, 166, S05, B00, 1
B00, Trade, 86264.442, 165, S11, B00, 1
B00, Trade, 86283.442, 169, B00, S19, 1
B00, Trade, 86292.231, 167, S10, B00, 1
