B00, 100
B00, Trade, 85046.135, 157, S16, B00, 1
B00, Trade, 85063.038, 166, B00, S13, 1
B00, Trade, 85074.135, 168, P01, B00, 1
B00, Trade, 85092.692, 168, B00, S17, 1
B00, Trade, 85109.481, 167, S13, B00, 1
B00, Trade, 85124.885, 165, B00, S12, 1
B00, Trade, 85130.019, 167, S16, B00, 1
B00, Trade, 85141.096, 161, B00, S10, 1
B00, Trade, 85146.269, 166, S13, B00, 1
B00, Trade, 85164.096, 167, B00, S19, 1
B00, Trade, 85164.788, 170, S16, B00, 1
B00, Trade, 85187.404, 168, B00, S03, 1
B00, Trade, 85229.115, 171, S02, B00, 1
B00, Trade, 85245.192, 166, B00, S22, 1
B00, Trade, 85270.962, 168, S21, B00, 1
B00, Trade, 85281.231, 164, B00, S06, 1
B00, Trade, 85297.327, 166, B00, S12, 1
B00, Trade, 85303.538, 162, S06, B00, 1
B00, Trade, 85330.346, 166, S04, B00, 1
B00, Trade, 85343.462, 163, B00, S12, 1
B00, Trade, 85353.288, 166, B00, S00, 1
B00, Trade, 85359.115, 164, B00, S14, 1
B00, Trade, 85383.635, 168, B00, S15, 1
B00, Trade, 85393.769, 170, P01, B00, 1
B00, Trade, 85395.942, 167, S09, B00, 1
B00, Trade, 85415.865, 168, S21, B00, 1
B00, Trade, 85439.077, 169, S05, B00, 1
B00, Trade, 85445.058, 166, S21, B00, 1
B00, Trade, 85467.673, 162, B00, S17, 1
B00, Trade, 85481.942, 166, S17, B00, 1
B00, Trade, 85492.558, 167, S03, B00, 1
B00, Trade, 85504.596, 166, B00, S21, 1
B00, Trade, 85518.769, 160, B00, S14, 1
B00, Trade, 85529.519, 160, S11, B00, 1
B00, Trade, 85541.923, 163, B00, S14, 1
B00, Trade, 85543.577, 166, B00, S19, 1
B00, Trade, 85562.019, 171, S08, B00, 1
B00, Trade, 85570.846, 163, B00, S20, 1
B00, Trade, 85578.115, 169, B00, S23, 1
B00, Trade, 85585.577, 166, B00, S11, 1
B00, Trade, 85600.173, 167, P01, B00, 1
B00, Trade, 85619.885, 165, B00, S04, 1
B00, Trade, 85624.173, 165, B00, S23, 1
B00, Trade, 85629.769, 166, S20, B00, 1
B00, Trade, 85635.577, 166, S14, B00, 1
B00, Trade, 85653.096, 164, B00, S10, 1
B00, Trade, 85665.288, 164, S19, B00, 1
B00, Trade, 85681.712, 166, S22, B00, 1
B00, Trade, 85683.654, 163, B00, S19, 1
B00, Trade, 85705.385, 159, S21, B00, 1
B00, Trade, 85716.308, 164, S13, B00, 1
B00, Trade, 85734.904, 164, B00, S08, 1
B00, Trade, 85750.481, 165, S03, B00, 1
B00, Trade, 85756.192, 167, S05, B00, 1
B00, Trade, 85777.192, 172, S21, B00, 1
B00, Trade, 85788.500, 160, B00, S00, 1
B00, Trade, 85806.635, 167, S21, B00, 1
B00, Trade, 85826.692, 159, B00, S05, 1
B00, Trade, 85832.538, 164, B00, S19, 1
B00, Trade, 85840.673, 163, S15, B00, 1
B00, Trade, 85848.731, 167, B00, S01, 1
B00, Trade, 85864.058, 166, S11, B00, 1
B00, Trade, 85879.269, 164, P01, B00, 1
B00, Trade, 85892.577, 165, S02, B00, 1
B00, Trade, 85906.596, 162, B00, S16, 1
B00, Trade, 85917.596, 165, B00, S15, 1
B00, Trade, 85928.904, 162, B00, S13, 1
B00, Trade, 85937.096, 167, B00, S06, 1
B00, Trade, 85949.269, 172, S20, B00, 1
B00, Trade, 85956.596, 163, B00, S07, 1
B00, Trade, 85970.750, 164, B00, S06, 1
B00, Trade, 85975.808, 160, S20, B00, 1
B00, Trade, 85999.635, 168, P01, B00, 1
B00, Trade, 86010.135, 165, B00, S00, 1
B00, Trade, 86028.096, 170, S16, B00, 1
B00, Trade, 86048.231, 162, B00, S24, 1
B00, Trade, 86054.173, 168, S15, B00, 1
B00, Trade, 86059.038, 167, S00, B00, 1
B00, Trade, 86095.231, 165, B00, S10, 1
B00, Trade, 86107.558, 170, S21, B00, 1
B00, Trade, 86123.962, 163, B00, S20, 1
B00, Trade, 86143.308, 166, S00, B00, 1
B00, Trade, 86153.038, 163, B00, S00, 1
B00, Trade, 86186.308, 167, B00, S10, 1
B00, Trade, 86188.365, 168, S13, B00, 1
B00, Trade, 86199.365, 169, P01, B00, 1
B00, Trade, 86210.154, 171, S04, B00, 1
B00, Trade, 86223.904, 171, B00, S00, 1
B00, Trade, 86230.808, 167, B00, S00, 1
B00, Trade, 86258.308, 166, B00, S03, 1
B00, Trade, 86264.173, 171, S01, B00, 1
B00, Trade, 86277.115, 169, B00, S18, 1
B00, Trade, 86293.077, 172, S09, B00, 1
B00, Trade, 86300.308, 166, S07, B00, 1
B00, Trade, 86315.385, 163, B00, S02, 1
B00, Trade, 86337.250, 172, S04, B00, 1
B00, Trade, 86362.923, 169, S05, B00, 1
B00, Trade, 86369.231, 162, B00, S10, 1
B00, Trade, 86388.096, 165, B00, S23, 1
B00, Trade, 86392.846, 166, B00, S06, 1
B01, 100
B01, Trade, 84846.308, 163, B01, S09, 1
B01, Trade, 84853.019, 160, B01, S00, 1
B01, Trade, 84861.673, 170, S13, B01, 1
B01, Trade, 84865.192, 164, B01, S10, 1
B01, Trade, 84879.981, 160, S19, B01, 1
B01, Trade, 84901.923, 167, B01, S10, 1
B01, Trade, 84915.192, 163, P01, B01, 1
B01, Trade, 84945.827, 162, B01, S12, 1
B01, Trade, 84949.269, 172, S02, B01, 1
B01, Trade, 84984.577, 167, B01, S14, 1
B01, Trade, 84987.288, 171, S20, B01, 1
B01, Trade, 85012.788, 168, B01, S02, 1
B01, Trade, 85034.615, 161, B01, S18, 1
B01, Trade, 85040.327, 164, B01, S00, 1
B01, Trade, 85061.904, 166, B01, S03, 1
B01, Trade, 85066.673, 166, S11, B01, 1
B01, Trade, 85079.519, 169, P01, B01, 1
B01, Trade, 85096.462, 167, S13, B01, 1
B01, Trade, 85124.115, 167, B01, S13, 1
B01, Trade, 85144.712, 168, S11, B01, 1
B01, Trade, 85163.096, 168, B01, S03, 1
B01, Trade, 85179.635, 168, S11, B01, 1
B01, Trade, 85196.923, 162, B01, S20, 1
B01, Trade, 85220.942, 170, S20, B01, 1
B01, Trade, 85235.827, 168, B01, S10, 1
B01, Trade, 85256.077, 167, S05, B01, 1
B01, Trade, 85268.327, 168, B01, S08, 1
B01, Trade, 85283.558, 162, S10, B01, 1
B01, Trade, 85314.885, 166, S13, B01, 1
B01, Trade, 85321.692, 165, S24, B01, 1
B01, Trade, 85342.577, 162, B01, S00, 1
B01, Trade, 85348.500, 162, B01, S02, 1
B01, Trade, 85368.115, 168, S23, B01, 1
B01, Trade, 85398.442, 177, S19, B01, 1
B01, Trade, 85406.019, 171, P01, B01, 1
B01, Trade, 85426.827, 173, S07, B01, 1
B01, Trade, 85451.788, 172, S20, B01, 1
B01, Trade, 85455.404, 173, B01, S03, 1
B01, Trade, 85465.865, 160, B01, S08, 1
B01, Trade, 85492.115, 166, S04, B01, 1
B01, Trade, 85524.058, 160, S05, B01, 1
B01, Trade, 85545.096, 164, B01, S10, 1
B01, Trade, 85570.192, 167, P01, B01, 1
B01, Trade, 85584.135, 166, B01, S16, 1
B01, Trade, 85588.923, 168, S06, B01, 1
B01, Trade, 85600.077, 161, B01, S10, 1
B01, Trade, 85606.788, 164, S00, B01, 1
B01, Trade, 85630.115, 169, S12, B01, 1
B01, Trade, 85658.885, 157, B01, S01, 1
B01, Trade, 85668.154, 164, S14, B01, 1
B01, Trade, 85692.673, 160, B01, S12, 1
B01, Trade, 85697.577, 167, S04, B01, 1
B01, Trade, 85712.308, 162, B01, S07, 1
B01, Trade, 85727.019, 167, B01, S18, 1
B01, Trade, 85733.500, 164, S14, B01, 1
B01, Trade, 85761.327, 162, B01, S02, 1
B01, Trade, 85766.500, 166, B01, S09, 1
B01, Trade, 85781.673, 164, B01, S11, 1
B01, Trade, 85790.827, 165, S16, B01, 1
B01, Trade, 85794.519, 166, S09, B01, 1
B01, Trade, 85806.885, 165, B01, S03, 1
B01, Trade, 85830.962, 162, B01, S07, 1
B01, Trade, 85843.654, 169, P01, B01, 1
B01, Trade, 85858.096, 167, B01, S09, 1
B01, Trade, 85878.173, 164, S19, B01, 1
B01, Trade, 85894.404, 167, S16, B01, 1
B01, Trade, 85914.635, 170, S05, B01, 1
B01, Trade, 85936.750, 172, P01, B01, 1
B01, Trade, 85957.058, 161, B01, S06, 1
B01, Trade, 85969.577, 165, B01, S03, 1
B01, Trade, 85982.923, 165, S01, B01, 1
B01, Trade, 85991.942, 169, S10, B01, 1
B01, Trade, 86019.788, 171, B01, S18, 1
B01, Trade, 86029.615, 166, B01, S23, 1
B01, Trade, 86038.615, 169, S04, B01, 1
B01, Trade, 86053.827, 169, S03, B01, 1
B01, Trade, 86067.596, 172, S02, B01, 1
B01, Trade, 86081.827, 170, B01, S17, 1
B01, Trade, 86095.019, 166, S23, B01, 1
B01, Trade, 86117.288, 161, B01, S21, 1
B01, Trade, 86122.577, 167, S23, B01, 1
B01, Trade, 86139.346, 167, B01, S12, 1
B01, Trade, 86150.423, 166, S20, B01, 1
B01, Trade, 86159.212, 171, B01, S04, 1
B01, Trade, 86183.192, 168, B01, S17, 1
B01, Trade, 86185.904, 169, S23, B01, 1
B01, Trade, 86215.212, 167, P01, B01, 1
B01, Trade, 86230.365, 169, P01, B01, 1
B01, Trade, 86240.635, 164, B01, S06, 1
B01, Trade, 86247.538, 163, S04, B01, 1
B01, Trade, 86274.192, 169, B01, S22, 1
B01, Trade, 86277.096, 170, S19, B01, 1
B01, Trade, 86294.885, 166, B01, S03, 1
B01, Trade, 86299.192, 168, S21, B01, 1
B01, Trade, 86334.308, 169, B01, S08, 1
B01, Trade, 86338.365, 170, B01, S07, 1
B01, Trade, 86352.038, 168, B01, S16, 1
B01, Trade, 86360.769, 164, S14, B01, 1
B01, Trade, 86375.000, 168, B01, S10, 1
B01, Trade, 86389.846, 169, S16, B01, 1
B02, 100
B02, Trade, 84971.038, 165, B02, S06, 1
B02, Trade, 84995.135, 163, B02, S20, 1
B02, Trade, 84998.788, 166, B02, S11, 1
B02, Trade, 85008.135, 172, S03, B02, 1
B02, Trade, 85017.808, 168, B02, S11, 1
B02, Trade, 85031.077, 166, B02, S10, 1
B02, Trade, 85037.827, 163, B02, S08, 1
B02, Trade, 85074.346, 168, S05, B02, 1
B02, Trade, 85084.269, 171, S13, B02, 1
B02, Trade, 85110.750, 168, S09, B02, 1
B02, Trade, 85118.250, 171, S15, B02, 1
B02, Trade, 85126.019, 165, B02, S09, 1
B02, Trade, 85152.923, 163, B02, S06, 1
B02, Trade, 85172.115, 165, B02, S12, 1
B02, Trade, 85179.885, 171, S22, B02, 1
B02, Trade, 85196.346, 162, B02, S10, 1
B02, Trade, 85226.596, 175, S21, B02, 1
B02, Trade, 85245.385, 165, B02, S03, 1
B02, Trade, 85260.288, 166, S13, B02, 1
B02, Trade, 85272.231, 166, B02, S18, 1
B02, Trade, 85281.769, 160, B02, S10, 1
B02, Trade, 85283.712, 168, S07, B02, 1
B02, Trade, 85295.904, 167, S17, B02, 1
B02, Trade, 85304.962, 164, B02, S22, 1
B02, Trade, 85320.385, 161, B02, S22, 1
B02, Trade, 85333.769, 163, B02, S20, 1
B02, Trade, 85344.731, 163, B02, S18, 1
B02, Trade, 85354.308, 170, S04, B02, 1
B02, Trade, 85365.327, 164, B02, S14, 1
B02, Trade, 85389.327, 168, B02, S12, 1
B02, Trade, 85400.173, 176, B02, S14, 1
B02, Trade, 85411.942, 164, B02, S15, 1
B02, Trade, 85427.788, 164, B02, S16, 1
