B00, 100
B00, Trade, 85102.288, 171, S16, B00, 1
B00, Trade, 85115.769, 172, P01, B00, 1
B00, Trade, 85132.846, 164, B00, S23, 1
B00, Trade, 85138.038, 172, S19, B00, 1
B00, Trade, 85154.538, 164, B00, S04, 1
B00, Trade, 85156.000, 165, S14, B00, 1
B00, Trade, 85173.327, 168, B00, S19, 1
B00, Trade, 85192.615, 160, B00, S24, 1
B00, Trade, 85194.808, 165, B00, S21, 1
B00, Trade, 85214.673, 160, B00, S15, 1
B00, Trade, 85221.731, 163, B00, S03, 1
B00, Trade, 85228.385, 164, B00, S12, 1
B00, Trade, 85236.192, 161, B00, S21, 1
B00, Trade, 85253.462, 167, B00, S00, 1
B00, Trade, 85262.904, 169, P01, B00, 1
B00, Trade, 85282.846, 171, S01, B00, 1
B00, Trade, 85306.885, 161, B00, S00, 1
B00, Trade, 85310.288, 167, S06, B00, 1
B00, Trade, 85321.962, 170, S00, B00, 1
B00, Trade, 85336.808, 167, S18, B00, 1
B00, Trade, 85352.885, 162, B00, S15, 1
B00, Trade, 85363.885, 167, P01, B00, 1
B00, Trade, 85377.519, 172, S16, B00, 1
B00, Trade, 85403.635, 168, P01, B00, 1
B00, Trade, 85419.288, 167, S02, B00, 1
B00, Trade, 85438.192, 170, S01, B00, 1
B00, Trade, 85451.692, 174, B00, S05, 1
B00, Trade, 85478.865, 167, S11, B00, 1
B00, Trade, 85497.942, 169, B00, S00, 1
B00, Trade, 85499.962, 166, S20, B00, 1
B00, Trade, 85512.135, 170, B00, S03, 1
B00, Trade, 85515.385, 172, B00, S18, 1
B00, Trade, 85523.692, 169, S01, B00, 1
B00, Trade, 85532.808, 170, P01, B00, 1
B00, Trade, 85556.442, 157, B00, S23, 1
B00, Trade, 85564.404, 164, S06, B00, 1
B00, Trade, 85578.519, 164, B00, S13, 1
B00, Trade, 85590.308, 162, B00, S23, 1
B00, Trade, 85592.962, 169, S01, B00, 1
B00, Trade, 85631.846, 166, P01, B00, 1
B00, Trade, 85652.346, 170, B00, S15, 1
B00, Trade, 85662.000, 163, B00, S22, 1
B00, Trade, 85666.173, 165, P01, B00, 1
B00, Trade, 85683.558, 162, B00, S23, 1
B00, Trade, 85686.519, 166, S04, B00, 1
B00, Trade, 85695.750, 162, B00, S05, 1
B00, Trade, 85706.885, 168, B00, S16, 1
B00, Trade, 85724.173, 164, B00, S19, 1
B00, Trade, 85739.673, 170, S11, B00, 1
B00, Trade, 85762.365, 159, B00, S19, 1
B00, Trade, 85774.923, 163, S17, B00, 1
B00, Trade, 85790.981, 167, S08, B00, 1
B00, Trade, 85804.192, 166, B00, S24, 1
B00, Trade, 85813.423, 170, S20, B00, 1
B00, Trade, 85821.250, 175, S24, B00, 1
B00, Trade, 85833.750, 172, P01, B00, 1
B00, Trade, 85855.615, 168, S21, B00, 1
B00, Trade, 85881.962, 165, B00, S01, 1
B00, Trade, 85892.269, 165, B00, S01, 1
B00, Trade, 85896.058, 159, S02, B00, 1
B00, Trade, 85909.077, 165, B00, S03, 1
B00, Trade, 85922.865, 164, B00, S00, 1
B00, Trade, 85929.404, 168, S14, B00, 1
B00, Trade, 85946.942, 168, B00, S19, 1
B00, Trade, 85952.865, 174, B00, S00, 1
B00, Trade, 85969.077, 167, S13, B00, 1
B00, Trade, 85977.000, 166, B00, S15, 1
B00, Trade, 85990.442, 162, B00, S06, 1
B00, Trade, 86007.538, 162, B00, S12, 1
B00, Trade, 86009.769, 169, S19, B00, 1
B00, Trade, 86024.615, 169, B00, S16, 1
B00, Trade, 86033.423, 172, P01, B00, 1
B00, Trade, 86042.750, 161, B00, S24, 1
B00, Trade, 86056.615, 167, S14, B00, 1
B00, Trade, 86071.923, 164, P01, B00, 1
B00, Trade, 86084.750, 170, B00, S19, 1
B00, Trade, 86109.269, 171, B00, S10, 1
B00, Trade, 86129.385, 163, B00, S00, 1
B00, Trade, 86131.077, 166, S21, B00, 1
B00, Trade, 86139.192, 168, B00, S05, 1
B00, Trade, 86165.865, 168, B00, S21, 1
B00, Trade, 86172.192, 166, B00, S08, 1
B00, Trade, 86177.385, 162, B00, S16, 1
B00, Trade, 86191.538, 164, B00, S15, 1
B00, Trade, 86213.596, 166, B00, S11, 1
B00, Trade, 86224.231, 168, S24, B00, 1
B00, Trade, 86249.731, 164, B00, S23, 1
B00, Trade, 86259.615, 171, B00, S10, 1
B00, Trade, 86274.019, 169, S12, B00, 1
B00, Trade, 86294.558, 167, B00, S18, 1
B00, Trade, 86304.385, 163, B00, S03, 1
B00, Trade, 86313.308, 168, S12, B00, 1
B00, Trade, 86322.827, 166, B00, S00, 1
B00, Trade, 86330.327, 161, B00, S23, 1
B00, Trade, 86349.058, 172, B00, S07, 1
B00, Trade, 86359.154, 170, B00, S14, 1
B00, Trade, 86373.058, 161, B00, S16, 1
B00, Trade, 86385.173, 172, B00, S24, 1
B00, Trade, 86393.173, 167, B00, S19, 1
B00, Trade, 86399.173, 171, S22, B00, 1
B01, 100
B01, Trade, 84915.096, 165, B01, S21, 1
B01, Trade, 84916.846, 161, S17, B01, 1
B01, Trade, 84937.731, 168, S17, B01, 1
B01, Trade, 84943.673, 169, S13, B01, 1
B01, Trade, 84977.981, 167, S18, B01, 1
